cycle_stem,elapsed_s,lag_seconds,lag_seconds_subsample,peak_corr
260729_183230,0,-0.21233,-0.21233,0.9798
260729_183730,300,-0.25233,-0.25233,0.9814
260729_184115,525,-0.25233,-0.25233,0.9807
260729_184500,750,-0.25233,-0.25233,0.9782
260729_184845,975,-0.29233,-0.29233,0.9867
260729_185230,1200,-0.29233,-0.29233,0.9738
260729_185615,1425,-0.29233,-0.29233,0.9678
260729_190000,1650,-0.29233,-0.29233,0.9625
260729_190345,1875,-0.33233,-0.33233,0.9811
260729_190730,2100,-0.33233,-0.33233,0.9839
260729_191115,2325,-0.33233,-0.33233,0.9839
260729_191500,2550,-0.33233,-0.33233,0.9670
260729_191845,2775,-0.37233,-0.37233,0.9742
260729_192230,3000,-0.37233,-0.37233,0.9745
260729_192615,3225,-0.37233,-0.37233,0.9717
260729_193000,3450,-0.41233,-0.41233,0.9875
260729_193345,3675,-0.41233,-0.41233,0.9808
260729_193730,3900,-0.41233,-0.41233,0.9594
260729_194115,4125,-0.41233,-0.41233,0.9770
260729_194500,4350,-0.45233,-0.45233,0.9813
260729_194845,4575,-0.45233,-0.45233,0.9779
260729_195230,4800,-0.45233,-0.45233,0.9674
260729_195615,5025,-0.49233,-0.49233,0.9901
260729_200000,5250,-0.49233,-0.49233,0.9667
260729_200345,5475,-0.49233,-0.49233,0.9608
260729_200730,5700,-0.49233,-0.49233,0.9677
260729_201115,5925,-0.53233,-0.53233,0.9488
260729_201500,6150,-0.53233,-0.53233,0.9572
260729_201845,6375,-0.53233,-0.53233,0.9753
260729_202230,6600,-0.53233,-0.53233,0.9376
260729_202615,6825,-0.57233,-0.57233,0.9841
260729_203000,7050,-0.57233,-0.57233,0.9633
260729_203345,7275,-0.57233,-0.57233,0.9561
260729_203730,7500,-0.61233,-0.61232,0.9668
260729_204115,7725,-0.61233,-0.61233,0.9518
260729_204500,7950,-0.61233,-0.61233,0.9680
260729_204845,8175,-0.61233,-0.61233,0.9724
260729_205230,8400,-0.65233,-0.65233,0.9822
260729_205615,8625,-0.65233,-0.65233,0.9687
260729_210000,8850,-0.65233,-0.65233,0.9896
260729_210345,9075,-0.65233,-0.65233,0.9609
260729_210730,9300,-0.69233,-0.69233,0.9826
260729_211115,9525,-0.69233,-0.69233,0.9737
260729_211500,9750,-0.69233,-0.69233,0.9597
260729_211845,9975,-0.73233,-0.73233,0.9789
260729_212230,10200,-0.73233,-0.73233,0.9884
260729_212615,10425,-0.73233,-0.73233,0.9755
260729_213000,10650,-0.73233,-0.73233,0.9889
260729_213345,10875,-0.77233,-0.77233,0.9690
260729_213730,11100,-0.77233,-0.77233,0.9369
260729_214115,11325,-0.77233,-0.77233,0.9110
260729_214500,11550,-0.77233,-0.77233,0.9527
260729_214845,11775,-0.81233,-0.81233,0.9647
260729_215230,12000,-0.81233,-0.81232,0.9806
260729_215615,12225,-0.81233,-0.81233,0.9780
260729_220000,12450,-0.81233,-0.81232,0.9905
260729_220345,12675,-0.85233,-0.85233,0.9787
260729_220730,12900,-0.86233,-0.86231,0.5552
260729_221115,13125,-0.86233,-0.86233,0.9782
260729_221500,13350,-0.90233,-0.90232,0.9744
260729_221845,13575,-0.90233,-0.90233,0.9753
260729_222230,13800,-0.90233,-0.90232,0.9773
260729_222615,14025,-0.94233,-0.94233,0.9762
260729_223000,14250,-0.94233,-0.94232,0.9813
260729_223345,14475,-0.94233,-0.94233,0.9988
260729_223730,14700,-0.94233,-0.94233,0.9917
260729_224115,14925,-0.98233,-0.98233,0.9781
260729_224500,15150,-0.98233,-0.98232,0.9783
260729_224845,15375,-0.98233,-0.98233,0.9815
260729_225230,15600,-0.98233,-0.98232,0.9823
260729_225615,15825,-1.02233,-1.02233,0.9837
260729_230000,16050,-1.02233,-1.02233,0.9853
260729_230345,16275,-1.02233,-1.02233,0.9623
260729_230730,16500,-1.06233,-1.06232,0.9855
260729_231115,16725,-1.06233,-1.06233,0.9782
260729_231500,16950,-1.06233,-1.06233,0.9875
260729_231845,17175,-1.06233,-1.06233,0.9721
260729_232230,17400,-1.10233,-1.10232,0.9777
260729_232615,17625,-1.10233,-1.10233,0.9760
260729_233000,17850,-1.10233,-1.10232,0.9829
260729_233345,18075,-1.10233,-1.10233,0.9646
260729_233730,18300,-1.14233,-1.14232,0.9781
260729_234115,18525,-1.14233,-1.14233,0.9974
260729_234500,18750,-1.14233,-1.14232,0.9789
260729_234845,18975,-1.14233,-1.14233,0.9804
260729_235230,19200,-1.18233,-1.18232,0.9795
260729_235615,19425,-1.18233,-1.18233,0.9730
260730_000000,19650,-1.18233,-1.18232,0.9765
260730_000345,19875,-1.18233,-1.18233,0.9136
260730_000730,20100,-1.22233,-1.22232,0.9818
260730_001115,20325,-1.22233,-1.22233,0.9869
260730_001500,20550,-1.22233,-1.22232,0.9863
260730_001845,20775,-1.26233,-1.26233,0.9896
260730_002230,21000,-1.26233,-1.26232,0.9888
260730_002615,21225,-1.26233,-1.26233,0.9885
260730_003000,21450,-1.26233,-1.26232,0.9788
260730_003345,21675,-1.30233,-1.30233,0.9860
260730_003730,21900,-1.30233,-1.30232,0.9877
260730_004115,22125,-1.30233,-1.30233,0.9897
260730_004500,22350,-1.30233,-1.30232,0.9883
260730_004845,22575,-1.34233,-1.34233,0.9658
260730_005230,22800,-1.34233,-1.34232,0.9833
260730_005615,23025,-1.34233,-1.34233,0.9885
260730_010000,23250,-1.38233,-1.38232,0.9813
260730_010345,23475,-1.38233,-1.38233,0.9886
260730_010730,23700,-1.38233,-1.38232,0.9793
260730_011115,23925,-1.38233,-1.38233,0.9853
260730_011500,24150,-1.42233,-1.42233,0.9913
260730_011845,24375,-1.42233,-1.42233,0.9912
260730_012245,24615,-1.41233,-1.41233,0.9395
260730_012630,24840,-1.45233,-1.45232,0.9644
260730_013015,25065,-1.45233,-1.45233,0.9880
260730_013400,25290,-1.45233,-1.45232,0.9774
260730_013745,25515,-1.49233,-1.49233,0.9872
260730_014130,25740,-1.49233,-1.49232,0.9848
260730_014515,25965,-1.49233,-1.49233,0.9927
260730_014900,26190,-1.53233,-1.53232,0.9786
260730_015245,26415,-1.53233,-1.53233,0.9543
260730_015630,26640,-1.53233,-1.53232,0.9849
260730_020015,26865,-1.53233,-1.53233,0.9956
260730_020400,27090,-1.57233,-1.57233,0.9870
260730_020745,27315,-1.57233,-1.57233,0.9875
260730_021130,27540,-1.57233,-1.57233,0.9958
260730_021530,27780,-1.58233,-1.58232,0.9704
260730_021915,28005,-1.58233,-1.58233,0.9759
260730_022300,28230,-1.62233,-1.62232,0.9861
260730_022645,28455,-1.62233,-1.62233,0.9890
260730_023030,28680,-1.62233,-1.62232,0.9743
260730_023415,28905,-1.66233,-1.66233,0.9850
260730_023800,29130,-1.66233,-1.66232,0.9710
260730_024145,29355,-1.66233,-1.66233,0.9839
260730_024530,29580,-1.66233,-1.66233,0.9727
