stem,stratum,lag_seconds,peak_corr
260729_183230,healthy,-0.21233,0.9798
260729_183400,healthy,-0.21233,0.9555
260729_183445,healthy,-0.25233,0.9730
260729_183530,healthy,-0.25233,0.9785
260729_183600,healthy,-0.25233,0.9786
260729_183630,healthy,-0.25233,0.9772
260729_183715,healthy,-0.25233,0.9827
260729_183745,healthy,-0.25233,0.9824
260729_183830,healthy,-0.25233,0.9802
260729_183900,healthy,-0.25233,0.9822
260729_183930,healthy,-0.25233,0.9831
260729_184015,healthy,-0.25233,0.9763
260729_184045,healthy,-0.25233,0.9800
260729_184130,healthy,-0.25233,0.9777
260729_184200,healthy,-0.25233,0.9747
260729_184230,healthy,-0.25233,0.9677
260729_184315,healthy,-0.25233,0.9849
260729_184345,healthy,-0.25233,0.9830
260729_184415,healthy,-0.25233,0.9842
260729_184500,healthy,-0.25233,0.9782
260729_184530,healthy,-0.25233,0.9791
260729_184615,healthy,-0.25233,0.9844
260729_184645,healthy,-0.25233,0.9844
260729_184715,healthy,-0.25233,0.9728
260729_184800,healthy,-0.29233,0.9818
260729_184830,healthy,-0.29233,0.9736
260729_184915,healthy,-0.29233,0.9852
260729_184945,healthy,-0.29233,0.9903
260729_185015,healthy,-0.29233,0.9856
260729_185100,healthy,-0.29233,0.9583
260729_185130,healthy,-0.29233,0.9720
260729_185200,healthy,-0.29233,0.9737
260729_185245,healthy,-0.29233,0.9696
260729_185315,healthy,-0.29233,0.9835
260729_185400,healthy,-0.29233,0.9720
260729_185430,healthy,-0.29233,0.9746
260729_185500,healthy,-0.29233,0.9625
260729_185545,healthy,-0.29233,0.9769
260729_185615,healthy,-0.29233,0.9678
260729_185700,healthy,-0.29233,0.9818
260729_185730,healthy,-0.29233,0.9648
260729_185800,healthy,-0.29233,0.9636
260729_185845,healthy,-0.29233,0.9679
260729_185915,healthy,-0.29233,0.9680
260729_190000,healthy,-0.29233,0.9625
260729_190030,healthy,-0.29233,0.9598
260729_190100,healthy,-0.29233,0.9724
260729_190145,healthy,-0.33233,0.9659
260729_190215,healthy,-0.33233,0.9795
260729_190245,healthy,-0.33233,0.9790
