cycle_stem,epoch,utc,lag_s,lag_subsample_s,peak_corr,label_offset_s
260731_200415,0,2026-07-31T20:04:15Z,,,,+0.00000
260731_200430,0,2026-07-31T20:04:30Z,,,,+0.24700
260731_200445,0,2026-07-31T20:04:45Z,,,,+0.27000
260731_200500,0,2026-07-31T20:05:00Z,,,,+0.27800
260731_200515,0,2026-07-31T20:05:15Z,,,,+0.27200
260731_200530,0,2026-07-31T20:05:30Z,,,,+0.22900
260731_200545,0,2026-07-31T20:05:45Z,,,,+0.23900
260731_200600,0,2026-07-31T20:06:00Z,,,,+0.24700
260731_200615,0,2026-07-31T20:06:15Z,,,,+0.26400
260731_200630,0,2026-07-31T20:06:30Z,,,,+0.23200
260731_200645,0,2026-07-31T20:06:45Z,,,,+0.25600
260731_200700,0,2026-07-31T20:07:00Z,,,,+0.28600
260731_200715,0,2026-07-31T20:07:15Z,,,,+0.24500
260731_200730,0,2026-07-31T20:07:30Z,,,,+0.25400
260731_200745,0,2026-07-31T20:07:45Z,,,,+0.27800
260731_200800,0,2026-07-31T20:08:00Z,,,,+0.24900
260731_200815,0,2026-07-31T20:08:15Z,,,,+0.24400
260731_200830,0,2026-07-31T20:08:30Z,,,,+0.27500
260731_200845,0,2026-07-31T20:08:45Z,,,,+0.24400
260731_200900,0,2026-07-31T20:09:00Z,,,,+0.29100
260731_200915,0,2026-07-31T20:09:15Z,-0.23233,-0.23233,0.9883,+0.24400
260731_200930,0,2026-07-31T20:09:30Z,,,,+0.28700
260731_200945,0,2026-07-31T20:09:45Z,,,,+0.23800
260731_201000,0,2026-07-31T20:10:00Z,,,,+0.28100
260731_201015,0,2026-07-31T20:10:15Z,,,,+0.27100
260731_201030,0,2026-07-31T20:10:30Z,,,,+0.25700
260731_201045,0,2026-07-31T20:10:45Z,,,,+0.24100
260731_201100,0,2026-07-31T20:11:00Z,,,,+0.24500
260731_201115,0,2026-07-31T20:11:15Z,,,,+0.26000
260731_201130,0,2026-07-31T20:11:30Z,,,,+0.27400
260731_201145,0,2026-07-31T20:11:45Z,-0.27233,-0.27233,0.9985,+0.26100
260731_201200,0,2026-07-31T20:12:00Z,,,,+0.26200
260731_201215,0,2026-07-31T20:12:15Z,,,,+0.29500
260731_201230,0,2026-07-31T20:12:30Z,,,,+0.27800
260731_201245,0,2026-07-31T20:12:45Z,,,,+0.26900
260731_201300,0,2026-07-31T20:13:00Z,,,,+0.30300
260731_201315,0,2026-07-31T20:13:15Z,,,,+0.30000
260731_201330,0,2026-07-31T20:13:30Z,,,,+0.28100
260731_201345,0,2026-07-31T20:13:45Z,,,,+0.29500
