cycle_stem,epoch,utc,lag_s,lag_subsample_s,peak_corr,label_offset_s
260803_171315,0,2026-08-03T17:13:15Z,,,,+0.00000
260803_171330,0,2026-08-03T17:13:30Z,,,,+0.00000
260803_171345,0,2026-08-03T17:13:45Z,,,,+0.00000
260803_171400,0,2026-08-03T17:14:00Z,,,,+0.00000
260803_171415,0,2026-08-03T17:14:15Z,,,,+0.00000
260803_171430,0,2026-08-03T17:14:30Z,,,,+0.00000
260803_171445,0,2026-08-03T17:14:45Z,,,,+0.00000
260803_171500,0,2026-08-03T17:15:00Z,,,,+0.00000
260803_171515,0,2026-08-03T17:15:15Z,,,,+0.00000
260803_171530,0,2026-08-03T17:15:30Z,,,,+0.00000
260803_171545,0,2026-08-03T17:15:45Z,-0.03517,-0.03516,0.9881,+0.00000
260803_171600,0,2026-08-03T17:16:00Z,,,,+0.00000
260803_171615,0,2026-08-03T17:16:15Z,,,,+0.00000
260803_171630,0,2026-08-03T17:16:30Z,,,,+0.00000
260803_171645,0,2026-08-03T17:16:45Z,,,,+0.00000
260803_171700,0,2026-08-03T17:17:00Z,,,,+0.00000
260803_171715,0,2026-08-03T17:17:15Z,,,,+0.00000
260803_171730,0,2026-08-03T17:17:30Z,,,,+0.00000
260803_171745,0,2026-08-03T17:17:45Z,,,,+0.00000
260803_171800,0,2026-08-03T17:18:00Z,,,,+0.00000
260803_171815,0,2026-08-03T17:18:15Z,-0.02308,-0.02308,0.9887,+0.00000
260803_171830,0,2026-08-03T17:18:30Z,,,,+0.00000
260803_171845,0,2026-08-03T17:18:45Z,,,,+0.00000
260803_171900,0,2026-08-03T17:19:00Z,,,,+0.00000
260803_171915,0,2026-08-03T17:19:15Z,,,,+0.00000
260803_171930,0,2026-08-03T17:19:30Z,,,,+0.00000
260803_171945,0,2026-08-03T17:19:45Z,,,,+0.00000
260803_172000,0,2026-08-03T17:20:00Z,,,,+0.00000
260803_172015,0,2026-08-03T17:20:15Z,,,,+0.00000
260803_172030,0,2026-08-03T17:20:30Z,,,,+0.00000
260803_172045,0,2026-08-03T17:20:45Z,-0.02150,-0.02149,0.9913,+0.00000
260803_172100,0,2026-08-03T17:21:00Z,,,,+0.00000
260803_172115,0,2026-08-03T17:21:15Z,,,,+0.00000
260803_172130,0,2026-08-03T17:21:30Z,,,,+0.00000
260803_172145,0,2026-08-03T17:21:45Z,,,,+0.00000
260803_172200,0,2026-08-03T17:22:00Z,,,,+0.00000
260803_172215,0,2026-08-03T17:22:15Z,,,,+0.00000
260803_172230,0,2026-08-03T17:22:30Z,,,,+0.00000
260803_172245,0,2026-08-03T17:22:45Z,,,,+0.00000
260803_172300,0,2026-08-03T17:23:00Z,,,,+0.00000
260803_172315,0,2026-08-03T17:23:15Z,-0.01558,-0.01558,0.9917,+0.00000
260803_172330,0,2026-08-03T17:23:30Z,,,,+0.00000
260803_172345,0,2026-08-03T17:23:45Z,,,,+0.00000
260803_172400,0,2026-08-03T17:24:00Z,,,,+0.00000
260803_172415,0,2026-08-03T17:24:15Z,,,,+0.00000
260803_172430,0,2026-08-03T17:24:30Z,,,,+0.00000
260803_172445,0,2026-08-03T17:24:45Z,,,,+0.00000
260803_172500,0,2026-08-03T17:25:00Z,,,,+0.00000
260803_172515,0,2026-08-03T17:25:15Z,,,,+0.00000
260803_172530,0,2026-08-03T17:25:30Z,,,,+0.00000
260803_172545,0,2026-08-03T17:25:45Z,-0.00217,-0.00216,0.9904,+0.00000
260803_172600,0,2026-08-03T17:26:00Z,,,,+0.00000
260803_172615,0,2026-08-03T17:26:15Z,,,,+0.00000
260803_172630,0,2026-08-03T17:26:30Z,,,,+0.00000
260803_172645,0,2026-08-03T17:26:45Z,,,,+0.00000
260803_172700,0,2026-08-03T17:27:00Z,,,,+0.00000
260803_172715,0,2026-08-03T17:27:15Z,,,,+0.00000
260803_172730,0,2026-08-03T17:27:30Z,,,,+0.00000
260803_172745,0,2026-08-03T17:27:45Z,,,,+0.00000
260803_172800,0,2026-08-03T17:28:00Z,,,,+0.00000
260803_172815,0,2026-08-03T17:28:15Z,+0.00408,+0.00409,0.9916,+0.00000
260803_172830,0,2026-08-03T17:28:30Z,,,,+0.00000
260803_172845,0,2026-08-03T17:28:45Z,,,,+0.00000
260803_172900,0,2026-08-03T17:29:00Z,,,,+0.00000
260803_172915,0,2026-08-03T17:29:15Z,,,,+0.00000
260803_172930,0,2026-08-03T17:29:30Z,,,,+0.00000
260803_172945,0,2026-08-03T17:29:45Z,,,,+0.00000
260803_173000,0,2026-08-03T17:30:00Z,,,,+0.00000
260803_173015,0,2026-08-03T17:30:15Z,,,,+0.00000
260803_173030,0,2026-08-03T17:30:30Z,,,,+0.00000
260803_173045,0,2026-08-03T17:30:45Z,-0.03150,-0.03149,0.9831,+0.00000
260803_173100,0,2026-08-03T17:31:00Z,,,,+0.00000
260803_173115,0,2026-08-03T17:31:15Z,,,,+0.00000
260803_173130,0,2026-08-03T17:31:30Z,,,,+0.00000
260803_173145,0,2026-08-03T17:31:45Z,,,,+0.00000
260803_173200,0,2026-08-03T17:32:00Z,,,,+0.00000
