scenario,part,trial,seed,n_decodes
S5,0,0,1561858501,0
S5,0,1,960283802,0
S5,0,2,892021093,2
S5,0,3,1972790602,0
S5,0,4,522357441,0
S5,0,5,434100809,1
S5,0,6,1987541040,0
S5,0,7,1550731733,0
S5,0,8,978267978,0
S5,0,9,1361001477,0
S5,0,10,1672796167,1
S5,0,11,363339928,0
S5,0,12,920581965,0
S5,0,13,1985403058,0
S5,0,14,1613680917,0
S5,0,15,1930000429,0
S5,0,16,216305983,0
S5,0,17,312112809,0
S5,0,18,1052303369,0
S5,0,19,217579570,0
S5,0,20,99964177,0
S5,0,21,490683040,1
S5,0,22,1940961689,0
S5,0,23,1454648504,0
S5,0,24,558398644,0
S5,0,25,1286326493,0
S5,0,26,905618129,0
S5,0,27,649442228,0
S5,0,28,1033628820,0
S5,0,29,815515411,0
S5,0,30,1593614182,0
S5,0,31,1722507941,0
S5,0,32,1695726775,0
S5,0,33,51254525,0
S5,0,34,1745018624,0
S5,0,35,977203227,0
S5,0,36,2083372684,0
S5,0,37,1544718727,0
S5,0,38,894361021,0
S5,0,39,819664372,0
S5,0,40,857399851,0
S5,0,41,1795049623,0
S5,0,42,190457367,0
S5,0,43,1463994837,0
S5,0,44,1305633241,0
S5,0,45,641567673,0
S5,0,46,342352341,0
S5,0,47,1976295519,0
S5,0,48,26274461,0
S5,0,49,1345419483,0
S5,0,50,99021969,0
S5,0,51,1479934108,0
S5,0,52,394618325,0
S5,0,53,628411764,0
S5,0,54,100976213,0
S5,0,55,419571874,0
S5,0,56,1428634269,0
S5,0,57,329242616,0
S5,0,58,2110013045,0
S5,0,59,156085977,0
S5,0,60,2057783310,0
S5,0,61,254831836,0
S5,0,62,1853160700,0
S5,0,63,2118702933,0
S5,0,64,1003023651,0
S5,0,65,1422907712,0
S5,0,66,758455223,0
S5,0,67,1530785703,0
S5,0,68,1129509708,0
S5,0,69,1186748573,0
S5,0,70,1925353934,0
S5,0,71,1756611512,0
S5,0,72,985024242,0
S5,0,73,541509918,0
S5,0,74,147673637,1
S5,0,75,1927234599,0
S5,0,76,765074140,0
S5,0,77,189845876,1
S5,0,78,1504633279,0
S5,0,79,446954767,0
S5,0,80,558538409,0
S5,0,81,1190358574,0
S5,0,82,1265441717,0
S5,0,83,153458942,0
S5,0,84,310573729,0
S5,0,85,84640265,0
S5,0,86,860758639,0
S5,0,87,1100839902,0
S5,0,88,24036291,1
S5,0,89,536005053,0
S5,0,90,898703469,0
