scenario,part,trial,seed,message,freq_hz,dt_s,reported_snr_db,signal_db,local_noise_db,reconstructed_snr_db
S1,0,0,913544046,CQ Q1ABC FN42,1500,0.32,-11,-41.354,-56.5,-11.354
S1,0,0,913544046,C99AWJ/R P26MVS R IL48,1384,2,-27,-56.873,-56.5,-26.873
S1,0,1,68344610,CQ Q1ABC FN42,1500,0.4,-11,-41.12,-56.5,-11.12
S1,0,1,68344610,CQ <...>,1497,0.4,-22,-51.741,-56.5,-21.741
S1,0,2,205210819,CQ Q1ABC FN42,1500,0.32,-11,-41.139,-56.5,-11.139
S1,0,3,2050797404,CQ Q1ABC FN42,1500,0.4,-11,-40.81,-56,-11.31
S1,0,4,584097744,CQ Q1ABC FN42,1500,0.4,-11,-41.741,-57,-11.241
S1,0,5,890384831,CQ Q1ABC FN42,1500,0.32,-11,-41.228,-57,-10.728
S1,0,5,890384831,.JX52VC4OWCPG,1278,-1.04,-27,-56.542,-56.5,-26.542
S1,0,6,1254229004,CQ Q1ABC FN42,1500,0.32,-11,-41.475,-57,-10.975
S1,0,7,1244130315,CQ Q1ABC FN42,1500,0.4,-11,-41.684,-57,-11.184
S1,0,8,1326464048,CQ Q1ABC FN42,1500,0.32,-11,-41.418,-56.5,-11.418
S1,0,9,1074612516,CQ Q1ABC FN42,1500,0.32,-11,-41.101,-56.5,-11.101
S1,0,10,29435684,CQ Q1ABC FN42,1500,0.4,-11,-40.886,-56.5,-10.886
S1,0,11,1345611442,CQ Q1ABC FN42,1500,0.32,-11,-41.703,-57.5,-10.703
S1,0,12,254059146,CQ Q1ABC FN42,1500,0.32,-11,-41.405,-57,-10.905
S1,0,12,254059146,<RDCTM663>/R 6X3 JB R RM48,1081,2.8,-27,-57.355,-57,-26.855
S1,0,12,254059146,776CD2E9B62CC27512,769,-0.32,-27,-57.442,-57,-26.942
S1,0,13,1403049087,CQ Q1ABC FN42,1500,0.32,-12,-41.513,-56.5,-11.513
S1,0,14,1957806283,CQ Q1ABC FN42,1500,0.4,-11,-40.658,-56,-11.158
S1,0,15,267648966,CQ Q1ABC FN42,1500,0.32,-11,-41.437,-56.5,-11.437
S1,0,16,960983847,CQ Q1ABC FN42,1500,0.4,-11,-41.785,-57,-11.285
S1,0,17,686045087,CQ Q1ABC FN42,1500,0.4,-11,-42,-57.5,-11
S1,0,18,1659563288,CQ Q1ABC FN42,1500,0.32,-11,-41.532,-57,-11.032
S1,0,19,977855334,CQ Q1ABC FN42,1500,0.32,-11,-41.038,-56.5,-11.038
S1,0,20,98817331,CQ Q1ABC FN42,1500,0.32,-11,-41.418,-56.5,-11.418
S1,0,21,115288869,CQ Q1ABC FN42,1500,0.4,-11,-41.354,-57,-10.854
S1,0,21,115288869,CQ 0V45V9682CU,1497,0.4,-22,-52.152,-57,-21.652
S1,0,22,777397754,CQ Q1ABC FN42,1500,0.4,-11,-41.044,-56.5,-11.044
