scenario,part,trial,seed,n_decodes
S1,0,0,913544046,2
S1,0,1,68344610,2
S1,0,2,205210819,1
S1,0,3,2050797404,1
S1,0,4,584097744,1
S1,0,5,890384831,2
S1,0,6,1254229004,1
S1,0,7,1244130315,1
S1,0,8,1326464048,1
S1,0,9,1074612516,1
S1,0,10,29435684,1
S1,0,11,1345611442,1
S1,0,12,254059146,3
S1,0,13,1403049087,1
S1,0,14,1957806283,1
S1,0,15,267648966,1
S1,0,16,960983847,1
S1,0,17,686045087,1
S1,0,18,1659563288,1
S1,0,19,977855334,1
S1,0,20,98817331,1
S1,0,21,115288869,2
S1,0,22,777397754,1
S1,0,23,148715740,1
S1,0,24,1506189509,1
S1,0,25,1274705330,1
S1,0,26,190641717,1
S1,0,27,1633001750,1
S1,0,28,988011285,2
S1,0,29,399063991,2
S1,0,30,2078316037,1
S1,0,31,716963744,2
S1,0,32,745101827,1
S1,0,33,515860129,1
S1,0,34,2014584745,1
S1,0,35,771345634,1
S1,0,36,820176366,1
S1,0,37,305662618,1
S1,0,38,1849454165,1
S1,0,39,83474610,2
S1,0,40,1027121814,1
S1,0,41,1946712017,1
S1,0,42,832282657,1
S1,0,43,1558381055,1
S1,0,44,1108231845,1
S1,0,45,1915192617,1
S1,0,46,1129732931,1
S1,0,47,462734406,1
S1,0,48,1853819743,1
S1,0,49,1801376559,1
S1,0,50,2022901850,1
S1,0,51,524210735,1
S1,0,52,521947388,1
S1,0,53,1509002193,1
S1,0,54,1076363659,2
S1,0,55,193353639,1
S1,0,56,619576089,1
S1,0,57,640061166,1
S1,0,58,824057817,1
S1,0,59,1006783494,1
S1,0,60,1817455995,1
S1,0,61,1405579272,1
S1,0,62,1472843123,1
S1,0,63,532457901,2
S1,0,64,83290023,1
S1,0,65,110016722,1
S1,0,66,1340433974,1
S1,0,67,550812265,1
S1,0,68,1159356136,1
S1,0,69,759323696,1
S1,0,70,1762002432,1
S1,0,71,1124264222,1
S1,0,72,1630129747,1
S1,0,73,1428691889,1
S1,0,74,1175097694,1
S1,0,75,2138671959,2
S1,0,76,1018044709,1
S1,0,77,762163525,1
S1,0,78,964905215,1
S1,0,79,1628523519,3
S1,0,80,221424067,1
S1,0,81,385286975,1
S1,0,82,536788125,1
S1,0,83,725129935,1
S1,0,84,1949501660,1
S1,0,85,919177160,1
S1,0,86,325830710,1
S1,0,87,534253272,1
S1,0,88,963749515,1
S1,0,89,1407369909,1
S1,0,90,1447940025,1
S1,0,91,460807789,1
S1,0,92,1091749316,1
S1,0,93,1347937972,1
S1,0,94,1028141377,1
S1,0,95,282018213,1
S1,0,96,212956568,1
S1,0,97,2053772380,1
S1,0,98,443260930,2
S1,0,99,183873801,2
S1,0,100,152334718,2
S1,0,101,1074367208,2
S1,0,102,1779800572,1
S1,0,103,525670459,1
S1,0,104,599590830,2
S1,0,105,1372614925,1
S1,0,106,775437961,1
S1,0,107,1600607688,1
S1,0,108,1549687782,1
S1,0,109,514277680,1
S1,0,110,1981235816,1
S1,0,111,1158389468,1
S1,0,112,2133089394,2
S1,0,113,529910964,2
S1,0,114,1438746415,1
S1,0,115,30472105,2
S1,0,116,1430362188,1
S1,0,117,359342888,2
S1,0,118,1534535132,1
S1,0,119,858841052,1
S1,0,120,97513169,1
S1,0,121,875381381,1
S1,0,122,1945006976,1
S1,0,123,498519119,3
S1,0,124,247129137,1
S1,0,125,264542190,1
S1,0,126,1416047294,1
S1,0,127,852253618,3
S1,0,128,1206455489,1
S1,0,129,102432452,1
S1,0,130,1332043330,1
S1,0,131,1422154076,1
S1,0,132,367670679,2
S1,0,133,2064419913,2
S1,0,134,1341014110,1
S1,0,135,865234546,1
S1,0,136,1051443388,1
S1,0,137,2139489256,1
S1,0,138,605244556,1
S1,0,139,926237709,1
S1,0,140,840518899,1
S1,0,141,621178131,1
S1,0,142,2126198097,2
S1,0,143,2046330321,1
S1,0,144,1009366809,1
S1,0,145,440486523,1
S1,0,146,1659306237,1
S1,0,147,571597019,1
S1,0,148,1517760940,2
S1,0,149,1368708717,1
S1,0,150,739055226,1
S1,0,151,938422698,1
S1,0,152,730873768,1
S1,0,153,844594382,1
S1,0,154,577413716,1
S1,0,155,881531734,1
S1,0,156,1299167586,1
S1,0,157,1135366779,2
S1,0,158,1599795264,1
S1,0,159,1524375535,1
S1,0,160,1062097379,1
S1,0,161,1954268681,1
S1,0,162,228403461,1
S1,0,163,187672520,1
S1,0,164,706590964,1
S1,0,165,1116812814,3
S1,0,166,863782936,1
S1,0,167,1871761732,1
S1,0,168,546168556,1
S1,0,169,567012362,2
S1,0,170,673088348,1
S1,0,171,474178055,2
S1,0,172,866510703,1
S1,0,173,143334489,1
S1,0,174,536698405,1
S1,0,175,697155301,2
S1,0,176,1150671376,1
S1,0,177,47942316,1
S1,0,178,2069827866,1
S1,0,179,722325406,1
S1,0,180,1220972068,1
S1,0,181,1064266465,1
S1,0,182,1916318669,1
S1,0,183,1641913196,1
S1,0,184,970314883,1
S1,0,185,359169302,1
S1,0,186,833078534,1
S1,0,187,2016400864,1
S1,0,188,1220561475,1
S1,0,189,1046686516,1
S1,0,190,2093321908,1
S1,0,191,84308200,1
S1,0,192,169958292,1
S1,0,193,1696162142,1
S1,0,194,1160438396,1
S1,0,195,208430174,2
S1,0,196,1749872998,1
S1,0,197,2035699112,1
S1,0,198,667939806,1
S1,0,199,853061571,1
S1,0,200,661814622,1
S1,0,201,1200482546,1
S1,0,202,1890593633,1
S1,0,203,1440144465,1
S1,0,204,1440189980,1
S1,0,205,1715861195,1
S1,0,206,659364739,1
S1,0,207,1331441208,1
S1,0,208,373413675,1
S1,0,209,1707355261,1
S1,0,210,685597205,1
S1,0,211,2053312941,1
S1,0,212,814569041,1
S1,0,213,692549999,2
S1,0,214,1851973904,2
S1,0,215,1728442186,1
S1,0,216,1142154578,2
S1,0,217,417272405,1
S1,0,218,1095173629,1
S1,0,219,1631592692,1
S1,0,220,882891859,1
S1,0,221,1020818018,1
S1,0,222,1291389670,2
S1,0,223,1537509095,1
S1,0,224,2045378894,2
S1,0,225,28644454,2
