scenario,part,trial,seed,n_decodes
S5,0,0,1561858501,0
S5,0,1,960283802,0
S5,0,2,892021093,0
S5,0,3,1972790602,0
S5,0,4,522357441,0
S5,0,5,434100809,0
S5,0,6,1987541040,0
S5,0,7,1550731733,0
S5,0,8,978267978,0
S5,0,9,1361001477,0
S5,0,10,1672796167,0
S5,0,11,363339928,0
S5,0,12,920581965,0
S5,0,13,1985403058,0
S5,0,14,1613680917,0
S5,0,15,1930000429,0
S5,0,16,216305983,1
S5,0,17,312112809,0
S5,0,18,1052303369,0
S5,0,19,217579570,0
S5,0,20,99964177,0
S5,0,21,490683040,1
S5,0,22,1940961689,0
S5,0,23,1454648504,0
S5,0,24,558398644,0
S5,0,25,1286326493,0
S5,0,26,905618129,0
S5,0,27,649442228,0
S5,0,28,1033628820,0
S5,0,29,815515411,1
S5,1,0,1885087324,0
S5,1,1,1655700015,1
S5,1,2,1021903553,0
S5,1,3,1644975509,0
S5,1,4,1168327485,0
S5,1,5,821699653,0
S5,1,6,1390326187,0
S5,1,7,62755090,0
S5,1,8,1060521833,1
S5,1,9,589950212,0
S5,1,10,1305069655,0
S5,1,11,28593644,0
S5,1,12,1865301797,0
S5,1,13,2060094721,0
S5,1,14,1948411728,0
S5,1,15,391197292,0
S5,1,16,1222798800,0
S5,1,17,1741812164,1
S5,1,18,761716013,0
S5,1,19,1418527271,0
S5,1,20,783127692,0
S5,1,21,1964437265,1
S5,1,22,957459067,0
S5,1,23,8860321,0
S5,1,24,1947352502,0
S5,1,25,530962326,0
S5,1,26,1487894653,0
S5,1,27,336917293,0
S5,1,28,362942692,0
S5,1,29,125804357,0
