scenario,part,trial,seed,n_decodes
S1,0,0,913544046,2
S1,0,1,68344610,2
S1,0,2,205210819,1
S1,0,3,2050797404,1
S1,0,4,584097744,1
S1,0,5,890384831,2
S1,0,6,1254229004,1
S1,0,7,1244130315,1
S1,0,8,1326464048,1
S1,0,9,1074612516,1
S1,0,10,29435684,1
S1,0,11,1345611442,1
S1,0,12,254059146,3
S1,0,13,1403049087,1
S1,0,14,1957806283,1
S1,0,15,267648966,1
S1,0,16,960983847,1
S1,0,17,686045087,1
S1,0,18,1659563288,1
S1,0,19,977855334,1
S1,0,20,98817331,1
S1,0,21,115288869,2
S1,0,22,777397754,1
S1,0,23,148715740,1
S1,0,24,1506189509,1
S1,1,0,1915168523,1
S1,1,1,1105300121,1
S1,1,2,1345625016,2
S1,1,3,326758647,1
S1,1,4,370219933,1
S1,1,5,1953771900,1
S1,1,6,502753508,1
S1,1,7,1424923858,1
S1,1,8,1903907853,1
S1,1,9,1125537016,1
S1,1,10,276603344,2
S1,1,11,570957097,1
S1,1,12,99048744,1
S1,1,13,288341828,1
S1,1,14,1700244473,2
S1,1,15,146309123,1
S1,1,16,690315477,1
S1,1,17,1195265261,2
S1,1,18,252266997,1
S1,1,19,1323151804,1
S1,1,20,955046557,1
S1,1,21,57776473,1
S1,1,22,939505363,1
S1,1,23,475055336,1
S1,1,24,74544321,1
S1,2,0,1491760006,1
S1,2,1,546635023,1
S1,2,2,714902369,1
S1,2,3,1510363572,1
S1,2,4,300973681,1
S1,2,5,1324112953,1
S1,2,6,586047112,2
S1,2,7,505401989,1
S1,2,8,621469517,1
S1,2,9,1251077189,1
S1,2,10,1708909716,2
S1,2,11,2015126675,1
S1,2,12,1695180231,1
S1,2,13,1537761778,1
S1,2,14,927811775,1
S1,2,15,625546902,1
S1,2,16,1238972250,1
S1,2,17,939036041,1
S1,2,18,1180094015,1
S1,2,19,743336773,1
S1,2,20,1008155982,2
S1,2,21,2140707213,1
S1,2,22,873249515,1
S1,2,23,1489137987,1
S1,2,24,417104032,1
S1,3,0,474144144,2
S1,3,1,1226819330,1
S1,3,2,1182452760,1
S1,3,3,695784695,1
S1,3,4,354507801,1
S1,3,5,1896505409,1
S1,3,6,813757840,2
S1,3,7,1821196806,1
S1,3,8,678280312,2
S1,3,9,1114353932,1
S1,3,10,2147293350,1
S1,3,11,1772385783,1
S1,3,12,303013713,1
S1,3,13,1918372202,3
S1,3,14,604913376,2
S1,3,15,1143733040,1
S1,3,16,1004744363,1
S1,3,17,946620584,1
S1,3,18,723684540,1
S1,3,19,1359341778,1
S1,3,20,315127909,3
S1,3,21,224318714,1
S1,3,22,834433093,1
S1,3,23,772918103,1
S1,3,24,1363536787,1
S1,4,0,184630235,1
S1,4,1,792672454,1
S1,4,2,2116022063,1
S1,4,3,1669976150,2
S1,4,4,1105695724,1
S1,4,5,913604711,1
S1,4,6,1306648998,1
S1,4,7,431633508,1
S1,4,8,362086323,1
S1,4,9,797290067,1
S1,4,10,457564648,1
S1,4,11,676284104,1
S1,4,12,695452097,1
S1,4,13,479390624,1
S1,4,14,1531159989,2
S1,4,15,782549645,2
S1,4,16,609985544,1
S1,4,17,1895525119,1
S1,4,18,667898222,1
S1,4,19,466710596,1
S1,4,20,673188258,1
S1,4,21,1683126998,1
S1,4,22,1125883476,1
S1,4,23,216347582,1
S1,4,24,706327463,1
S1,5,0,528655056,1
S1,5,1,108725431,1
S1,5,2,2006277236,1
S1,5,3,1577793700,1
S1,5,4,572985570,1
S1,5,5,568887930,1
S1,5,6,1559530927,1
S1,5,7,2027934931,1
S1,5,8,1358551141,1
S1,5,9,1978344609,1
S1,5,10,1466198293,1
S1,5,11,1800542655,1
S1,5,12,1406138911,1
S1,5,13,1370585115,1
S1,5,14,1721797273,1
S1,5,15,37176085,1
S1,5,16,1497161231,1
S1,5,17,451944933,1
S1,5,18,549090246,1
S1,5,19,1120951027,1
S1,5,20,1198085450,1
S1,5,21,294501413,2
S1,5,22,1655973408,1
S1,5,23,1553313410,1
S1,5,24,878231522,1
S1,6,0,147152921,1
S1,6,1,1953053430,2
S1,6,2,147567551,1
S1,6,3,819374430,1
S1,6,4,190834757,1
S1,6,5,1304035244,2
S1,6,6,137731585,1
S1,6,7,825037210,2
S1,6,8,1420529664,1
S1,6,9,1668132250,2
S1,6,10,922674884,1
S1,6,11,1045884135,1
S1,6,12,490889928,1
S1,6,13,573064794,1
S1,6,14,1642203415,1
S1,6,15,528962973,1
S1,6,16,1595532769,1
S1,6,17,976951599,1
S1,6,18,1220093843,1
S1,6,19,105338387,1
S1,6,20,153689768,2
S1,6,21,892783248,1
S1,6,22,114433241,1
S1,6,23,1961688456,1
S1,6,24,936800646,1
S1,7,0,1402667823,1
S1,7,1,1425587327,1
S1,7,2,718289455,1
S1,7,3,1232710238,2
S1,7,4,2017399571,3
S1,7,5,1584417538,3
S1,7,6,699181350,1
S1,7,7,333929050,1
S1,7,8,1081501799,1
S1,7,9,1359276444,2
S1,7,10,126592588,1
S1,7,11,1798565066,1
S1,7,12,526089100,1
S1,7,13,463651272,1
S1,7,14,337747512,2
S1,7,15,85138034,1
S1,7,16,1150424064,2
S1,7,17,889099246,1
S1,7,18,1499896480,1
S1,7,19,788281925,1
S1,7,20,446993450,2
S1,7,21,1721697900,1
S1,7,22,750634112,2
S1,7,23,1823769247,2
S1,7,24,192268029,3
S1,8,0,1206520285,1
S1,8,1,1462033172,1
S1,8,2,1537966073,4
S1,8,3,1256192739,2
S1,8,4,1121198307,1
S1,8,5,698729230,1
S1,8,6,1228715212,1
S1,8,7,1158501831,3
S1,8,8,239378097,4
S1,8,9,1490097379,2
S1,8,10,1165800018,1
S1,8,11,1108047410,3
S1,8,12,1108994799,1
S1,8,13,414641223,2
S1,8,14,1669722879,3
S1,8,15,91634305,3
S1,8,16,805501353,1
S1,8,17,1006623787,1
S1,8,18,2037085652,1
S1,8,19,1976930830,2
S1,8,20,438200892,1
S1,8,21,1839563312,2
S1,8,22,1142727422,2
S1,8,23,2063294908,1
S1,8,24,1644322266,2
S1,9,0,758409719,1
S1,9,1,1723470335,1
