scenario,part,trial,seed,message,freq_hz,dt_s,reported_snr_db,signal_db,local_noise_db,reconstructed_snr_db
S5,0,2,892021093,<...> 57OFC6KE94R RR73,900,3.12,-27,-56.669,-56.5,-26.669
S5,0,2,892021093,<...> <RDCTR280> DP87,2819,-1.28,-27,-56.535,-56.5,-26.535
S5,0,5,434100809,O39 VB <RDCTR356>/P R QL84,716,-0.88,-26,-55.774,-56.5,-25.774
S5,0,10,1672796167,<...> ETWUUZEI/C5 73,2506,2.8,-26,-56.474,-56.5,-26.474
S5,0,21,490683040,FMTV  KXZY9 <...>,1256,2,-25,-56.43,-57.5,-25.43
S5,0,74,147673637,<RDCTR147> <RDCTR46> R CB44,1081,2.64,-27,-57.117,-56.5,-27.117
S5,0,77,189845876,<RDCTR48> D31GBJ/R JC64,2606,2.88,-27,-56.747,-56.5,-26.747
S5,0,88,24036291,<RDCTR328>/P <RDCTR13>/P R LJ68,881,-0.96,-26,-56.911,-57.5,-25.911
S5,0,98,1270057056,/<RDCTR67> /D 6W4 <...> 73,1634,-1.2,-27,-57.359,-57,-26.859
S5,0,1001,65036547,<RDCTR44> <RDCTR303> AI03,1766,2.88,-26,-55.48,-56,-25.98
S5,0,1011,1699312098,CQ SRVUCUEW7OZ,2166,-1.36,-25,-55.121,-56.5,-25.121
S5,0,1016,1077606376,CQ QYJUEROQ5QM,1350,-1.2,-26,-55.887,-56.5,-25.887
S5,0,1019,302648733,<RDCTR248> H/P <RDCTR112> RC53,238,-0.8,-26,-55.885,-56,-26.385
S5,0,1025,2040451318,CQ 1813/SEMUWT,416,2.72,-27,-57.02,-56.5,-27.02
S5,0,1027,464700815,CQ <RDCTR286> KIZP,2256,-1.36,-27,-56.793,-56.5,-26.793
S5,0,1029,1170167593,<...> C53 46EETVG RR73,981,-1.52,-26,-56.42,-56.5,-26.42
S5,0,1037,815897425,3BA528802C13DBAB24,1144,0.32,-26,-57.361,-57.5,-26.361
S5,0,1041,1464391817,CQ <...>,2322,-0.88,-27,-56.247,-56,-26.747
S5,0,1054,738335039,CQ R1LYGLYXSFB,2778,-0.88,-26,-56.274,-56.5,-26.274
S5,0,1055,1704902266,<RDCTR332> R/R <RDCTR52>/R R AB61,2509,-0.96,-27,-57.459,-57,-26.959
S5,0,1057,2072311525,M76NDI/R L10ELI LQ26,1478,-0.48,-26,-56.368,-56.5,-26.368
S5,0,105,1376894754,?-2ZMAVPESDR/,1209,3.04,-27,-56.608,-56,-27.108
S5,0,1063,690116694,CQ DAXNLH FYTG,1969,-1.2,-26,-56.465,-56.5,-26.465
S5,0,1073,1119546474,<RDCTR167> <RDCTR166> FN95,1816,-0.96,-27,-56.973,-56.5,-26.973
S5,0,1076,1060159751,<RDCTR350>/R <RDCTR121> R QG34,2425,-1.04,-27,-57.111,-56.5,-27.111
S5,0,1080,34601636,<...> <RDCTR204> GK94,2666,-1.36,-27,-57.75,-57.5,-26.75
S5,0,108,211075191,<RDCTR10> 431 KL/R RH04,2075,-1.6,-26,-55.594,-56.5,-25.594
S5,0,1095,2021241788,0RIRC3B7ICR <...>,1981,-1.36,-27,-56.529,-56,-27.029
S5,0,1104,1154910337,CQ ZKRA <RDCTR98> PJ93,2734,-1.6,-26,-55.413,-56,-25.913
S5,0,1132,1524219736,CQ FSCO <RDCTR244>/P GI34,2919,-1.52,-26,-55.978,-56.5,-25.978
S5,0,1133,1247729654,YLIWQXNO2PN <...> 73,1503,-0.88,-26,-56.808,-57,-26.308
S5,0,1136,1977250977,3XS8PAF/P <RDCTR279> R PC76,1425,3.12,-27,-57.27,-57,-26.77
S5,0,1142,1740076702,<RDCTR317> <RDCTR99> R PN04,706,0.24,-26,-57.405,-57.5,-26.405
S5,0,1146,1446018643,<RDCTR107>/P <RDCTR135>/P QM40,2134,-1.6,-27,-57.587,-57,-27.087
S5,0,1147,13950195,<RDCTR145>/R <RDCTR139> DC34,2738,-0.48,-28,-58.796,-57,-28.296
S5,0,1150,1317739974,A4 DY/P <RDCTR54> BN41,2247,2.88,-27,-57.2,-56.5,-27.2
S5,0,1155,1285975723,<RDCTR269>/P <RDCTR264> OE86,888,-1.2,-27,-58.056,-57.5,-27.056
S5,0,1168,695342243,106QGG W90HLZ EC23,2491,-1.28,-27,-57.401,-56.5,-27.401
S5,0,1169,398466591,CQ <...>,1975,-1.12,-26,-56.618,-57,-26.118
S5,0,1169,398466591,<RDCTR82>/P <...> HF92,1394,-0.08,-26,-56.385,-57,-25.885
S5,0,1182,12891089,<RDCTR90> <RDCTR79> DG80,1969,-0.96,-27,-56.781,-56.5,-26.781
S5,0,1185,1685224653,<RDCTR192>/R <RDCTR354>/R R BR32,894,-1.44,-27,-56.793,-56.5,-26.793
S5,0,1197,1015654465,<RDCTR358> <RDCTR266>/P R GN92,2128,-0.08,-27,-57.096,-57,-26.596
S5,0,1216,1755187904,<RDCTR226> <RDCTR311>/R R AL36,2709,-1.2,-26,-57.211,-57.5,-26.211
S5,0,1225,323125086,C29WYI <RDCTR07>/R R JB56,2878,-0.88,-27,-57.493,-56.5,-27.493
S5,0,122,503525738,<RDCTR12> <RDCTR95> JQ32,1022,-1.12,-27,-57.507,-57,-27.007
S5,0,1232,2145123555,09C5302655EA560814,1422,1.76,-26,-56.335,-57,-25.835
S5,0,1237,396691525,<RDCTR255>/P <RDCTR293>/P LL80,1356,-1.12,-27,-57.653,-57.5,-26.653
S5,0,1245,506312350,X69GBG <RDCTR289>/P OM75,444,1.84,-26,-56.62,-57,-26.12
S5,0,1246,1694257971,<RDCTR200>/R <RDCTR72> R GK85,325,-0.56,-26,-55.993,-56.5,-25.993
S5,0,1250,988444930,<...> MJF/2EVOV34 RR73,866,-1.28,-27,-57.331,-57,-26.831
S5,0,1259,1265002688,W77TG 641WKB/P DB05,1100,-0.96,-26,-56.733,-57,-26.233
S5,0,1268,1156076527,W68 UA 743SNS/P +G2,672,-0.4,-27,-57.132,-56.5,-27.132
S5,0,1270,1565043573,CQ <...>,1384,2.32,-27,-56.576,-56.5,-26.576
S5,0,1272,27852616,106PIZ/R <RDCTR326> +H3,2225,-0.88,-26,-56.822,-57,-26.322
S5,0,1277,591390070,<RDCTR305>/P <RDCTR282>/P R AR79,269,2.72,-27,-57.046,-56.5,-27.046
S5,0,1301,1541674903,CQ XVTF L22OTQ/R NJ78,906,-1.6,-27,-57.232,-56.5,-27.232
S5,0,131,40753756,12OJU7IY+-4-.,1869,-1.36,-26,-57.479,-57.5,-26.479
S5,0,132,1436126592,0Z3 Z A18VLV R QB91,2678,1.04,-27,-57.361,-56.5,-27.361
S5,0,1333,1069137736,162JDE M59KJO/R R BO61,1856,2.64,-26,-56.403,-56.5,-26.403
S5,0,1341,2038506127,V52QOL DI5 CU EN32,2816,-0.32,-27,-57.571,-57.5,-26.571
