scenario,part,trial,seed,message,freq_hz,dt_s,reported_snr_db
S5,0,2,892021093,<...> 57OFC6KE94R RR73,900,3.120,-27
S5,0,2,892021093,<...> <RDCTG280> DP87,2819,-1.280,-27
S5,0,5,434100809,O39 VB <RDCTG356>/P R QL84,716,-0.880,-27
S5,0,10,1672796167,<...> ETWUUZEI/C5 73,2506,2.800,-26
S5,0,21,490683040,FMTV  KXZY9 <...>,1256,2.000,-25
S5,0,74,147673637,<RDCTG147> <RDCTG46> R CB44,1081,2.640,-27
S5,0,77,189845876,<RDCTG48> D31GBJ/R JC64,2606,2.880,-27
S5,0,88,24036291,<RDCTG328>/P <RDCTG13>/P R LJ68,881,-0.960,-29
S5,0,98,1270057056,/<RDCTG67> /D 6W4 <...> 73,1634,-1.200,-27
S5,0,1001,65036547,<RDCTG44> <RDCTG303> AI03,1766,2.880,-26
S5,0,1011,1699312098,CQ SRVUCUEW7OZ,2166,-1.360,-27
S5,0,1016,1077606376,CQ QYJUEROQ5QM,1350,-1.200,-28
S5,0,1019,302648733,<RDCTG248> H/P <RDCTG112> RC53,238,-0.800,-28
S5,0,1025,2040451318,CQ 1813/SEMUWT,416,2.720,-27
S5,0,1027,464700815,CQ <RDCTG286> KIZP,2256,-1.360,-27
S5,0,1029,1170167593,<...> C53 46EETVG RR73,981,-1.520,-27
S5,0,1037,815897425,3BA528802C13DBAB24,1144,0.320,-26
S5,0,1041,1464391817,CQ <...>,2322,-0.880,-28
S5,0,1054,738335039,CQ R1LYGLYXSFB,2778,-0.880,-27
S5,0,1055,1704902266,<RDCTG332> R/R <RDCTG52>/R R AB61,2509,-0.960,-27
S5,0,1057,2072311525,M76NDI/R L10ELI LQ26,1478,-0.480,-28
S5,0,105,1376894754,?-2ZMAVPESDR/,1209,3.040,-27
S5,0,1063,690116694,CQ DAXNLH FYTG,1969,-1.200,-26
S5,0,1073,1119546474,<RDCTG167> <RDCTG166> FN95,1816,-0.960,-27
S5,0,1076,1060159751,<RDCTG350>/R <RDCTG121> R QG34,2425,-1.040,-28
S5,0,1080,34601636,<...> <RDCTG204> GK94,2666,-1.360,-27
S5,0,108,211075191,<RDCTG10> 431 KL/R RH04,2075,-1.600,-29
S5,0,1095,2021241788,0RIRC3B7ICR <...>,1981,-1.360,-27
S5,0,1104,1154910337,CQ ZKRA <RDCTG98> PJ93,2734,-1.600,-27
S5,0,1132,1524219736,CQ FSCO <RDCTG244>/P GI34,2919,-1.520,-27
S5,0,1133,1247729654,YLIWQXNO2PN <...> 73,1503,-0.880,-27
S5,0,1136,1977250977,3XS8PAF/P <RDCTG279> R PC76,1425,3.120,-27
S5,0,1142,1740076702,<RDCTG317> <RDCTG99> R PN04,706,0.240,-26
S5,0,1146,1446018643,<RDCTG107>/P <RDCTG135>/P QM40,2134,-1.600,-27
S5,0,1147,13950195,<RDCTG145>/R <RDCTG139> DC34,2738,-0.480,-28
S5,0,1150,1317739974,A4 DY/P <RDCTG54> BN41,2247,2.880,-27
S5,0,1155,1285975723,<RDCTG269>/P <RDCTG264> OE86,888,-1.200,-28
S5,0,1168,695342243,106QGG W90HLZ EC23,2491,-1.280,-27
S5,0,1169,398466591,CQ <...>,1975,-1.120,-27
S5,0,1169,398466591,<RDCTG82>/P <...> HF92,1394,-0.080,-29
S5,0,1182,12891089,<RDCTG90> <RDCTG79> DG80,1969,-0.960,-26
S5,0,1185,1685224653,<RDCTG192>/R <RDCTG354>/R R BR32,894,-1.440,-27
S5,0,1197,1015654465,<RDCTG358> <RDCTG266>/P R GN92,2128,-0.080,-28
S5,0,1216,1755187904,<RDCTG226> <RDCTG311>/R R AL36,2709,-1.200,-27
S5,0,1225,323125086,C29WYI <RDCTG07>/R R JB56,2878,-0.880,-27
S5,0,122,503525738,<RDCTG12> <RDCTG95> JQ32,1022,-1.120,-28
S5,0,1232,2145123555,09C5302655EA560814,1422,1.760,-26
S5,0,1237,396691525,<RDCTG255>/P <RDCTG293>/P LL80,1356,-1.120,-28
S5,0,1245,506312350,X69GBG <RDCTG289>/P OM75,444,1.840,-26
S5,0,1246,1694257971,<RDCTG200>/R <RDCTG72> R GK85,325,-0.560,-27
S5,0,1250,988444930,<...> MJF/2EVOV34 RR73,866,-1.280,-27
S5,0,1259,1265002688,W77TG 641WKB/P DB05,1100,-0.960,-27
S5,0,1268,1156076527,W68 UA 743SNS/P +G2,672,-0.400,-29
S5,0,1270,1565043573,CQ <...>,1384,2.320,-27
S5,0,1272,27852616,106PIZ/R <RDCTG326> +H3,2225,-0.880,-28
