scenario_id,part_index,trial_index,seed,appraiser,message_text,true_snr_db,true_dt_s,true_freq_hz,reported_snr_db,reported_dt_s,reported_freq_hz,matched,false_positive,cycle_utc
S1b,0,0,670279447,WSJT-X,CQ Q1ABC FN42,-24,0.2,1500,,,,False,False,2026-06-06T20:53:15Z
S1b,0,1,755619207,WSJT-X,CQ Q1ABC FN42,-24,0.2,1500,,,,False,False,2026-06-06T20:53:30Z
S1b,0,2,405040029,WSJT-X,CQ Q1ABC FN42,-24,0.2,1500,,,,False,False,2026-06-06T20:53:45Z
S1b,1,0,421145395,WSJT-X,CQ Q1ABC FN42,-21,0.2,1500,,,,False,False,2026-06-06T20:54:00Z
S1b,1,1,617056408,WSJT-X,CQ Q1ABC FN42,-21,0.2,1500,,,,False,False,2026-06-06T20:54:15Z
S1b,1,2,1338794941,WSJT-X,CQ Q1ABC FN42,-21,0.2,1500,,,,False,False,2026-06-06T20:54:45Z
S1b,2,0,265536591,WSJT-X,CQ Q1ABC FN42,-18,0.2,1500,-20.0,-0.4,1500.0,True,False,2026-06-06T20:55:00Z
S1b,2,1,984384874,WSJT-X,CQ Q1ABC FN42,-18,0.2,1500,,,,False,False,2026-06-06T20:55:15Z
S1b,2,2,1445559193,WSJT-X,CQ Q1ABC FN42,-18,0.2,1500,-20.0,-0.2,1500.0,True,False,2026-06-06T20:55:30Z
S1b,3,0,799072493,WSJT-X,CQ Q1ABC FN42,-15,0.2,1500,-17.0,-0.1,1500.0,True,False,2026-06-06T20:55:45Z
S1b,3,1,1267271188,WSJT-X,CQ Q1ABC FN42,-15,0.2,1500,-17.0,-0.0,1500.0,True,False,2026-06-06T20:56:00Z
S1b,3,2,60044557,WSJT-X,CQ Q1ABC FN42,-15,0.2,1500,-17.0,-0.5,1500.0,True,False,2026-06-06T20:56:30Z
S1b,,,,WSJT-X,CQ Q1ABC FN42,,,,-14.0,-0.5,1500.0,False,True,2026-06-06T20:44:15Z
S1b,,,,WSJT-X,CQ Q1ABC FN42,,,,-14.0,-0.4,1500.0,False,True,2026-06-06T20:44:30Z
S1b,,,,WSJT-X,CQ Q1ABC FN42,,,,-14.0,-0.3,1501.0,False,True,2026-06-06T20:44:45Z
S1b,,,,WSJT-X,CQ Q1ABC FN42,,,,-11.0,-0.2,1500.0,False,True,2026-06-06T20:45:00Z
S1b,,,,WSJT-X,CQ Q1ABC FN42,,,,-11.0,-0.1,1500.0,False,True,2026-06-06T20:45:15Z
S1b,,,,WSJT-X,CQ Q1ABC FN42,,,,-11.0,-0.5,1500.0,False,True,2026-06-06T20:45:45Z
S1b,,,,WSJT-X,CQ Q1ABC FN42,,,,-8.0,-0.4,1500.0,False,True,2026-06-06T20:46:00Z
S1b,,,,WSJT-X,CQ Q1ABC FN42,,,,-8.0,-0.3,1500.0,False,True,2026-06-06T20:46:15Z
S1b,,,,WSJT-X,CQ Q1ABC FN42,,,,-8.0,-0.2,1500.0,False,True,2026-06-06T20:46:30Z
S1b,,,,WSJT-X,CQ Q1ABC FN42,,,,-4.0,-0.1,1500.0,False,True,2026-06-06T20:46:45Z
