scenario_id,part_index,trial_index,seed,true_snr_db,true_dt_s,true_freq_hz,message_text,cycle_utc
S1,0,0,913544046,-24,0.2,1500,CQ Q1ABC FN42,2026-06-06T14:41:00Z
S1,0,1,68344610,-24,0.2,1500,CQ Q1ABC FN42,2026-06-06T14:41:15Z
S1,0,2,205210819,-24,0.2,1500,CQ Q1ABC FN42,2026-06-06T14:41:30Z
S1,1,0,1915168523,-21,0.2,1500,CQ Q1ABC FN42,2026-06-06T14:41:45Z
S1,1,1,1105300121,-21,0.2,1500,CQ Q1ABC FN42,2026-06-06T14:42:00Z
S1,1,2,1345625016,-21,0.2,1500,CQ Q1ABC FN42,2026-06-06T14:42:30Z
S1,2,0,1491760006,-18,0.2,1500,CQ Q1ABC FN42,2026-06-06T14:42:45Z
S1,2,1,546635023,-18,0.2,1500,CQ Q1ABC FN42,2026-06-06T14:43:00Z
S1,2,2,714902369,-18,0.2,1500,CQ Q1ABC FN42,2026-06-06T14:43:15Z
S1,3,0,474144144,-15,0.2,1500,CQ Q1ABC FN42,2026-06-06T14:43:30Z
S1,3,1,1226819330,-15,0.2,1500,CQ Q1ABC FN42,2026-06-06T14:44:00Z
S1,3,2,1182452760,-15,0.2,1500,CQ Q1ABC FN42,2026-06-06T14:44:15Z
S1,4,0,184630235,-12,0.2,1500,CQ Q1ABC FN42,2026-06-06T14:44:30Z
S1,4,1,792672454,-12,0.2,1500,CQ Q1ABC FN42,2026-06-06T14:44:45Z
S1,4,2,2116022063,-12,0.2,1500,CQ Q1ABC FN42,2026-06-06T14:45:00Z
S1,5,0,528655056,-9,0.2,1500,CQ Q1ABC FN42,2026-06-06T14:45:30Z
S1,5,1,108725431,-9,0.2,1500,CQ Q1ABC FN42,2026-06-06T14:45:45Z
S1,5,2,2006277236,-9,0.2,1500,CQ Q1ABC FN42,2026-06-06T14:46:00Z
S1,6,0,147152921,-6,0.2,1500,CQ Q1ABC FN42,2026-06-06T14:46:15Z
S1,0,0,913544046,-24,0.2,1500,CQ Q1ABC FN42,2026-06-06T14:56:00Z
S1,0,1,68344610,-24,0.2,1500,CQ Q1ABC FN42,2026-06-06T14:56:15Z
S1,0,2,205210819,-24,0.2,1500,CQ Q1ABC FN42,2026-06-06T14:56:30Z
S1,1,0,1915168523,-21,0.2,1500,CQ Q1ABC FN42,2026-06-06T14:56:45Z
S1,1,1,1105300121,-21,0.2,1500,CQ Q1ABC FN42,2026-06-06T14:57:00Z
S1,1,2,1345625016,-21,0.2,1500,CQ Q1ABC FN42,2026-06-06T14:57:30Z
S1,2,0,1491760006,-18,0.2,1500,CQ Q1ABC FN42,2026-06-06T14:57:45Z
S1,2,1,546635023,-18,0.2,1500,CQ Q1ABC FN42,2026-06-06T14:58:00Z
S1,2,2,714902369,-18,0.2,1500,CQ Q1ABC FN42,2026-06-06T14:58:15Z
S1,3,0,474144144,-15,0.2,1500,CQ Q1ABC FN42,2026-06-06T14:58:30Z
S1,3,1,1226819330,-15,0.2,1500,CQ Q1ABC FN42,2026-06-06T14:59:00Z
S1,3,2,1182452760,-15,0.2,1500,CQ Q1ABC FN42,2026-06-06T14:59:15Z
S1,4,0,184630235,-12,0.2,1500,CQ Q1ABC FN42,2026-06-06T14:59:30Z
S1,4,1,792672454,-12,0.2,1500,CQ Q1ABC FN42,2026-06-06T14:59:45Z
S1,4,2,2116022063,-12,0.2,1500,CQ Q1ABC FN42,2026-06-06T15:00:00Z
S1,5,0,528655056,-9,0.2,1500,CQ Q1ABC FN42,2026-06-06T15:00:15Z
S1,5,1,108725431,-9,0.2,1500,CQ Q1ABC FN42,2026-06-06T15:00:45Z
