scenario_id,part_index,trial_index,seed,true_snr_db,true_dt_s,true_freq_hz,message_text,cycle_utc
S1,0,0,913544046,-12,0.2,1500,CQ Q1ABC FN42,2026-06-07T16:30:15Z
S1,0,1,68344610,-12,0.2,1500,CQ Q1ABC FN42,2026-06-07T16:30:30Z
S1,0,2,205210819,-12,0.2,1500,CQ Q1ABC FN42,2026-06-07T16:30:45Z
S1,1,0,1915168523,-9,0.2,1500,CQ Q1ABC FN42,2026-06-07T16:31:00Z
S1,1,1,1105300121,-9,0.2,1500,CQ Q1ABC FN42,2026-06-07T16:31:15Z
S1,1,2,1345625016,-9,0.2,1500,CQ Q1ABC FN42,2026-06-07T16:31:45Z
S1,2,0,1491760006,-6,0.2,1500,CQ Q1ABC FN42,2026-06-07T16:32:00Z
S1,2,1,546635023,-6,0.2,1500,CQ Q1ABC FN42,2026-06-07T16:32:15Z
S1,2,2,714902369,-6,0.2,1500,CQ Q1ABC FN42,2026-06-07T16:32:30Z
S1,3,0,474144144,-3,0.2,1500,CQ Q1ABC FN42,2026-06-07T16:32:45Z
S1,3,1,1226819330,-3,0.2,1500,CQ Q1ABC FN42,2026-06-07T16:33:15Z
S1,3,2,1182452760,-3,0.2,1500,CQ Q1ABC FN42,2026-06-07T16:33:30Z
S1,4,0,184630235,0,0.2,1500,CQ Q1ABC FN42,2026-06-07T16:33:45Z
S1,4,1,792672454,0,0.2,1500,CQ Q1ABC FN42,2026-06-07T16:34:00Z
S1,4,2,2116022063,0,0.2,1500,CQ Q1ABC FN42,2026-06-07T16:34:15Z
S1,5,0,528655056,3,0.2,1500,CQ Q1ABC FN42,2026-06-07T16:34:30Z
S1,5,1,108725431,3,0.2,1500,CQ Q1ABC FN42,2026-06-07T16:35:00Z
S1,5,2,2006277236,3,0.2,1500,CQ Q1ABC FN42,2026-06-07T16:35:15Z
S1,6,0,147152921,6,0.2,1500,CQ Q1ABC FN42,2026-06-07T16:35:30Z
S1,6,1,1953053430,6,0.2,1500,CQ Q1ABC FN42,2026-06-07T16:35:45Z
S1,6,2,147567551,6,0.2,1500,CQ Q1ABC FN42,2026-06-07T16:36:00Z
S1,7,0,1402667823,9,0.2,1500,CQ Q1ABC FN42,2026-06-07T16:36:30Z
S1,7,1,1425587327,9,0.2,1500,CQ Q1ABC FN42,2026-06-07T16:36:45Z
S1,7,2,718289455,9,0.2,1500,CQ Q1ABC FN42,2026-06-07T16:37:00Z
S1,8,0,1206520285,12,0.2,1500,CQ Q1ABC FN42,2026-06-07T16:37:15Z
S1,8,1,1462033172,12,0.2,1500,CQ Q1ABC FN42,2026-06-07T16:37:30Z
S1,8,2,1537966073,12,0.2,1500,CQ Q1ABC FN42,2026-06-07T16:37:45Z
S1,9,0,758409719,15,0.2,1500,CQ Q1ABC FN42,2026-06-07T16:38:15Z
S1,9,1,1723470335,15,0.2,1500,CQ Q1ABC FN42,2026-06-07T16:38:30Z
S1,9,2,1581091521,15,0.2,1500,CQ Q1ABC FN42,2026-06-07T16:38:45Z
S1b,0,0,670279447,-24,0.2,1500,CQ Q1ABC FN42,2026-06-07T16:39:15Z
S1b,0,1,755619207,-24,0.2,1500,CQ Q1ABC FN42,2026-06-07T16:39:30Z
S1b,0,2,405040029,-24,0.2,1500,CQ Q1ABC FN42,2026-06-07T16:39:45Z
S1b,1,0,421145395,-21,0.2,1500,CQ Q1ABC FN42,2026-06-07T16:40:00Z
S1b,1,1,617056408,-21,0.2,1500,CQ Q1ABC FN42,2026-06-07T16:40:15Z
S1b,1,2,1338794941,-21,0.2,1500,CQ Q1ABC FN42,2026-06-07T16:40:30Z
S1b,2,0,265536591,-18,0.2,1500,CQ Q1ABC FN42,2026-06-07T16:41:00Z
S1b,2,1,984384874,-18,0.2,1500,CQ Q1ABC FN42,2026-06-07T16:41:15Z
S1b,2,2,1445559193,-18,0.2,1500,CQ Q1ABC FN42,2026-06-07T16:41:30Z
S1b,3,0,799072493,-15,0.2,1500,CQ Q1ABC FN42,2026-06-07T16:41:45Z
S1b,3,1,1267271188,-15,0.2,1500,CQ Q1ABC FN42,2026-06-07T16:42:00Z
S1b,3,2,60044557,-15,0.2,1500,CQ Q1ABC FN42,2026-06-07T16:42:15Z
S2,0,0,1289144792,0,0.2,300,CQ Q1ABC FN42,2026-06-07T16:42:45Z
S2,0,1,68113513,0,0.2,300,CQ Q1ABC FN42,2026-06-07T16:43:00Z
S2,0,2,492170927,0,0.2,300,CQ Q1ABC FN42,2026-06-07T16:43:15Z
S2,1,0,2106742562,0,0.2,567,CQ Q1ABC FN42,2026-06-07T16:43:30Z
S2,1,1,1155555599,0,0.2,567,CQ Q1ABC FN42,2026-06-07T16:43:45Z
S2,1,2,1218472882,0,0.2,567,CQ Q1ABC FN42,2026-06-07T16:44:00Z
S2,2,0,1410889249,0,0.2,834,CQ Q1ABC FN42,2026-06-07T16:44:30Z
S2,2,1,1295536992,0,0.2,834,CQ Q1ABC FN42,2026-06-07T16:44:45Z
S2,2,2,1338324977,0,0.2,834,CQ Q1ABC FN42,2026-06-07T16:45:00Z
S2,3,0,1727962604,0,0.2,1101,CQ Q1ABC FN42,2026-06-07T16:45:15Z
S2,3,1,505940398,0,0.2,1101,CQ Q1ABC FN42,2026-06-07T16:45:30Z
S2,3,2,1702346768,0,0.2,1101,CQ Q1ABC FN42,2026-06-07T16:45:45Z
S2,4,0,1635038415,0,0.2,1368,CQ Q1ABC FN42,2026-06-07T16:46:15Z
S2,4,1,1183238402,0,0.2,1368,CQ Q1ABC FN42,2026-06-07T16:46:30Z
S2,4,2,333126784,0,0.2,1368,CQ Q1ABC FN42,2026-06-07T16:46:45Z
S2,5,0,356586922,0,0.2,1635,CQ Q1ABC FN42,2026-06-07T16:47:00Z
S2,5,1,1328624968,0,0.2,1635,CQ Q1ABC FN42,2026-06-07T16:47:15Z
S2,5,2,843406380,0,0.2,1635,CQ Q1ABC FN42,2026-06-07T16:47:45Z
S2,6,0,1939969654,0,0.2,1902,CQ Q1ABC FN42,2026-06-07T16:48:00Z
S2,6,1,441937503,0,0.2,1902,CQ Q1ABC FN42,2026-06-07T16:48:15Z
S2,6,2,781512667,0,0.2,1902,CQ Q1ABC FN42,2026-06-07T16:48:30Z
S2,7,0,1531496940,0,0.2,2169,CQ Q1ABC FN42,2026-06-07T16:48:45Z
S2,7,1,326924126,0,0.2,2169,CQ Q1ABC FN42,2026-06-07T16:49:15Z
S2,7,2,199391290,0,0.2,2169,CQ Q1ABC FN42,2026-06-07T16:49:30Z
S2,8,0,2105928740,0,0.2,2436,CQ Q1ABC FN42,2026-06-07T16:49:45Z
S2,8,1,2122849215,0,0.2,2436,CQ Q1ABC FN42,2026-06-07T16:50:00Z
S2,8,2,1792617518,0,0.2,2436,CQ Q1ABC FN42,2026-06-07T16:50:15Z
S2,9,0,1083440476,0,0.2,2700,CQ Q1ABC FN42,2026-06-07T16:50:30Z
S2,9,1,406326303,0,0.2,2700,CQ Q1ABC FN42,2026-06-07T16:51:00Z
S2,9,2,2144757372,0,0.2,2700,CQ Q1ABC FN42,2026-06-07T16:51:15Z
S3,0,0,1030001410,0,0.0,1500,CQ Q1ABC FN42,2026-06-07T16:51:45Z
S3,0,1,59102629,0,0.0,1500,CQ Q1ABC FN42,2026-06-07T16:52:00Z
S3,0,2,917633151,0,0.0,1500,CQ Q1ABC FN42,2026-06-07T16:52:15Z
S3,1,0,1727488921,0,0.3,1500,CQ Q1ABC FN42,2026-06-07T16:52:30Z
S3,1,1,1935099702,0,0.3,1500,CQ Q1ABC FN42,2026-06-07T16:52:45Z
S3,1,2,1247340308,0,0.3,1500,CQ Q1ABC FN42,2026-06-07T16:53:00Z
S3,2,0,2123842217,0,0.6,1500,CQ Q1ABC FN42,2026-06-07T16:53:30Z
S3,2,1,741456992,0,0.6,1500,CQ Q1ABC FN42,2026-06-07T16:53:45Z
S3,2,2,859851708,0,0.6,1500,CQ Q1ABC FN42,2026-06-07T16:54:00Z
S3,3,0,1497291008,0,0.9,1500,CQ Q1ABC FN42,2026-06-07T16:54:15Z
S3,3,1,2122590732,0,0.9,1500,CQ Q1ABC FN42,2026-06-07T16:54:30Z
S3,3,2,1592902622,0,0.9,1500,CQ Q1ABC FN42,2026-06-07T16:54:45Z
S3,4,0,1269981715,0,1.2,1500,CQ Q1ABC FN42,2026-06-07T16:55:15Z
S3,4,1,1736958637,0,1.2,1500,CQ Q1ABC FN42,2026-06-07T16:55:30Z
S3,4,2,204596110,0,1.2,1500,CQ Q1ABC FN42,2026-06-07T16:55:45Z
S3,5,0,1505505932,0,1.5,1500,CQ Q1ABC FN42,2026-06-07T16:56:00Z
S3,5,1,574426862,0,1.5,1500,CQ Q1ABC FN42,2026-06-07T16:56:15Z
S3,5,2,2081296688,0,1.5,1500,CQ Q1ABC FN42,2026-06-07T16:56:45Z
S3,6,0,1872296474,0,1.8,1500,CQ Q1ABC FN42,2026-06-07T16:57:00Z
S3,6,1,1187247710,0,1.8,1500,CQ Q1ABC FN42,2026-06-07T16:57:15Z
S3,6,2,1223745501,0,1.8,1500,CQ Q1ABC FN42,2026-06-07T16:57:30Z
S3,7,0,626911129,0,2.1,1500,CQ Q1ABC FN42,2026-06-07T16:57:45Z
S3,7,1,1969339727,0,2.1,1500,CQ Q1ABC FN42,2026-06-07T16:58:00Z
S3,7,2,115451501,0,2.1,1500,CQ Q1ABC FN42,2026-06-07T16:58:30Z
S3,8,0,1467476825,0,2.4,1500,CQ Q1ABC FN42,2026-06-07T16:58:45Z
S3,8,1,154111274,0,2.4,1500,CQ Q1ABC FN42,2026-06-07T16:59:00Z
S3,8,2,1142253482,0,2.4,1500,CQ Q1ABC FN42,2026-06-07T16:59:15Z
S3,9,0,395916349,0,2.7,1500,CQ Q1ABC FN42,2026-06-07T16:59:30Z
S3,9,1,1232141577,0,2.7,1500,CQ Q1ABC FN42,2026-06-07T16:59:45Z
S3,9,2,1753739609,0,2.7,1500,CQ Q1ABC FN42,2026-06-07T17:00:15Z
S4,0,0,1380025803,,0.0,,CQ Q1ABC FN42,2026-06-07T17:00:45Z
S4,0,1,1028796488,,0.0,,CQ Q1ABC FN42,2026-06-07T17:01:00Z
S4,0,2,1457782904,,0.0,,CQ Q1ABC FN42,2026-06-07T17:01:15Z
S4,1,0,1710814298,,0.0,,CQ Q1ABC FN42; Q4XYZ Q1ABC -07; Q3PQR Q1ABC RR73; Q1ABC Q4XYZ FN42; Q5DEF Q1ABC +03,2026-06-07T17:01:30Z
S4,1,1,1662193313,,0.0,,CQ Q1ABC FN42; Q4XYZ Q1ABC -07; Q3PQR Q1ABC RR73; Q1ABC Q4XYZ FN42; Q5DEF Q1ABC +03,2026-06-07T17:02:00Z
S4,1,2,196226190,,0.0,,CQ Q1ABC FN42; Q4XYZ Q1ABC -07; Q3PQR Q1ABC RR73; Q1ABC Q4XYZ FN42; Q5DEF Q1ABC +03,2026-06-07T17:02:15Z
S4,2,0,139150452,,0.0,,CQ Q1ABC FN42; Q4XYZ Q1ABC -07; Q3PQR Q1ABC RR73; Q1ABC Q4XYZ FN42; Q5DEF Q1ABC +03; Q1DEF Q1ABC DM79; Q1ABC Q5DEF 73; Q4XYZ Q3PQR -15; Q1JKL Q1ABC PM85; Q1ABC Q1DEF -05,2026-06-07T17:02:45Z
S4,2,1,1124369827,,0.0,,CQ Q1ABC FN42; Q4XYZ Q1ABC -07; Q3PQR Q1ABC RR73; Q1ABC Q4XYZ FN42; Q5DEF Q1ABC +03; Q1DEF Q1ABC DM79; Q1ABC Q5DEF 73; Q4XYZ Q3PQR -15; Q1JKL Q1ABC PM85; Q1ABC Q1DEF -05,2026-06-07T17:03:00Z
S4,2,2,820497043,,0.0,,CQ Q1ABC FN42; Q4XYZ Q1ABC -07; Q3PQR Q1ABC RR73; Q1ABC Q4XYZ FN42; Q5DEF Q1ABC +03; Q1DEF Q1ABC DM79; Q1ABC Q5DEF 73; Q4XYZ Q3PQR -15; Q1JKL Q1ABC PM85; Q1ABC Q1DEF -05,2026-06-07T17:03:30Z
S4,3,0,11459573,,0.0,,CQ Q1ABC FN42; Q4XYZ Q1ABC -07; Q3PQR Q1ABC RR73; Q1ABC Q4XYZ FN42; Q5DEF Q1ABC +03; Q1DEF Q1ABC DM79; Q1ABC Q5DEF 73; Q4XYZ Q3PQR -15; Q1JKL Q1ABC PM85; Q1ABC Q1DEF -05; CQ Q1ABC FN42; Q4XYZ Q1ABC -07; Q3PQR Q1ABC RR73; Q1ABC Q4XYZ FN42; Q5DEF Q1ABC +03; Q1DEF Q1ABC DM79; Q1ABC Q5DEF 73; Q4XYZ Q3PQR -15; Q1JKL Q1ABC PM85; Q1ABC Q1DEF -05,2026-06-07T17:04:00Z
S4,3,1,1313953807,,0.0,,CQ Q1ABC FN42; Q4XYZ Q1ABC -07; Q3PQR Q1ABC RR73; Q1ABC Q4XYZ FN42; Q5DEF Q1ABC +03; Q1DEF Q1ABC DM79; Q1ABC Q5DEF 73; Q4XYZ Q3PQR -15; Q1JKL Q1ABC PM85; Q1ABC Q1DEF -05; CQ Q1ABC FN42; Q4XYZ Q1ABC -07; Q3PQR Q1ABC RR73; Q1ABC Q4XYZ FN42; Q5DEF Q1ABC +03; Q1DEF Q1ABC DM79; Q1ABC Q5DEF 73; Q4XYZ Q3PQR -15; Q1JKL Q1ABC PM85; Q1ABC Q1DEF -05,2026-06-07T17:04:30Z
S4,3,2,205499031,,0.0,,CQ Q1ABC FN42; Q4XYZ Q1ABC -07; Q3PQR Q1ABC RR73; Q1ABC Q4XYZ FN42; Q5DEF Q1ABC +03; Q1DEF Q1ABC DM79; Q1ABC Q5DEF 73; Q4XYZ Q3PQR -15; Q1JKL Q1ABC PM85; Q1ABC Q1DEF -05; CQ Q1ABC FN42; Q4XYZ Q1ABC -07; Q3PQR Q1ABC RR73; Q1ABC Q4XYZ FN42; Q5DEF Q1ABC +03; Q1DEF Q1ABC DM79; Q1ABC Q5DEF 73; Q4XYZ Q3PQR -15; Q1JKL Q1ABC PM85; Q1ABC Q1DEF -05,2026-06-07T17:05:00Z
S4,4,0,984663940,,0.0,,CQ Q1ABC FN42; Q4XYZ Q1ABC -07; Q3PQR Q1ABC RR73; Q1ABC Q4XYZ FN42; Q5DEF Q1ABC +03; Q1DEF Q1ABC DM79; Q1ABC Q5DEF 73; Q4XYZ Q3PQR -15; Q1JKL Q1ABC PM85; Q1ABC Q1DEF -05; CQ Q1ABC FN42; Q4XYZ Q1ABC -07; Q3PQR Q1ABC RR73; Q1ABC Q4XYZ FN42; Q5DEF Q1ABC +03; Q1DEF Q1ABC DM79; Q1ABC Q5DEF 73; Q4XYZ Q3PQR -15; Q1JKL Q1ABC PM85; Q1ABC Q1DEF -05; CQ Q1ABC FN42; Q4XYZ Q1ABC -07; Q3PQR Q1ABC RR73; Q1ABC Q4XYZ FN42; Q5DEF Q1ABC +03; Q1DEF Q1ABC DM79; Q1ABC Q5DEF 73; Q4XYZ Q3PQR -15; Q1JKL Q1ABC PM85; Q1ABC Q1DEF -05,2026-06-07T17:05:30Z
S4,4,1,484615558,,0.0,,CQ Q1ABC FN42; Q4XYZ Q1ABC -07; Q3PQR Q1ABC RR73; Q1ABC Q4XYZ FN42; Q5DEF Q1ABC +03; Q1DEF Q1ABC DM79; Q1ABC Q5DEF 73; Q4XYZ Q3PQR -15; Q1JKL Q1ABC PM85; Q1ABC Q1DEF -05; CQ Q1ABC FN42; Q4XYZ Q1ABC -07; Q3PQR Q1ABC RR73; Q1ABC Q4XYZ FN42; Q5DEF Q1ABC +03; Q1DEF Q1ABC DM79; Q1ABC Q5DEF 73; Q4XYZ Q3PQR -15; Q1JKL Q1ABC PM85; Q1ABC Q1DEF -05; CQ Q1ABC FN42; Q4XYZ Q1ABC -07; Q3PQR Q1ABC RR73; Q1ABC Q4XYZ FN42; Q5DEF Q1ABC +03; Q1DEF Q1ABC DM79; Q1ABC Q5DEF 73; Q4XYZ Q3PQR -15; Q1JKL Q1ABC PM85; Q1ABC Q1DEF -05,2026-06-07T17:06:00Z
S4,4,2,330630277,,0.0,,CQ Q1ABC FN42; Q4XYZ Q1ABC -07; Q3PQR Q1ABC RR73; Q1ABC Q4XYZ FN42; Q5DEF Q1ABC +03; Q1DEF Q1ABC DM79; Q1ABC Q5DEF 73; Q4XYZ Q3PQR -15; Q1JKL Q1ABC PM85; Q1ABC Q1DEF -05; CQ Q1ABC FN42; Q4XYZ Q1ABC -07; Q3PQR Q1ABC RR73; Q1ABC Q4XYZ FN42; Q5DEF Q1ABC +03; Q1DEF Q1ABC DM79; Q1ABC Q5DEF 73; Q4XYZ Q3PQR -15; Q1JKL Q1ABC PM85; Q1ABC Q1DEF -05; CQ Q1ABC FN42; Q4XYZ Q1ABC -07; Q3PQR Q1ABC RR73; Q1ABC Q4XYZ FN42; Q5DEF Q1ABC +03; Q1DEF Q1ABC DM79; Q1ABC Q5DEF 73; Q4XYZ Q3PQR -15; Q1JKL Q1ABC PM85; Q1ABC Q1DEF -05,2026-06-07T17:06:30Z
S5,0,0,1561858501,-20,0.0,,,2026-06-07T17:07:00Z
S5,0,1,960283802,-20,0.0,,,2026-06-07T17:07:15Z
S5,0,2,892021093,-20,0.0,,,2026-06-07T17:07:30Z
S5,1,0,1885087324,-10,0.0,,,2026-06-07T17:07:45Z
S5,1,1,1655700015,-10,0.0,,,2026-06-07T17:08:00Z
S5,1,2,1021903553,-10,0.0,,,2026-06-07T17:08:15Z
S5,2,0,1138448492,-20,0.0,,,2026-06-07T17:08:30Z
S5,2,1,1850764392,-20,0.0,,,2026-06-07T17:08:45Z
S5,2,2,321598820,-20,0.0,,,2026-06-07T17:09:15Z
S5,3,0,1714205886,-20,0.0,,,2026-06-07T17:09:30Z
S5,3,1,1934708211,-20,0.0,,,2026-06-07T17:09:45Z
S5,3,2,1951162110,-20,0.0,,,2026-06-07T17:10:00Z
S7,0,0,1928618341,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-07T17:10:30Z
S7,0,0,1928618341,0.0,0.0,1500.0,Q4XYZ Q1ABC -07,2026-06-07T17:10:30Z
S7,0,1,1519748887,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-07T17:10:45Z
S7,0,1,1519748887,0.0,0.0,1500.0,Q4XYZ Q1ABC -07,2026-06-07T17:10:45Z
S7,0,2,1888808097,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-07T17:11:00Z
S7,0,2,1888808097,0.0,0.0,1500.0,Q4XYZ Q1ABC -07,2026-06-07T17:11:00Z
S7,1,0,1163046826,-5.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-07T17:11:15Z
S7,1,0,1163046826,-5.0,0.0,1500.0,Q4XYZ Q1ABC -07,2026-06-07T17:11:15Z
S7,1,1,641673168,-5.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-07T17:11:45Z
S7,1,1,641673168,-5.0,0.0,1500.0,Q4XYZ Q1ABC -07,2026-06-07T17:11:45Z
S7,1,2,1425528308,-5.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-07T17:12:00Z
S7,1,2,1425528308,-5.0,0.0,1500.0,Q4XYZ Q1ABC -07,2026-06-07T17:12:00Z
S7,2,0,98455044,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-07T17:12:15Z
S7,2,0,98455044,0.0,0.0,1500.0,Q4XYZ Q1ABC -07,2026-06-07T17:12:15Z
S7,2,0,98455044,0.0,0.0,1500.0,Q3PQR Q1ABC RR73,2026-06-07T17:12:15Z
S7,2,1,1384128433,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-07T17:12:30Z
S7,2,1,1384128433,0.0,0.0,1500.0,Q4XYZ Q1ABC -07,2026-06-07T17:12:30Z
S7,2,1,1384128433,0.0,0.0,1500.0,Q3PQR Q1ABC RR73,2026-06-07T17:12:30Z
S7,2,2,1361330484,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-07T17:13:00Z
S7,2,2,1361330484,0.0,0.0,1500.0,Q4XYZ Q1ABC -07,2026-06-07T17:13:00Z
S7,2,2,1361330484,0.0,0.0,1500.0,Q3PQR Q1ABC RR73,2026-06-07T17:13:00Z
S7,3,0,763598906,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-07T17:13:15Z
S7,3,0,763598906,0.0,0.0,1503.0,Q4XYZ Q1ABC -07,2026-06-07T17:13:15Z
S7,3,1,1480126732,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-07T17:13:30Z
S7,3,1,1480126732,0.0,0.0,1503.0,Q4XYZ Q1ABC -07,2026-06-07T17:13:30Z
S7,3,2,348040279,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-07T17:13:45Z
S7,3,2,348040279,0.0,0.0,1503.0,Q4XYZ Q1ABC -07,2026-06-07T17:13:45Z
S7,4,0,139254338,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-07T17:14:15Z
S7,4,0,139254338,0.0,0.0,1506.0,Q4XYZ Q1ABC -07,2026-06-07T17:14:15Z
S7,4,1,1221387494,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-07T17:14:30Z
S7,4,1,1221387494,0.0,0.0,1506.0,Q4XYZ Q1ABC -07,2026-06-07T17:14:30Z
S7,4,2,1203773898,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-07T17:14:45Z
S7,4,2,1203773898,0.0,0.0,1506.0,Q4XYZ Q1ABC -07,2026-06-07T17:14:45Z
S7,5,0,600798252,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-07T17:15:00Z
S7,5,0,600798252,0.0,0.0,1512.0,Q4XYZ Q1ABC -07,2026-06-07T17:15:00Z
S7,5,1,1358512429,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-07T17:15:30Z
S7,5,1,1358512429,0.0,0.0,1512.0,Q4XYZ Q1ABC -07,2026-06-07T17:15:30Z
S7,5,2,475029750,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-07T17:15:45Z
S7,5,2,475029750,0.0,0.0,1512.0,Q4XYZ Q1ABC -07,2026-06-07T17:15:45Z
S7,6,0,1641734052,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-07T17:16:00Z
S7,6,0,1641734052,0.0,0.0,1525.0,Q4XYZ Q1ABC -07,2026-06-07T17:16:00Z
S7,6,1,67837340,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-07T17:16:15Z
S7,6,1,67837340,0.0,0.0,1525.0,Q4XYZ Q1ABC -07,2026-06-07T17:16:15Z
S7,6,2,1202997263,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-07T17:16:45Z
S7,6,2,1202997263,0.0,0.0,1525.0,Q4XYZ Q1ABC -07,2026-06-07T17:16:45Z
S7,7,0,526185734,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-07T17:17:00Z
S7,7,0,526185734,0.0,0.0,1550.0,Q4XYZ Q1ABC -07,2026-06-07T17:17:00Z
S7,7,1,318655740,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-07T17:17:15Z
S7,7,1,318655740,0.0,0.0,1550.0,Q4XYZ Q1ABC -07,2026-06-07T17:17:15Z
S7,7,2,1737849473,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-07T17:17:30Z
S7,7,2,1737849473,0.0,0.0,1550.0,Q4XYZ Q1ABC -07,2026-06-07T17:17:30Z
S7,8,0,434073307,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-07T17:18:00Z
S7,8,0,434073307,0.0,0.5,1500.0,Q4XYZ Q1ABC -07,2026-06-07T17:18:00Z
S7,8,1,1584181983,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-07T17:18:15Z
S7,8,1,1584181983,0.0,0.5,1500.0,Q4XYZ Q1ABC -07,2026-06-07T17:18:15Z
S7,8,2,69311790,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-07T17:18:30Z
S7,8,2,69311790,0.0,0.5,1500.0,Q4XYZ Q1ABC -07,2026-06-07T17:18:30Z
S7,9,0,244638474,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-07T17:18:45Z
