scenario_id,part_index,trial_index,seed,appraiser,message_text,true_snr_db,true_dt_s,true_freq_hz,reported_snr_db,reported_dt_s,reported_freq_hz,matched,false_positive,cycle_utc
S1b,0,0,670279447,WSJT-X,CQ Q1ABC FN42,-24,0.2,1500,,,,False,False,2026-06-09T18:06:45Z
S1b,0,1,755619207,WSJT-X,CQ Q1ABC FN42,-24,0.2,1500,,,,False,False,2026-06-09T18:07:00Z
S1b,0,2,405040029,WSJT-X,CQ Q1ABC FN42,-24,0.2,1500,,,,False,False,2026-06-09T18:07:15Z
S1b,1,0,421145395,WSJT-X,CQ Q1ABC FN42,-21,0.2,1500,-24.0,-0.1,1500.0,True,False,2026-06-09T18:07:30Z
S1b,1,1,617056408,WSJT-X,CQ Q1ABC FN42,-21,0.2,1500,-24.0,-0.0,1500.0,True,False,2026-06-09T18:07:45Z
S1b,1,2,1338794941,WSJT-X,CQ Q1ABC FN42,-21,0.2,1500,-24.0,-0.5,1501.0,True,False,2026-06-09T18:08:15Z
S1b,2,0,265536591,WSJT-X,CQ Q1ABC FN42,-18,0.2,1500,-21.0,-0.4,1500.0,True,False,2026-06-09T18:08:30Z
S1b,2,1,984384874,WSJT-X,CQ Q1ABC FN42,-18,0.2,1500,-21.0,-0.3,1500.0,True,False,2026-06-09T18:08:45Z
S1b,2,2,1445559193,WSJT-X,CQ Q1ABC FN42,-18,0.2,1500,-20.0,-0.1,1500.0,True,False,2026-06-09T18:09:00Z
S1b,3,0,799072493,WSJT-X,CQ Q1ABC FN42,-15,0.2,1500,-17.0,-0.0,1500.0,True,False,2026-06-09T18:09:15Z
S1b,3,1,1267271188,WSJT-X,CQ Q1ABC FN42,-15,0.2,1500,-18.0,-0.5,1500.0,True,False,2026-06-09T18:09:45Z
S1b,3,2,60044557,WSJT-X,CQ Q1ABC FN42,-15,0.2,1500,-17.0,-0.4,1500.0,True,False,2026-06-09T18:10:00Z
S1b,,,,WSJT-X,Q1AW Q9XYZ RR73,,,,-4.0,-0.2,1650.0,False,True,2026-06-09T16:57:45Z
S1b,,,,WSJT-X,CQ Q9XYZ EN37,,,,0.0,-0.7,1500.0,False,True,2026-06-09T16:57:45Z
S1b,,,,WSJT-X,Q1ABC Q9XYZ R-05,,,,8.0,-0.7,2550.0,False,True,2026-06-09T16:57:45Z
S1b,,,,WSJT-X,CQ Q1ABC FN42,,,,-5.0,-0.7,450.0,False,True,2026-06-09T16:57:45Z
S1b,,,,WSJT-X,CQ Q1AW EN37,,,,-7.0,-0.7,2150.0,False,True,2026-06-09T16:57:45Z
S1b,,,,WSJT-X,Q9XYZ Q1ABC +03,,,,-16.0,-0.7,1900.0,False,True,2026-06-09T16:57:45Z
S1b,,,,WSJT-X,Q1AW Q1ABC +05,,,,-5.0,-0.7,1150.0,False,True,2026-06-09T16:57:45Z
S1b,,,,WSJT-X,Q1ABC Q9XYZ -10,,,,0.0,-0.7,649.0,False,True,2026-06-09T16:57:45Z
S1b,,,,WSJT-X,CQ Q1AW FN31,,,,1.0,-0.7,1051.0,False,True,2026-06-09T16:57:45Z
S1b,,,,WSJT-X,Q1ABC Q1AW RR73,,,,-8.0,-0.7,1162.0,False,True,2026-06-09T16:57:45Z
