scenario_id,part_index,trial_index,seed,true_snr_db,true_dt_s,true_freq_hz,message_text,cycle_utc
S1,0,0,913544046,-12,0.2,1500,CQ Q1ABC FN42,2026-06-09T17:57:30Z
S1,0,1,68344610,-12,0.2,1500,CQ Q1ABC FN42,2026-06-09T17:57:45Z
S1,0,2,205210819,-12,0.2,1500,CQ Q1ABC FN42,2026-06-09T17:58:00Z
S1,1,0,1915168523,-9,0.2,1500,CQ Q1ABC FN42,2026-06-09T17:58:15Z
S1,1,1,1105300121,-9,0.2,1500,CQ Q1ABC FN42,2026-06-09T17:58:30Z
S1,1,2,1345625016,-9,0.2,1500,CQ Q1ABC FN42,2026-06-09T17:59:00Z
S1,2,0,1491760006,-6,0.2,1500,CQ Q1ABC FN42,2026-06-09T17:59:15Z
S1,2,1,546635023,-6,0.2,1500,CQ Q1ABC FN42,2026-06-09T17:59:30Z
S1,2,2,714902369,-6,0.2,1500,CQ Q1ABC FN42,2026-06-09T17:59:45Z
S1,3,0,474144144,-3,0.2,1500,CQ Q1ABC FN42,2026-06-09T18:00:15Z
S1,3,1,1226819330,-3,0.2,1500,CQ Q1ABC FN42,2026-06-09T18:00:30Z
S1,3,2,1182452760,-3,0.2,1500,CQ Q1ABC FN42,2026-06-09T18:00:45Z
S1,4,0,184630235,0,0.2,1500,CQ Q1ABC FN42,2026-06-09T18:01:00Z
S1,4,1,792672454,0,0.2,1500,CQ Q1ABC FN42,2026-06-09T18:01:15Z
S1,4,2,2116022063,0,0.2,1500,CQ Q1ABC FN42,2026-06-09T18:01:45Z
S1,5,0,528655056,3,0.2,1500,CQ Q1ABC FN42,2026-06-09T18:02:00Z
S1,5,1,108725431,3,0.2,1500,CQ Q1ABC FN42,2026-06-09T18:02:15Z
S1,5,2,2006277236,3,0.2,1500,CQ Q1ABC FN42,2026-06-09T18:02:30Z
S1,6,0,147152921,6,0.2,1500,CQ Q1ABC FN42,2026-06-09T18:03:00Z
S1,6,1,1953053430,6,0.2,1500,CQ Q1ABC FN42,2026-06-09T18:03:15Z
S1,6,2,147567551,6,0.2,1500,CQ Q1ABC FN42,2026-06-09T18:03:30Z
S1,7,0,1402667823,9,0.2,1500,CQ Q1ABC FN42,2026-06-09T18:03:45Z
S1,7,1,1425587327,9,0.2,1500,CQ Q1ABC FN42,2026-06-09T18:04:15Z
S1,7,2,718289455,9,0.2,1500,CQ Q1ABC FN42,2026-06-09T18:04:30Z
S1,8,0,1206520285,12,0.2,1500,CQ Q1ABC FN42,2026-06-09T18:04:45Z
S1,8,1,1462033172,12,0.2,1500,CQ Q1ABC FN42,2026-06-09T18:05:00Z
S1,8,2,1537966073,12,0.2,1500,CQ Q1ABC FN42,2026-06-09T18:05:15Z
S1,9,0,758409719,15,0.2,1500,CQ Q1ABC FN42,2026-06-09T18:05:45Z
S1,9,1,1723470335,15,0.2,1500,CQ Q1ABC FN42,2026-06-09T18:06:00Z
S1,9,2,1581091521,15,0.2,1500,CQ Q1ABC FN42,2026-06-09T18:06:15Z
S1b,0,0,670279447,-24,0.2,1500,CQ Q1ABC FN42,2026-06-09T18:06:45Z
S1b,0,1,755619207,-24,0.2,1500,CQ Q1ABC FN42,2026-06-09T18:07:00Z
S1b,0,2,405040029,-24,0.2,1500,CQ Q1ABC FN42,2026-06-09T18:07:15Z
S1b,1,0,421145395,-21,0.2,1500,CQ Q1ABC FN42,2026-06-09T18:07:30Z
S1b,1,1,617056408,-21,0.2,1500,CQ Q1ABC FN42,2026-06-09T18:07:45Z
S1b,1,2,1338794941,-21,0.2,1500,CQ Q1ABC FN42,2026-06-09T18:08:15Z
S1b,2,0,265536591,-18,0.2,1500,CQ Q1ABC FN42,2026-06-09T18:08:30Z
S1b,2,1,984384874,-18,0.2,1500,CQ Q1ABC FN42,2026-06-09T18:08:45Z
S1b,2,2,1445559193,-18,0.2,1500,CQ Q1ABC FN42,2026-06-09T18:09:00Z
S1b,3,0,799072493,-15,0.2,1500,CQ Q1ABC FN42,2026-06-09T18:09:15Z
S1b,3,1,1267271188,-15,0.2,1500,CQ Q1ABC FN42,2026-06-09T18:09:45Z
S1b,3,2,60044557,-15,0.2,1500,CQ Q1ABC FN42,2026-06-09T18:10:00Z
