scenario_id,part_index,trial_index,seed,true_snr_db,true_dt_s,true_freq_hz,message_text,cycle_utc
S7,0,0,1928618341,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-12T16:14:00Z
S7,0,0,1928618341,0.0,0.0,1500.0,Q4XYZ Q1ABC -07,2026-06-12T16:14:00Z
S7,0,1,1519748887,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-12T16:14:15Z
S7,0,1,1519748887,0.0,0.0,1500.0,Q4XYZ Q1ABC -07,2026-06-12T16:14:15Z
S7,0,2,1888808097,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-12T16:14:30Z
S7,0,2,1888808097,0.0,0.0,1500.0,Q4XYZ Q1ABC -07,2026-06-12T16:14:30Z
S7,1,0,1163046826,-5.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-12T16:14:45Z
S7,1,0,1163046826,-5.0,0.0,1500.0,Q4XYZ Q1ABC -07,2026-06-12T16:14:45Z
S7,1,1,641673168,-5.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-12T16:15:15Z
S7,1,1,641673168,-5.0,0.0,1500.0,Q4XYZ Q1ABC -07,2026-06-12T16:15:15Z
S7,1,2,1425528308,-5.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-12T16:15:30Z
S7,1,2,1425528308,-5.0,0.0,1500.0,Q4XYZ Q1ABC -07,2026-06-12T16:15:30Z
S7,2,0,98455044,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-12T16:15:45Z
S7,2,0,98455044,0.0,0.0,1500.0,Q4XYZ Q1ABC -07,2026-06-12T16:15:45Z
S7,2,0,98455044,0.0,0.0,1500.0,Q3PQR Q1ABC RR73,2026-06-12T16:15:45Z
S7,2,1,1384128433,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-12T16:16:15Z
S7,2,1,1384128433,0.0,0.0,1500.0,Q4XYZ Q1ABC -07,2026-06-12T16:16:15Z
S7,2,1,1384128433,0.0,0.0,1500.0,Q3PQR Q1ABC RR73,2026-06-12T16:16:15Z
S7,2,2,1361330484,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-12T16:16:30Z
S7,2,2,1361330484,0.0,0.0,1500.0,Q4XYZ Q1ABC -07,2026-06-12T16:16:30Z
S7,2,2,1361330484,0.0,0.0,1500.0,Q3PQR Q1ABC RR73,2026-06-12T16:16:30Z
S7,3,0,763598906,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-12T16:16:45Z
S7,3,0,763598906,0.0,0.0,1503.0,Q4XYZ Q1ABC -07,2026-06-12T16:16:45Z
S7,3,1,1480126732,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-12T16:17:15Z
S7,3,1,1480126732,0.0,0.0,1503.0,Q4XYZ Q1ABC -07,2026-06-12T16:17:15Z
S7,3,2,348040279,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-12T16:17:30Z
S7,3,2,348040279,0.0,0.0,1503.0,Q4XYZ Q1ABC -07,2026-06-12T16:17:30Z
S7,4,0,139254338,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-12T16:17:45Z
S7,4,0,139254338,0.0,0.0,1506.0,Q4XYZ Q1ABC -07,2026-06-12T16:17:45Z
S7,4,1,1221387494,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-12T16:18:00Z
S7,4,1,1221387494,0.0,0.0,1506.0,Q4XYZ Q1ABC -07,2026-06-12T16:18:00Z
S7,4,2,1203773898,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-12T16:18:30Z
S7,4,2,1203773898,0.0,0.0,1506.0,Q4XYZ Q1ABC -07,2026-06-12T16:18:30Z
S7,5,0,600798252,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-12T16:18:45Z
S7,5,0,600798252,0.0,0.0,1512.0,Q4XYZ Q1ABC -07,2026-06-12T16:18:45Z
S7,5,1,1358512429,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-12T16:19:00Z
S7,5,1,1358512429,0.0,0.0,1512.0,Q4XYZ Q1ABC -07,2026-06-12T16:19:00Z
S7,5,2,475029750,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-12T16:19:15Z
S7,5,2,475029750,0.0,0.0,1512.0,Q4XYZ Q1ABC -07,2026-06-12T16:19:15Z
S7,6,0,1641734052,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-12T16:19:45Z
S7,6,0,1641734052,0.0,0.0,1525.0,Q4XYZ Q1ABC -07,2026-06-12T16:19:45Z
S7,6,1,67837340,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-12T16:20:00Z
S7,6,1,67837340,0.0,0.0,1525.0,Q4XYZ Q1ABC -07,2026-06-12T16:20:00Z
S7,6,2,1202997263,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-12T16:20:15Z
S7,6,2,1202997263,0.0,0.0,1525.0,Q4XYZ Q1ABC -07,2026-06-12T16:20:15Z
S7,7,0,526185734,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-12T16:20:30Z
S7,7,0,526185734,0.0,0.0,1550.0,Q4XYZ Q1ABC -07,2026-06-12T16:20:30Z
S7,7,1,318655740,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-12T16:21:00Z
S7,7,1,318655740,0.0,0.0,1550.0,Q4XYZ Q1ABC -07,2026-06-12T16:21:00Z
S7,7,2,1737849473,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-12T16:21:15Z
S7,7,2,1737849473,0.0,0.0,1550.0,Q4XYZ Q1ABC -07,2026-06-12T16:21:15Z
S7,8,0,434073307,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-12T16:21:30Z
S7,8,0,434073307,0.0,0.5,1500.0,Q4XYZ Q1ABC -07,2026-06-12T16:21:30Z
S7,8,1,1584181983,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-12T16:21:45Z
S7,8,1,1584181983,0.0,0.5,1500.0,Q4XYZ Q1ABC -07,2026-06-12T16:21:45Z
S7,8,2,69311790,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-12T16:22:15Z
S7,8,2,69311790,0.0,0.5,1500.0,Q4XYZ Q1ABC -07,2026-06-12T16:22:15Z
S7,9,0,244638474,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-12T16:22:30Z
S7,9,0,244638474,0.0,1.0,1500.0,Q4XYZ Q1ABC -07,2026-06-12T16:22:30Z
S7,9,1,1024747382,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-12T16:22:45Z
S7,9,1,1024747382,0.0,1.0,1500.0,Q4XYZ Q1ABC -07,2026-06-12T16:22:45Z
S7,9,2,1710014650,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-12T16:23:00Z
S7,9,2,1710014650,0.0,1.0,1500.0,Q4XYZ Q1ABC -07,2026-06-12T16:23:00Z
S7,10,0,1725325771,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-12T16:23:30Z
S7,10,0,1725325771,0.0,2.0,1500.0,Q4XYZ Q1ABC -07,2026-06-12T16:23:30Z
S7,10,1,225898935,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-12T16:23:45Z
S7,10,1,225898935,0.0,2.0,1500.0,Q4XYZ Q1ABC -07,2026-06-12T16:23:45Z
