scenario_id,part_index,trial_index,seed,appraiser,message_text,true_snr_db,true_dt_s,true_freq_hz,reported_snr_db,reported_dt_s,reported_freq_hz,matched,false_positive,cycle_utc
S1,0,0,913544046,WSJT-X,CQ Q1ABC FN42,-12.0,0.2,1500,-11.0,-0.5,1500.0,True,False,2026-06-13T22:49:30Z
S1,0,1,68344610,WSJT-X,CQ Q1ABC FN42,-12.0,0.2,1500,-11.0,-0.4,1500.0,True,False,2026-06-13T22:49:45Z
S1,0,2,205210819,WSJT-X,CQ Q1ABC FN42,-12.0,0.2,1500,-11.0,-0.3,1500.0,True,False,2026-06-13T22:50:00Z
S1,1,0,1915168523,WSJT-X,CQ Q1ABC FN42,-8.1,0.2,1500,-7.0,-0.2,1500.0,True,False,2026-06-13T22:50:15Z
S1,1,1,1105300121,WSJT-X,CQ Q1ABC FN42,-8.1,0.2,1500,-7.0,-0.1,1500.0,True,False,2026-06-13T22:50:30Z
S1,1,2,1345625016,WSJT-X,CQ Q1ABC FN42,-8.1,0.2,1500,-7.0,-0.5,1500.0,True,False,2026-06-13T22:51:00Z
S1,2,0,1491760006,WSJT-X,CQ Q1ABC FN42,-5.8,0.2,1500,-5.0,-0.4,1500.0,True,False,2026-06-13T22:51:15Z
S1,2,1,546635023,WSJT-X,CQ Q1ABC FN42,-5.8,0.2,1500,-5.0,-0.3,1500.0,True,False,2026-06-13T22:51:30Z
S1,2,2,714902369,WSJT-X,CQ Q1ABC FN42,-5.8,0.2,1500,-5.0,-0.2,1500.0,True,False,2026-06-13T22:51:45Z
S1,3,0,474144144,WSJT-X,CQ Q1ABC FN42,-2.3,0.2,1500,-1.0,-0.1,1500.0,True,False,2026-06-13T22:52:00Z
S1,3,1,1226819330,WSJT-X,CQ Q1ABC FN42,-2.3,0.2,1500,-1.0,-0.5,1500.0,True,False,2026-06-13T22:52:30Z
S1,3,2,1182452760,WSJT-X,CQ Q1ABC FN42,-2.3,0.2,1500,-1.0,-0.4,1500.0,True,False,2026-06-13T22:52:45Z
S1,4,0,184630235,WSJT-X,CQ Q1ABC FN42,0.4,0.2,1500,1.0,-0.3,1500.0,True,False,2026-06-13T22:53:00Z
S1,4,1,792672454,WSJT-X,CQ Q1ABC FN42,0.4,0.2,1500,1.0,-0.2,1500.0,True,False,2026-06-13T22:53:15Z
