scenario_id,part_index,trial_index,seed,true_snr_db,true_dt_s,true_freq_hz,message_text,cycle_utc
S7,0,0,1928618341,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T17:25:45Z
S7,0,0,1928618341,0.0,0.0,1510.0,Q4XYZ Q1ABC -07,2026-06-19T17:25:45Z
S7,0,1,1519748887,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T17:26:00Z
S7,0,1,1519748887,0.0,0.0,1510.0,Q4XYZ Q1ABC -07,2026-06-19T17:26:00Z
S7,0,2,1888808097,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T17:26:15Z
S7,0,2,1888808097,0.0,0.0,1510.0,Q4XYZ Q1ABC -07,2026-06-19T17:26:15Z
S7,0,3,1567484507,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T17:26:30Z
S7,0,3,1567484507,0.0,0.0,1510.0,Q4XYZ Q1ABC -07,2026-06-19T17:26:30Z
S7,0,4,1587104087,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T17:27:00Z
S7,0,4,1587104087,0.0,0.0,1510.0,Q4XYZ Q1ABC -07,2026-06-19T17:27:00Z
S7,0,5,1430864897,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T17:27:15Z
S7,0,5,1430864897,0.0,0.0,1510.0,Q4XYZ Q1ABC -07,2026-06-19T17:27:15Z
S7,0,6,1183309155,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T17:27:30Z
S7,0,6,1183309155,0.0,0.0,1510.0,Q4XYZ Q1ABC -07,2026-06-19T17:27:30Z
S7,0,7,652891387,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T17:27:45Z
S7,0,7,652891387,0.0,0.0,1510.0,Q4XYZ Q1ABC -07,2026-06-19T17:27:45Z
S7,0,8,627994295,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T17:28:15Z
S7,0,8,627994295,0.0,0.0,1510.0,Q4XYZ Q1ABC -07,2026-06-19T17:28:15Z
S7,0,9,76981565,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T17:28:30Z
S7,0,9,76981565,0.0,0.0,1510.0,Q4XYZ Q1ABC -07,2026-06-19T17:28:30Z
S7,1,0,1163046826,-5.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T17:28:45Z
S7,1,0,1163046826,-5.0,0.0,1510.0,Q4XYZ Q1ABC -07,2026-06-19T17:28:45Z
S7,1,1,641673168,-5.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T17:29:00Z
S7,1,1,641673168,-5.0,0.0,1510.0,Q4XYZ Q1ABC -07,2026-06-19T17:29:00Z
S7,1,2,1425528308,-5.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T17:29:30Z
S7,1,2,1425528308,-5.0,0.0,1510.0,Q4XYZ Q1ABC -07,2026-06-19T17:29:30Z
S7,1,3,961284984,-5.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T17:29:45Z
S7,1,3,961284984,-5.0,0.0,1510.0,Q4XYZ Q1ABC -07,2026-06-19T17:29:45Z
S7,1,4,990723452,-5.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T17:30:00Z
S7,1,4,990723452,-5.0,0.0,1510.0,Q4XYZ Q1ABC -07,2026-06-19T17:30:00Z
S7,1,5,810877671,-5.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T17:30:15Z
S7,1,5,810877671,-5.0,0.0,1510.0,Q4XYZ Q1ABC -07,2026-06-19T17:30:15Z
S7,1,6,353939711,-5.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T17:30:45Z
S7,1,6,353939711,-5.0,0.0,1510.0,Q4XYZ Q1ABC -07,2026-06-19T17:30:45Z
S7,1,7,145803870,-5.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T17:31:00Z
S7,1,7,145803870,-5.0,0.0,1510.0,Q4XYZ Q1ABC -07,2026-06-19T17:31:00Z
S7,1,8,1006753360,-5.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T17:31:15Z
S7,1,8,1006753360,-5.0,0.0,1510.0,Q4XYZ Q1ABC -07,2026-06-19T17:31:15Z
