scenario_id,part_index,trial_index,seed,true_snr_db,true_dt_s,true_freq_hz,message_text,cycle_utc
S7,15,0,1755520088,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T19:18:30Z
S7,15,0,1755520088,0.0,0.0,1505.0,Q4XYZ Q1ABC -07,2026-06-19T19:18:30Z
S7,15,1,1047827504,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T19:18:45Z
S7,15,1,1047827504,0.0,0.0,1505.0,Q4XYZ Q1ABC -07,2026-06-19T19:18:45Z
S7,15,2,1284285689,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T19:19:00Z
S7,15,2,1284285689,0.0,0.0,1505.0,Q4XYZ Q1ABC -07,2026-06-19T19:19:00Z
S7,15,3,734715196,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T19:19:15Z
S7,15,3,734715196,0.0,0.0,1505.0,Q4XYZ Q1ABC -07,2026-06-19T19:19:15Z
S7,15,4,1450783488,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T19:19:45Z
S7,15,4,1450783488,0.0,0.0,1505.0,Q4XYZ Q1ABC -07,2026-06-19T19:19:45Z
S7,15,5,2087341773,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T19:20:00Z
S7,15,5,2087341773,0.0,0.0,1505.0,Q4XYZ Q1ABC -07,2026-06-19T19:20:00Z
S7,15,6,884758068,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T19:20:15Z
S7,15,6,884758068,0.0,0.0,1505.0,Q4XYZ Q1ABC -07,2026-06-19T19:20:15Z
S7,15,7,1666854062,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T19:20:30Z
S7,15,7,1666854062,0.0,0.0,1505.0,Q4XYZ Q1ABC -07,2026-06-19T19:20:30Z
S7,15,8,1262169448,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T19:21:00Z
S7,15,8,1262169448,0.0,0.0,1505.0,Q4XYZ Q1ABC -07,2026-06-19T19:21:00Z
S7,15,9,1095735322,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T19:21:15Z
S7,15,9,1095735322,0.0,0.0,1505.0,Q4XYZ Q1ABC -07,2026-06-19T19:21:15Z
S7,16,0,313172177,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T19:21:30Z
S7,16,0,313172177,0.0,0.0,1507.0,Q4XYZ Q1ABC -07,2026-06-19T19:21:30Z
S7,16,1,95670008,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T19:21:45Z
S7,16,1,95670008,0.0,0.0,1507.0,Q4XYZ Q1ABC -07,2026-06-19T19:21:45Z
