trial_index,cycle_phase,probe_message,probe_freq_hz,probe_snr_db,interferer_freq_hz,interferer_snr_db,offset_hz,arm_cycle_utc,probe_cycle_utc,seed
0,probe,Q4XYZ Q1ABC -07,1500.0,0.0,1507.0,0.0,7.0,2026-06-19T21:02:30Z,2026-06-19T21:03:00Z,164727969
1,probe,Q4XYZ Q1ABC -07,1500.0,0.0,1507.0,0.0,7.0,2026-06-19T21:03:30Z,2026-06-19T21:04:00Z,1781272122
2,probe,Q4XYZ Q1ABC -07,1500.0,0.0,1507.0,0.0,7.0,2026-06-19T21:04:45Z,2026-06-19T21:05:15Z,776298721
3,probe,Q4XYZ Q1ABC -07,1500.0,0.0,1507.0,0.0,7.0,2026-06-19T21:05:45Z,2026-06-19T21:06:15Z,2042112342
4,probe,Q4XYZ Q1ABC -07,1500.0,0.0,1507.0,0.0,7.0,2026-06-19T21:07:00Z,2026-06-19T21:07:30Z,364814775
5,probe,Q4XYZ Q1ABC -07,1500.0,0.0,1507.0,0.0,7.0,2026-06-19T21:08:00Z,2026-06-19T21:08:30Z,2037363400
6,probe,Q4XYZ Q1ABC -07,1500.0,0.0,1507.0,0.0,7.0,2026-06-19T21:09:15Z,2026-06-19T21:09:45Z,800010652
7,probe,Q4XYZ Q1ABC -07,1500.0,0.0,1507.0,0.0,7.0,2026-06-19T21:10:15Z,2026-06-19T21:10:45Z,555414942
8,probe,Q4XYZ Q1ABC -07,1500.0,0.0,1507.0,0.0,7.0,2026-06-19T21:11:30Z,2026-06-19T21:12:00Z,808259227
9,probe,Q4XYZ Q1ABC -07,1500.0,0.0,1507.0,0.0,7.0,2026-06-19T21:12:30Z,2026-06-19T21:13:00Z,949365627
10,probe,Q4XYZ Q1ABC -07,1500.0,0.0,1507.0,0.0,7.0,2026-06-19T21:13:45Z,2026-06-19T21:14:15Z,278209723
11,probe,Q4XYZ Q1ABC -07,1500.0,0.0,1507.0,0.0,7.0,2026-06-19T21:14:45Z,2026-06-19T21:15:15Z,395578836
0,probe,Q4XYZ Q1ABC -07,1500.0,0.0,1507.0,0.0,7.0,2026-06-19T21:17:30Z,2026-06-19T21:18:00Z,164727969
1,probe,Q4XYZ Q1ABC -07,1500.0,0.0,1507.0,0.0,7.0,2026-06-19T21:18:30Z,2026-06-19T21:19:00Z,1781272122
0,probe,Q4XYZ Q1ABC -07,1500.0,0.0,1507.0,0.0,7.0,2026-06-19T21:21:15Z,2026-06-19T21:21:45Z,164727969
1,probe,Q4XYZ Q1ABC -07,1500.0,0.0,1507.0,0.0,7.0,2026-06-19T21:22:15Z,2026-06-19T21:22:45Z,1781272122
0,probe,Q4XYZ Q1ABC -07,1500.0,0.0,1507.0,0.0,7.0,2026-06-19T21:30:00Z,2026-06-19T21:30:30Z,164727969
1,probe,Q4XYZ Q1ABC -07,1500.0,0.0,1507.0,0.0,7.0,2026-06-19T21:31:00Z,2026-06-19T21:31:30Z,1781272122
0,probe,Q4XYZ Q1ABC -07,1500.0,0.0,1507.0,0.0,7.0,2026-06-19T21:39:15Z,2026-06-19T21:39:45Z,164727969
1,probe,Q4XYZ Q1ABC -07,1500.0,0.0,1507.0,0.0,7.0,2026-06-19T21:40:15Z,2026-06-19T21:40:45Z,1781272122
2,probe,Q4XYZ Q1ABC -07,1500.0,0.0,1507.0,0.0,7.0,2026-06-19T21:41:30Z,2026-06-19T21:42:00Z,776298721
3,probe,Q4XYZ Q1ABC -07,1500.0,0.0,1507.0,0.0,7.0,2026-06-19T21:42:30Z,2026-06-19T21:43:00Z,2042112342
