scenario_id,part_index,trial_index,seed,true_snr_db,true_dt_s,true_freq_hz,message_text,cycle_utc
S7,19,0,2055416690,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T19:57:00Z
S7,19,0,2055416690,0.0,0.0,1508.0,Q4XYZ Q1ABC -07,2026-06-19T19:57:00Z
S7,19,1,2007325368,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T19:57:15Z
S7,19,1,2007325368,0.0,0.0,1508.0,Q4XYZ Q1ABC -07,2026-06-19T19:57:15Z
S7,19,2,1837273558,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T19:57:30Z
S7,19,2,1837273558,0.0,0.0,1508.0,Q4XYZ Q1ABC -07,2026-06-19T19:57:30Z
S7,19,3,1703565559,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T19:57:45Z
S7,19,3,1703565559,0.0,0.0,1508.0,Q4XYZ Q1ABC -07,2026-06-19T19:57:45Z
S7,19,4,989415578,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T19:58:15Z
S7,19,4,989415578,0.0,0.0,1508.0,Q4XYZ Q1ABC -07,2026-06-19T19:58:15Z
S7,19,5,2036190576,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T19:58:30Z
S7,19,5,2036190576,0.0,0.0,1508.0,Q4XYZ Q1ABC -07,2026-06-19T19:58:30Z
S7,19,6,157944141,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T19:58:45Z
S7,19,6,157944141,0.0,0.0,1508.0,Q4XYZ Q1ABC -07,2026-06-19T19:58:45Z
S7,19,7,1074698033,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T19:59:00Z
S7,19,7,1074698033,0.0,0.0,1508.0,Q4XYZ Q1ABC -07,2026-06-19T19:59:00Z
S7,19,8,1663754410,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T19:59:30Z
S7,19,8,1663754410,0.0,0.0,1508.0,Q4XYZ Q1ABC -07,2026-06-19T19:59:30Z
S7,19,9,957715603,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T19:59:45Z
S7,19,9,957715603,0.0,0.0,1508.0,Q4XYZ Q1ABC -07,2026-06-19T19:59:45Z
S7,20,0,11753295,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T20:00:00Z
S7,20,0,11753295,0.0,0.0,1509.0,Q4XYZ Q1ABC -07,2026-06-19T20:00:00Z
S7,20,1,127051996,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T20:00:15Z
S7,20,1,127051996,0.0,0.0,1509.0,Q4XYZ Q1ABC -07,2026-06-19T20:00:15Z
S7,20,2,1814410164,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T20:00:45Z
S7,20,2,1814410164,0.0,0.0,1509.0,Q4XYZ Q1ABC -07,2026-06-19T20:00:45Z
S7,20,3,622957244,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T20:01:00Z
S7,20,3,622957244,0.0,0.0,1509.0,Q4XYZ Q1ABC -07,2026-06-19T20:01:00Z
S7,20,4,1019946476,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T20:01:15Z
S7,20,4,1019946476,0.0,0.0,1509.0,Q4XYZ Q1ABC -07,2026-06-19T20:01:15Z
S7,20,5,1680489896,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T20:01:30Z
S7,20,5,1680489896,0.0,0.0,1509.0,Q4XYZ Q1ABC -07,2026-06-19T20:01:30Z
S7,20,6,1816161922,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T20:02:00Z
S7,20,6,1816161922,0.0,0.0,1509.0,Q4XYZ Q1ABC -07,2026-06-19T20:02:00Z
S7,20,7,272524939,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T20:02:15Z
S7,20,7,272524939,0.0,0.0,1509.0,Q4XYZ Q1ABC -07,2026-06-19T20:02:15Z
S7,20,8,1507316183,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T20:02:30Z
S7,20,8,1507316183,0.0,0.0,1509.0,Q4XYZ Q1ABC -07,2026-06-19T20:02:30Z
S7,20,9,916774395,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T20:02:45Z
S7,20,9,916774395,0.0,0.0,1509.0,Q4XYZ Q1ABC -07,2026-06-19T20:02:45Z
