scenario_id,part_index,trial_index,seed,true_snr_db,true_dt_s,true_freq_hz,message_text,cycle_utc
S7,0,0,1928618341,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T18:46:15Z
S7,0,0,1928618341,0.0,0.0,1507.0,Q4XYZ Q1ABC -07,2026-06-19T18:46:15Z
S7,0,1,1519748887,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T18:46:30Z
S7,0,1,1519748887,0.0,0.0,1507.0,Q4XYZ Q1ABC -07,2026-06-19T18:46:30Z
S7,0,2,1888808097,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T18:46:45Z
S7,0,2,1888808097,0.0,0.0,1507.0,Q4XYZ Q1ABC -07,2026-06-19T18:46:45Z
S7,0,3,1567484507,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T18:47:00Z
S7,0,3,1567484507,0.0,0.0,1507.0,Q4XYZ Q1ABC -07,2026-06-19T18:47:00Z
S7,0,4,1587104087,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T18:47:30Z
S7,0,4,1587104087,0.0,0.0,1507.0,Q4XYZ Q1ABC -07,2026-06-19T18:47:30Z
S7,0,5,1430864897,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T18:47:45Z
S7,0,5,1430864897,0.0,0.0,1507.0,Q4XYZ Q1ABC -07,2026-06-19T18:47:45Z
S7,0,6,1183309155,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T18:48:00Z
S7,0,6,1183309155,0.0,0.0,1507.0,Q4XYZ Q1ABC -07,2026-06-19T18:48:00Z
S7,0,7,652891387,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T18:48:15Z
S7,0,7,652891387,0.0,0.0,1507.0,Q4XYZ Q1ABC -07,2026-06-19T18:48:15Z
S7,0,8,627994295,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T18:48:45Z
S7,0,8,627994295,0.0,0.0,1507.0,Q4XYZ Q1ABC -07,2026-06-19T18:48:45Z
S7,0,9,76981565,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T18:49:00Z
S7,0,9,76981565,0.0,0.0,1507.0,Q4XYZ Q1ABC -07,2026-06-19T18:49:00Z
S7,1,0,1163046826,-5.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T18:49:15Z
S7,1,0,1163046826,-5.0,0.0,1513.0,Q4XYZ Q1ABC -07,2026-06-19T18:49:15Z
S7,1,1,641673168,-5.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T18:49:30Z
S7,1,1,641673168,-5.0,0.0,1513.0,Q4XYZ Q1ABC -07,2026-06-19T18:49:30Z
S7,1,2,1425528308,-5.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T18:50:00Z
S7,1,2,1425528308,-5.0,0.0,1513.0,Q4XYZ Q1ABC -07,2026-06-19T18:50:00Z
S7,1,3,961284984,-5.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T18:50:15Z
S7,1,3,961284984,-5.0,0.0,1513.0,Q4XYZ Q1ABC -07,2026-06-19T18:50:15Z
S7,1,4,990723452,-5.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T18:50:30Z
S7,1,4,990723452,-5.0,0.0,1513.0,Q4XYZ Q1ABC -07,2026-06-19T18:50:30Z
S7,1,5,810877671,-5.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T18:50:45Z
S7,1,5,810877671,-5.0,0.0,1513.0,Q4XYZ Q1ABC -07,2026-06-19T18:50:45Z
S7,1,6,353939711,-5.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T18:51:15Z
S7,1,6,353939711,-5.0,0.0,1513.0,Q4XYZ Q1ABC -07,2026-06-19T18:51:15Z
S7,1,7,145803870,-5.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T18:51:30Z
S7,1,7,145803870,-5.0,0.0,1513.0,Q4XYZ Q1ABC -07,2026-06-19T18:51:30Z
S7,1,8,1006753360,-5.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T18:51:45Z
S7,1,8,1006753360,-5.0,0.0,1513.0,Q4XYZ Q1ABC -07,2026-06-19T18:51:45Z
S7,1,9,170590182,-5.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-19T18:52:00Z
S7,1,9,170590182,-5.0,0.0,1513.0,Q4XYZ Q1ABC -07,2026-06-19T18:52:00Z
S7,2,0,98455044,0.0,0.0,1492.0,CQ Q1ABC FN42,2026-06-19T18:52:30Z
S7,2,0,98455044,0.0,0.0,1500.0,Q4XYZ Q1ABC -07,2026-06-19T18:52:30Z
S7,2,0,98455044,0.0,0.0,1511.0,Q3PQR Q1ABC RR73,2026-06-19T18:52:30Z
S7,2,1,1384128433,0.0,0.0,1492.0,CQ Q1ABC FN42,2026-06-19T18:52:45Z
S7,2,1,1384128433,0.0,0.0,1500.0,Q4XYZ Q1ABC -07,2026-06-19T18:52:45Z
S7,2,1,1384128433,0.0,0.0,1511.0,Q3PQR Q1ABC RR73,2026-06-19T18:52:45Z
S7,2,2,1361330484,0.0,0.0,1492.0,CQ Q1ABC FN42,2026-06-19T18:53:00Z
S7,2,2,1361330484,0.0,0.0,1500.0,Q4XYZ Q1ABC -07,2026-06-19T18:53:00Z
S7,2,2,1361330484,0.0,0.0,1511.0,Q3PQR Q1ABC RR73,2026-06-19T18:53:00Z
S7,2,3,1078092554,0.0,0.0,1492.0,CQ Q1ABC FN42,2026-06-19T18:53:30Z
S7,2,3,1078092554,0.0,0.0,1500.0,Q4XYZ Q1ABC -07,2026-06-19T18:53:30Z
S7,2,3,1078092554,0.0,0.0,1511.0,Q3PQR Q1ABC RR73,2026-06-19T18:53:30Z
S7,2,4,924921264,0.0,0.0,1492.0,CQ Q1ABC FN42,2026-06-19T18:53:45Z
S7,2,4,924921264,0.0,0.0,1500.0,Q4XYZ Q1ABC -07,2026-06-19T18:53:45Z
S7,2,4,924921264,0.0,0.0,1511.0,Q3PQR Q1ABC RR73,2026-06-19T18:53:45Z
S7,2,5,1349792349,0.0,0.0,1492.0,CQ Q1ABC FN42,2026-06-19T18:54:00Z
S7,2,5,1349792349,0.0,0.0,1500.0,Q4XYZ Q1ABC -07,2026-06-19T18:54:00Z
S7,2,5,1349792349,0.0,0.0,1511.0,Q3PQR Q1ABC RR73,2026-06-19T18:54:00Z
S7,2,6,791539484,0.0,0.0,1492.0,CQ Q1ABC FN42,2026-06-19T18:54:30Z
S7,2,6,791539484,0.0,0.0,1500.0,Q4XYZ Q1ABC -07,2026-06-19T18:54:30Z
S7,2,6,791539484,0.0,0.0,1511.0,Q3PQR Q1ABC RR73,2026-06-19T18:54:30Z
S7,2,7,1615506765,0.0,0.0,1492.0,CQ Q1ABC FN42,2026-06-19T18:54:45Z
S7,2,7,1615506765,0.0,0.0,1500.0,Q4XYZ Q1ABC -07,2026-06-19T18:54:45Z
S7,2,7,1615506765,0.0,0.0,1511.0,Q3PQR Q1ABC RR73,2026-06-19T18:54:45Z
S7,2,8,1606878155,0.0,0.0,1492.0,CQ Q1ABC FN42,2026-06-19T18:55:00Z
S7,2,8,1606878155,0.0,0.0,1500.0,Q4XYZ Q1ABC -07,2026-06-19T18:55:00Z
S7,2,8,1606878155,0.0,0.0,1511.0,Q3PQR Q1ABC RR73,2026-06-19T18:55:00Z
S7,2,9,730100417,0.0,0.0,1492.0,CQ Q1ABC FN42,2026-06-19T18:55:30Z
S7,2,9,730100417,0.0,0.0,1500.0,Q4XYZ Q1ABC -07,2026-06-19T18:55:30Z
S7,2,9,730100417,0.0,0.0,1511.0,Q3PQR Q1ABC RR73,2026-06-19T18:55:30Z
