scenario_id,part_index,trial_index,seed,appraiser,message_text,true_snr_db,true_dt_s,true_freq_hz,reported_snr_db,reported_dt_s,reported_freq_hz,matched,false_positive,cycle_utc
S5,0,0,1561858501,WSJT-X,,-20,0.0,,,,,False,False,2026-06-20T11:16:15Z
S5,0,1,960283802,WSJT-X,,-20,0.0,,,,,False,False,2026-06-20T11:16:30Z
S5,0,2,892021093,WSJT-X,,-20,0.0,,,,,False,False,2026-06-20T11:16:45Z
S5,1,0,1885087324,WSJT-X,,-10,0.0,,,,,False,False,2026-06-20T11:17:00Z
S5,1,1,1655700015,WSJT-X,,-10,0.0,,,,,False,False,2026-06-20T11:17:15Z
S5,1,2,1021903553,WSJT-X,,-10,0.0,,,,,False,False,2026-06-20T11:17:30Z
S5,2,0,1138448492,WSJT-X,,-20,0.0,,,,,False,False,2026-06-20T11:17:45Z
S5,2,1,1850764392,WSJT-X,,-20,0.0,,,,,False,False,2026-06-20T11:18:00Z
S5,2,2,321598820,WSJT-X,,-20,0.0,,,,,False,False,2026-06-20T11:18:30Z
S5,3,0,1714205886,WSJT-X,,-20,0.0,,,,,False,False,2026-06-20T11:18:45Z
S5,3,1,1934708211,WSJT-X,,-20,0.0,,,,,False,False,2026-06-20T11:19:00Z
S5,3,2,1951162110,WSJT-X,,-20,0.0,,,,,False,False,2026-06-20T11:19:15Z
S5,,,,WSJT-X,CQ Q1ABC FN42,,,,7.0,-0.7,1500.0,False,True,2026-06-20T10:36:45Z
S5,,,,WSJT-X,CQ Q9XYZ EN37,,,,2.0,-0.7,1500.0,False,True,2026-06-20T10:37:15Z
S5,,,,WSJT-X,Q1ABC Q9XYZ R-05,,,,4.0,-0.7,2550.0,False,True,2026-06-20T10:37:15Z
S5,,,,WSJT-X,CQ Q1AW FN31,,,,1.0,-0.7,1050.0,False,True,2026-06-20T10:37:15Z
S5,,,,WSJT-X,Q1ABC Q9XYZ -10,,,,-2.0,-0.7,650.0,False,True,2026-06-20T10:37:15Z
S5,,,,WSJT-X,CQ Q1AW EN37,,,,-7.0,-0.7,2150.0,False,True,2026-06-20T10:37:15Z
S5,,,,WSJT-X,CQ Q1ABC FN42,,,,-7.0,-0.7,450.0,False,True,2026-06-20T10:37:15Z
S5,,,,WSJT-X,Q1AW Q9XYZ RR73,,,,-2.0,-0.2,1650.0,False,True,2026-06-20T10:37:15Z
S5,,,,WSJT-X,Q9XYZ Q1ABC R-08,,,,-11.0,-0.7,850.0,False,True,2026-06-20T10:37:15Z
S5,,,,WSJT-X,Q9XYZ Q1ABC +03,,,,-14.0,-0.7,1900.0,False,True,2026-06-20T10:37:15Z
S5,,,,WSJT-X,Q1AW Q1ABC +05,,,,-4.0,-0.7,1150.0,False,True,2026-06-20T10:37:15Z
S5,,,,WSJT-X,Q1ABC Q1AW RR73,,,,-7.0,-0.7,1162.0,False,True,2026-06-20T10:37:15Z
S5,,,,WSJT-X,Q9XYZ Q1AW 73,,,,-7.0,-0.7,1500.0,False,True,2026-06-20T10:37:15Z
S5,,,,WSJT-X,Q1ABC Q9XYZ R-05,,,,4.0,-0.7,2550.0,False,True,2026-06-20T10:37:45Z
S5,,,,WSJT-X,CQ Q9XYZ EN37,,,,3.0,-0.7,1500.0,False,True,2026-06-20T10:37:45Z
