scenario_id,part_index,trial_index,seed,appraiser,message_text,true_snr_db,true_dt_s,true_freq_hz,reported_snr_db,reported_dt_s,reported_freq_hz,matched,false_positive,cycle_utc
S5,0,0,1561858501,WSJT-X,,-20,0.0,,,,,False,False,2026-06-20T14:40:15Z
S5,0,1,960283802,WSJT-X,,-20,0.0,,,,,False,False,2026-06-20T14:40:30Z
S5,0,2,892021093,WSJT-X,,-20,0.0,,,,,False,False,2026-06-20T14:40:45Z
S5,1,0,1885087324,WSJT-X,,-10,0.0,,,,,False,False,2026-06-20T14:41:00Z
S5,1,1,1655700015,WSJT-X,,-10,0.0,,,,,False,False,2026-06-20T14:41:15Z
S5,1,2,1021903553,WSJT-X,,-10,0.0,,,,,False,False,2026-06-20T14:41:30Z
S5,2,0,1138448492,WSJT-X,,-20,0.0,,,,,False,False,2026-06-20T14:41:45Z
S5,2,1,1850764392,WSJT-X,,-20,0.0,,,,,False,False,2026-06-20T14:42:00Z
S5,2,2,321598820,WSJT-X,,-20,0.0,,,,,False,False,2026-06-20T14:42:30Z
S5,3,0,1714205886,WSJT-X,,-20,0.0,,,,,False,False,2026-06-20T14:42:45Z
S5,3,1,1934708211,WSJT-X,,-20,0.0,,,,,False,False,2026-06-20T14:43:00Z
S5,3,2,1951162110,WSJT-X,,-20,0.0,,,,,False,False,2026-06-20T14:43:15Z
S5,,,,WSJT-X,CQ Q1ABC FN42,,,,7.0,-0.7,1500.0,False,True,2026-06-20T14:39:45Z
S5,0,0,1561858501,OpenWSFZ,,-20,0.0,,,,,False,False,2026-06-20T14:40:15Z
S5,0,1,960283802,OpenWSFZ,,-20,0.0,,,,,False,False,2026-06-20T14:40:30Z
S5,0,2,892021093,OpenWSFZ,,-20,0.0,,,,,False,False,2026-06-20T14:40:45Z
S5,1,0,1885087324,OpenWSFZ,,-10,0.0,,,,,False,False,2026-06-20T14:41:00Z
S5,1,1,1655700015,OpenWSFZ,,-10,0.0,,,,,False,False,2026-06-20T14:41:15Z
S5,1,2,1021903553,OpenWSFZ,,-10,0.0,,,,,False,False,2026-06-20T14:41:30Z
S5,2,0,1138448492,OpenWSFZ,,-20,0.0,,,,,False,False,2026-06-20T14:41:45Z
S5,2,1,1850764392,OpenWSFZ,,-20,0.0,,,,,False,False,2026-06-20T14:42:00Z
S5,2,2,321598820,OpenWSFZ,,-20,0.0,,,,,False,False,2026-06-20T14:42:30Z
S5,3,0,1714205886,OpenWSFZ,,-20,0.0,,,,,False,False,2026-06-20T14:42:45Z
S5,3,1,1934708211,OpenWSFZ,,-20,0.0,,,,,False,False,2026-06-20T14:43:00Z
S5,3,2,1951162110,OpenWSFZ,,-20,0.0,,,,,False,False,2026-06-20T14:43:15Z
S5,,,,OpenWSFZ,CQ Q1ABC FN42,,,,-10.0,-0.1,1500.0,False,True,2026-06-20T14:39:45Z
S5,,,,OpenWSFZ,X20KEB ZQ8LRC DE15,,,,-27.0,-0.5,772.0,False,True,2026-06-20T14:39:45Z
S5,,,,OpenWSFZ,HR4VDR A27DFI NG38,,,,-27.0,-0.9,1788.0,False,True,2026-06-20T14:39:45Z
S5,,,,OpenWSFZ,KR9NHK/P MR1I O/P QG94,,,,-25.0,1.4,2247.0,False,True,2026-06-20T14:40:15Z
S5,,,,OpenWSFZ,0N4KV 7F4VSB JK98,,,,-26.0,3.0,1472.0,False,True,2026-06-20T14:40:30Z
S5,,,,OpenWSFZ,JT6KU EH2AOE/R R OH76,,,,-27.0,-0.9,1019.0,False,True,2026-06-20T14:40:30Z
S5,,,,OpenWSFZ,8H2LOJ JL0NTD/R JI99,,,,-27.0,1.4,2234.0,False,True,2026-06-20T14:40:30Z
S5,,,,OpenWSFZ,WH8EYF/P LC8WMR R EQ48,,,,-27.0,1.3,372.0,False,True,2026-06-20T14:40:45Z
S5,,,,OpenWSFZ,CQ <...>,,,,-28.0,-1.3,2100.0,False,True,2026-06-20T14:41:00Z
S5,,,,OpenWSFZ,K60IFO/R 9O5GEL/R R CH00,,,,-26.0,1.1,1369.0,False,True,2026-06-20T14:41:15Z
S5,,,,OpenWSFZ,H34INX SZ9DTT/P LB12,,,,-28.0,-1.4,1953.0,False,True,2026-06-20T14:41:30Z
S5,,,,OpenWSFZ,IU7WEX/P 6N8XOX R EO10,,,,-27.0,-1.0,2306.0,False,True,2026-06-20T14:41:30Z
