scenario_id,part_index,trial_index,seed,true_snr_db,true_dt_s,true_freq_hz,message_text,cycle_utc
S5,0,0,1561858501,-20,0.0,,,2026-06-20T14:40:15Z
S5,0,1,960283802,-20,0.0,,,2026-06-20T14:40:30Z
S5,0,2,892021093,-20,0.0,,,2026-06-20T14:40:45Z
S5,1,0,1885087324,-10,0.0,,,2026-06-20T14:41:00Z
S5,1,1,1655700015,-10,0.0,,,2026-06-20T14:41:15Z
S5,1,2,1021903553,-10,0.0,,,2026-06-20T14:41:30Z
S5,2,0,1138448492,-20,0.0,,,2026-06-20T14:41:45Z
S5,2,1,1850764392,-20,0.0,,,2026-06-20T14:42:00Z
S5,2,2,321598820,-20,0.0,,,2026-06-20T14:42:30Z
S5,3,0,1714205886,-20,0.0,,,2026-06-20T14:42:45Z
S5,3,1,1934708211,-20,0.0,,,2026-06-20T14:43:00Z
S5,3,2,1951162110,-20,0.0,,,2026-06-20T14:43:15Z
S5,0,0,1561858501,-20,0.0,,,2026-06-20T15:09:30Z
S5,0,1,960283802,-20,0.0,,,2026-06-20T15:09:45Z
S5,0,2,892021093,-20,0.0,,,2026-06-20T15:10:00Z
S5,1,0,1885087324,-10,0.0,,,2026-06-20T15:10:15Z
S5,1,1,1655700015,-10,0.0,,,2026-06-20T15:10:30Z
S5,1,2,1021903553,-10,0.0,,,2026-06-20T15:10:45Z
S5,2,0,1138448492,-20,0.0,,,2026-06-20T15:11:00Z
S5,2,1,1850764392,-20,0.0,,,2026-06-20T15:11:15Z
S5,2,2,321598820,-20,0.0,,,2026-06-20T15:11:45Z
S5,3,0,1714205886,-20,0.0,,,2026-06-20T15:12:00Z
S5,3,1,1934708211,-20,0.0,,,2026-06-20T15:12:15Z
S5,3,2,1951162110,-20,0.0,,,2026-06-20T15:12:30Z
