scenario_id,part_index,trial_index,seed,appraiser,message_text,true_snr_db,true_dt_s,true_freq_hz,reported_snr_db,reported_dt_s,reported_freq_hz,matched,false_positive,cycle_utc
S5,0,0,1561858501,WSJT-X,,-20,0.0,,,,,False,False,2026-06-20T12:29:30Z
S5,0,1,960283802,WSJT-X,,-20,0.0,,,,,False,False,2026-06-20T12:29:45Z
S5,0,2,892021093,WSJT-X,,-20,0.0,,,,,False,False,2026-06-20T12:30:00Z
S5,1,0,1885087324,WSJT-X,,-10,0.0,,,,,False,False,2026-06-20T12:30:15Z
S5,1,1,1655700015,WSJT-X,,-10,0.0,,,,,False,False,2026-06-20T12:30:30Z
S5,1,2,1021903553,WSJT-X,,-10,0.0,,,,,False,False,2026-06-20T12:30:45Z
S5,2,0,1138448492,WSJT-X,,-20,0.0,,,,,False,False,2026-06-20T12:31:00Z
S5,2,1,1850764392,WSJT-X,,-20,0.0,,,,,False,False,2026-06-20T12:31:15Z
S5,2,2,321598820,WSJT-X,,-20,0.0,,,,,False,False,2026-06-20T12:31:45Z
S5,3,0,1714205886,WSJT-X,,-20,0.0,,,,,False,False,2026-06-20T12:32:00Z
S5,3,1,1934708211,WSJT-X,,-20,0.0,,,,,False,False,2026-06-20T12:32:15Z
S5,3,2,1951162110,WSJT-X,,-20,0.0,,,,,False,False,2026-06-20T12:32:30Z
S5,,,,WSJT-X,CQ Q1ABC FN42,,,,7.0,-0.7,1500.0,False,True,2026-06-20T12:29:00Z
S5,0,0,1561858501,OpenWSFZ,,-20,0.0,,,,,False,False,2026-06-20T12:29:30Z
S5,0,1,960283802,OpenWSFZ,,-20,0.0,,,,,False,False,2026-06-20T12:29:45Z
S5,0,2,892021093,OpenWSFZ,,-20,0.0,,,,,False,False,2026-06-20T12:30:00Z
S5,1,0,1885087324,OpenWSFZ,,-10,0.0,,,,,False,False,2026-06-20T12:30:15Z
S5,1,1,1655700015,OpenWSFZ,,-10,0.0,,,,,False,False,2026-06-20T12:30:30Z
S5,1,2,1021903553,OpenWSFZ,,-10,0.0,,,,,False,False,2026-06-20T12:30:45Z
S5,2,0,1138448492,OpenWSFZ,,-20,0.0,,,,,False,False,2026-06-20T12:31:00Z
S5,2,1,1850764392,OpenWSFZ,,-20,0.0,,,,,False,False,2026-06-20T12:31:15Z
S5,2,2,321598820,OpenWSFZ,,-20,0.0,,,,,False,False,2026-06-20T12:31:45Z
S5,3,0,1714205886,OpenWSFZ,,-20,0.0,,,,,False,False,2026-06-20T12:32:00Z
S5,3,1,1934708211,OpenWSFZ,,-20,0.0,,,,,False,False,2026-06-20T12:32:15Z
S5,3,2,1951162110,OpenWSFZ,,-20,0.0,,,,,False,False,2026-06-20T12:32:30Z
S5,,,,OpenWSFZ,CQ Q1ABC FN42,,,,-10.0,-0.1,1500.0,False,True,2026-06-20T12:29:00Z
S5,,,,OpenWSFZ,762HDW/R SB3PPN/R RG22,,,,-27.0,-1.0,2347.0,False,True,2026-06-20T12:29:00Z
S5,,,,OpenWSFZ,R11SUT/R KD7FQU/R R GB97,,,,-27.0,1.4,2684.0,False,True,2026-06-20T12:29:00Z
S5,,,,OpenWSFZ,121EYI/P 264VRI/P LN30,,,,-10.0,-1.3,1494.0,False,True,2026-06-20T12:29:00Z
S5,,,,OpenWSFZ,IW+9ECQM/8QE5,,,,-28.0,-0.5,1125.0,False,True,2026-06-20T12:29:00Z
S5,,,,OpenWSFZ,C77HMN Z7ZFP/P FM42,,,,-27.0,-0.4,1072.0,False,True,2026-06-20T12:29:30Z
S5,,,,OpenWSFZ,<...> M5E5B91HFHL,,,,-26.0,0.2,2578.0,False,True,2026-06-20T12:29:30Z
S5,,,,OpenWSFZ,2X0COC/R JL0LEP/R IC86,,,,-27.0,0.3,2866.0,False,True,2026-06-20T12:29:30Z
S5,,,,OpenWSFZ,<...> 7P8R9J2R3BG,,,,-27.0,-0.8,1750.0,False,True,2026-06-20T12:29:45Z
S5,,,,OpenWSFZ,CQ 3QQF EXLJSR,,,,-26.0,1.4,1803.0,False,True,2026-06-20T12:30:00Z
S5,,,,OpenWSFZ,CQ <...>,,,,-28.0,-0.5,2681.0,False,True,2026-06-20T12:30:00Z
S5,,,,OpenWSFZ,TU9DPH AO6YXV R EO14,,,,-27.0,0.5,1522.0,False,True,2026-06-20T12:30:15Z
S5,,,,OpenWSFZ,Q2V./WAM2TSGL,,,,-27.0,-0.7,2722.0,False,True,2026-06-20T12:30:30Z
S5,,,,OpenWSFZ,YD1IHN/R JU2SVQ R MR07,,,,-30.0,-0.2,1459.0,False,True,2026-06-20T12:30:30Z
S5,,,,OpenWSFZ,CC5XNB WD3TQU/P FM36,,,,-29.0,-1.5,2150.0,False,True,2026-06-20T12:30:30Z
S5,,,,OpenWSFZ,9ULLPTCDZH <...>,,,,-26.0,1.8,2372.0,False,True,2026-06-20T12:30:30Z
S5,,,,OpenWSFZ,<...> UF5NDNNJD2P,,,,-27.0,-1.3,1444.0,False,True,2026-06-20T12:30:45Z
S5,,,,OpenWSFZ,CQ /UX 6PY23BM,,,,-28.0,-1.2,2934.0,False,True,2026-06-20T12:30:45Z
S5,,,,OpenWSFZ,CQ <...>,,,,-27.0,1.2,1350.0,False,True,2026-06-20T12:30:45Z
S5,,,,OpenWSFZ,2O1MCQ LO9NYA JL51,,,,-28.0,-1.3,644.0,False,True,2026-06-20T12:30:45Z
S5,,,,OpenWSFZ,CQ <...>,,,,-17.0,-1.6,1463.0,False,True,2026-06-20T12:31:15Z
