scenario_id,part_index,trial_index,seed,true_snr_db,true_dt_s,true_freq_hz,message_text,cycle_utc
S7,16,0,313172177,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-20T01:03:30Z
S7,16,0,313172177,0.0,0.0,1507.0,Q4XYZ Q1ABC -07,2026-06-20T01:03:30Z
S7,16,1,95670008,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-20T01:03:45Z
S7,16,1,95670008,0.0,0.0,1507.0,Q4XYZ Q1ABC -07,2026-06-20T01:03:45Z
S7,16,2,762227068,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-20T01:04:00Z
S7,16,2,762227068,0.0,0.0,1507.0,Q4XYZ Q1ABC -07,2026-06-20T01:04:00Z
S7,16,3,804352794,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-20T01:04:15Z
S7,16,3,804352794,0.0,0.0,1507.0,Q4XYZ Q1ABC -07,2026-06-20T01:04:15Z
S7,16,4,1354763437,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-20T01:04:45Z
S7,16,4,1354763437,0.0,0.0,1507.0,Q4XYZ Q1ABC -07,2026-06-20T01:04:45Z
S7,16,5,1525040830,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-20T01:05:00Z
S7,16,5,1525040830,0.0,0.0,1507.0,Q4XYZ Q1ABC -07,2026-06-20T01:05:00Z
S7,16,6,899999035,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-20T01:05:15Z
S7,16,6,899999035,0.0,0.0,1507.0,Q4XYZ Q1ABC -07,2026-06-20T01:05:15Z
S7,16,7,197993480,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-20T01:05:30Z
S7,16,7,197993480,0.0,0.0,1507.0,Q4XYZ Q1ABC -07,2026-06-20T01:05:30Z
S7,16,8,245833227,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-20T01:06:00Z
S7,16,8,245833227,0.0,0.0,1507.0,Q4XYZ Q1ABC -07,2026-06-20T01:06:00Z
S7,16,9,1032744630,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-20T01:06:15Z
S7,16,9,1032744630,0.0,0.0,1507.0,Q4XYZ Q1ABC -07,2026-06-20T01:06:15Z
S7,0,0,1928618341,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-20T01:16:30Z
S7,0,0,1928618341,0.0,0.0,1507.0,Q4XYZ Q1ABC -07,2026-06-20T01:16:30Z
S7,0,1,1519748887,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-20T01:16:45Z
S7,0,1,1519748887,0.0,0.0,1507.0,Q4XYZ Q1ABC -07,2026-06-20T01:16:45Z
S7,0,2,1888808097,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-20T01:17:00Z
S7,0,2,1888808097,0.0,0.0,1507.0,Q4XYZ Q1ABC -07,2026-06-20T01:17:00Z
S7,0,3,1567484507,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-20T01:17:15Z
S7,0,3,1567484507,0.0,0.0,1507.0,Q4XYZ Q1ABC -07,2026-06-20T01:17:15Z
S7,0,4,1587104087,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-20T01:17:45Z
S7,0,4,1587104087,0.0,0.0,1507.0,Q4XYZ Q1ABC -07,2026-06-20T01:17:45Z
S7,0,5,1430864897,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-20T01:18:00Z
S7,0,5,1430864897,0.0,0.0,1507.0,Q4XYZ Q1ABC -07,2026-06-20T01:18:00Z
S7,0,6,1183309155,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-20T01:18:15Z
S7,0,6,1183309155,0.0,0.0,1507.0,Q4XYZ Q1ABC -07,2026-06-20T01:18:15Z
S7,0,7,652891387,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-20T01:18:30Z
S7,0,7,652891387,0.0,0.0,1507.0,Q4XYZ Q1ABC -07,2026-06-20T01:18:30Z
S7,0,8,627994295,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-20T01:19:00Z
S7,0,8,627994295,0.0,0.0,1507.0,Q4XYZ Q1ABC -07,2026-06-20T01:19:00Z
S7,0,9,76981565,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-20T01:19:15Z
S7,0,9,76981565,0.0,0.0,1507.0,Q4XYZ Q1ABC -07,2026-06-20T01:19:15Z
S7,1,0,1163046826,-5.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-20T01:19:30Z
S7,1,0,1163046826,-5.0,0.0,1513.0,Q4XYZ Q1ABC -07,2026-06-20T01:19:30Z
S7,1,1,641673168,-5.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-20T01:19:45Z
S7,1,1,641673168,-5.0,0.0,1513.0,Q4XYZ Q1ABC -07,2026-06-20T01:19:45Z
S7,1,2,1425528308,-5.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-20T01:20:15Z
S7,1,2,1425528308,-5.0,0.0,1513.0,Q4XYZ Q1ABC -07,2026-06-20T01:20:15Z
S7,1,3,961284984,-5.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-20T01:20:30Z
S7,1,3,961284984,-5.0,0.0,1513.0,Q4XYZ Q1ABC -07,2026-06-20T01:20:30Z
S7,1,4,990723452,-5.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-20T01:20:45Z
S7,1,4,990723452,-5.0,0.0,1513.0,Q4XYZ Q1ABC -07,2026-06-20T01:20:45Z
S7,1,5,810877671,-5.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-20T01:21:00Z
S7,1,5,810877671,-5.0,0.0,1513.0,Q4XYZ Q1ABC -07,2026-06-20T01:21:00Z
S7,1,6,353939711,-5.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-20T01:21:30Z
S7,1,6,353939711,-5.0,0.0,1513.0,Q4XYZ Q1ABC -07,2026-06-20T01:21:30Z
S7,1,7,145803870,-5.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-20T01:21:45Z
S7,1,7,145803870,-5.0,0.0,1513.0,Q4XYZ Q1ABC -07,2026-06-20T01:21:45Z
S7,1,8,1006753360,-5.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-20T01:22:00Z
S7,1,8,1006753360,-5.0,0.0,1513.0,Q4XYZ Q1ABC -07,2026-06-20T01:22:00Z
S7,1,9,170590182,-5.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-20T01:22:15Z
S7,1,9,170590182,-5.0,0.0,1513.0,Q4XYZ Q1ABC -07,2026-06-20T01:22:15Z
S7,2,0,98455044,0.0,0.0,1492.0,CQ Q1ABC FN42,2026-06-20T01:22:45Z
S7,2,0,98455044,0.0,0.0,1500.0,Q4XYZ Q1ABC -07,2026-06-20T01:22:45Z
S7,2,0,98455044,0.0,0.0,1511.0,Q3PQR Q1ABC RR73,2026-06-20T01:22:45Z
S7,2,1,1384128433,0.0,0.0,1492.0,CQ Q1ABC FN42,2026-06-20T01:23:00Z
S7,2,1,1384128433,0.0,0.0,1500.0,Q4XYZ Q1ABC -07,2026-06-20T01:23:00Z
S7,2,1,1384128433,0.0,0.0,1511.0,Q3PQR Q1ABC RR73,2026-06-20T01:23:00Z
S7,2,2,1361330484,0.0,0.0,1492.0,CQ Q1ABC FN42,2026-06-20T01:23:15Z
