scenario_id,part_index,trial_index,seed,true_snr_db,true_dt_s,true_freq_hz,message_text,cycle_utc
S1,0,0,913544046,-12.0,0.2,1500,CQ Q1ABC FN42,2026-06-30T22:35:00Z
S1,0,1,68344610,-12.0,0.2,1500,CQ Q1ABC FN42,2026-06-30T22:35:15Z
S1,0,2,205210819,-12.0,0.2,1500,CQ Q1ABC FN42,2026-06-30T22:35:30Z
S1,1,0,1915168523,-8.1,0.2,1500,CQ Q1ABC FN42,2026-06-30T22:35:45Z
S1,1,1,1105300121,-8.1,0.2,1500,CQ Q1ABC FN42,2026-06-30T22:36:00Z
S1,1,2,1345625016,-8.1,0.2,1500,CQ Q1ABC FN42,2026-06-30T22:36:30Z
S1,2,0,1491760006,-5.8,0.2,1500,CQ Q1ABC FN42,2026-06-30T22:36:45Z
S1,2,1,546635023,-5.8,0.2,1500,CQ Q1ABC FN42,2026-06-30T22:37:00Z
S1,2,2,714902369,-5.8,0.2,1500,CQ Q1ABC FN42,2026-06-30T22:37:15Z
S1,3,0,474144144,-2.3,0.2,1500,CQ Q1ABC FN42,2026-06-30T22:37:30Z
S1,3,1,1226819330,-2.3,0.2,1500,CQ Q1ABC FN42,2026-06-30T22:38:00Z
S1,3,2,1182452760,-2.3,0.2,1500,CQ Q1ABC FN42,2026-06-30T22:38:15Z
S1,4,0,184630235,0.4,0.2,1500,CQ Q1ABC FN42,2026-06-30T22:38:30Z
S1,4,1,792672454,0.4,0.2,1500,CQ Q1ABC FN42,2026-06-30T22:38:45Z
S1,4,2,2116022063,0.4,0.2,1500,CQ Q1ABC FN42,2026-06-30T22:39:00Z
S1,5,0,528655056,3.5,0.2,1500,CQ Q1ABC FN42,2026-06-30T22:39:30Z
S1,5,1,108725431,3.5,0.2,1500,CQ Q1ABC FN42,2026-06-30T22:39:45Z
S1,5,2,2006277236,3.5,0.2,1500,CQ Q1ABC FN42,2026-06-30T22:40:00Z
S1,6,0,147152921,6.6,0.2,1500,CQ Q1ABC FN42,2026-06-30T22:40:15Z
S1,6,1,1953053430,6.6,0.2,1500,CQ Q1ABC FN42,2026-06-30T22:40:30Z
S1,6,2,147567551,6.6,0.2,1500,CQ Q1ABC FN42,2026-06-30T22:41:00Z
S1,7,0,1402667823,9.3,0.2,1500,CQ Q1ABC FN42,2026-06-30T22:41:15Z
S1,7,1,1425587327,9.3,0.2,1500,CQ Q1ABC FN42,2026-06-30T22:41:30Z
S1,7,2,718289455,9.3,0.2,1500,CQ Q1ABC FN42,2026-06-30T22:41:45Z
S1,8,0,1206520285,12.8,0.2,1500,CQ Q1ABC FN42,2026-06-30T22:42:00Z
S1,8,1,1462033172,12.8,0.2,1500,CQ Q1ABC FN42,2026-06-30T22:42:30Z
S1,8,2,1537966073,12.8,0.2,1500,CQ Q1ABC FN42,2026-06-30T22:42:45Z
S1,9,0,758409719,15.1,0.2,1500,CQ Q1ABC FN42,2026-06-30T22:43:00Z
S1,9,1,1723470335,15.1,0.2,1500,CQ Q1ABC FN42,2026-06-30T22:43:15Z
S1,9,2,1581091521,15.1,0.2,1500,CQ Q1ABC FN42,2026-06-30T22:43:30Z
S1b,0,0,670279447,-24,0.2,1500,CQ Q1ABC FN42,2026-06-30T22:44:00Z
S1b,0,1,755619207,-24,0.2,1500,CQ Q1ABC FN42,2026-06-30T22:44:15Z
S1b,0,2,405040029,-24,0.2,1500,CQ Q1ABC FN42,2026-06-30T22:44:30Z
S1b,1,0,421145395,-21,0.2,1500,CQ Q1ABC FN42,2026-06-30T22:44:45Z
S1b,1,1,617056408,-21,0.2,1500,CQ Q1ABC FN42,2026-06-30T22:45:00Z
S1b,1,2,1338794941,-21,0.2,1500,CQ Q1ABC FN42,2026-06-30T22:45:15Z
S1b,2,0,265536591,-18,0.2,1500,CQ Q1ABC FN42,2026-06-30T22:45:45Z
S1b,2,1,984384874,-18,0.2,1500,CQ Q1ABC FN42,2026-06-30T22:46:00Z
S1b,2,2,1445559193,-18,0.2,1500,CQ Q1ABC FN42,2026-06-30T22:46:15Z
S1b,3,0,799072493,-15,0.2,1500,CQ Q1ABC FN42,2026-06-30T22:46:30Z
S1b,3,1,1267271188,-15,0.2,1500,CQ Q1ABC FN42,2026-06-30T22:46:45Z
S1b,3,2,60044557,-15,0.2,1500,CQ Q1ABC FN42,2026-06-30T22:47:00Z
S2,0,0,1289144792,0,0.2,300,CQ Q1ABC FN42,2026-06-30T22:47:30Z
S2,0,1,68113513,0,0.2,300,CQ Q1ABC FN42,2026-06-30T22:47:45Z
S2,0,2,492170927,0,0.2,300,CQ Q1ABC FN42,2026-06-30T22:48:00Z
S2,1,0,2106742562,0,0.2,567,CQ Q1ABC FN42,2026-06-30T22:48:15Z
S2,1,1,1155555599,0,0.2,567,CQ Q1ABC FN42,2026-06-30T22:48:30Z
S2,1,2,1218472882,0,0.2,567,CQ Q1ABC FN42,2026-06-30T22:48:45Z
S2,2,0,1410889249,0,0.2,834,CQ Q1ABC FN42,2026-06-30T22:49:15Z
S2,2,1,1295536992,0,0.2,834,CQ Q1ABC FN42,2026-06-30T22:49:30Z
