scenario_id,part_index,trial_index,seed,true_snr_db,true_dt_s,true_freq_hz,message_text,cycle_utc,gap_cycles,resolved_expected,announce_text,announce_freq_hz,announce_snr_db,announce_cycle_utc,reference_text,reference_freq_hz,reference_snr_db,reference_cycle_utc,resolved_callsign,unresolved_placeholder
S5,0,0,1561858501,-20,0.0,,,2026-07-04T16:44:30Z,,,,,,,,,,,,
S5,0,1,960283802,-20,0.0,,,2026-07-04T16:44:45Z,,,,,,,,,,,,
S5,0,2,892021093,-20,0.0,,,2026-07-04T16:45:00Z,,,,,,,,,,,,
S5,0,3,1972790602,-20,0.0,,,2026-07-04T16:45:15Z,,,,,,,,,,,,
S5,0,4,522357441,-20,0.0,,,2026-07-04T16:45:30Z,,,,,,,,,,,,
S5,0,5,434100809,-20,0.0,,,2026-07-04T16:45:45Z,,,,,,,,,,,,
S5,0,6,1987541040,-20,0.0,,,2026-07-04T16:46:00Z,,,,,,,,,,,,
S5,0,7,1550731733,-20,0.0,,,2026-07-04T16:46:15Z,,,,,,,,,,,,
S5,0,8,978267978,-20,0.0,,,2026-07-04T16:46:45Z,,,,,,,,,,,,
S5,0,9,1361001477,-20,0.0,,,2026-07-04T16:47:00Z,,,,,,,,,,,,
S5,0,10,1672796167,-20,0.0,,,2026-07-04T16:47:15Z,,,,,,,,,,,,
S5,0,11,363339928,-20,0.0,,,2026-07-04T16:47:30Z,,,,,,,,,,,,
S5,0,12,920581965,-20,0.0,,,2026-07-04T16:47:45Z,,,,,,,,,,,,
S5,0,13,1985403058,-20,0.0,,,2026-07-04T16:48:00Z,,,,,,,,,,,,
S5,0,14,1613680917,-20,0.0,,,2026-07-04T16:48:15Z,,,,,,,,,,,,
S5,0,15,1930000429,-20,0.0,,,2026-07-04T16:48:45Z,,,,,,,,,,,,
S5,0,16,216305983,-20,0.0,,,2026-07-04T16:49:00Z,,,,,,,,,,,,
S5,0,17,312112809,-20,0.0,,,2026-07-04T16:49:15Z,,,,,,,,,,,,
S5,0,18,1052303369,-20,0.0,,,2026-07-04T16:49:30Z,,,,,,,,,,,,
S5,0,19,217579570,-20,0.0,,,2026-07-04T16:49:45Z,,,,,,,,,,,,
S5,0,20,99964177,-20,0.0,,,2026-07-04T16:50:00Z,,,,,,,,,,,,
S5,0,21,490683040,-20,0.0,,,2026-07-04T16:50:15Z,,,,,,,,,,,,
S5,0,22,1940961689,-20,0.0,,,2026-07-04T16:50:30Z,,,,,,,,,,,,
S5,0,23,1454648504,-20,0.0,,,2026-07-04T16:51:00Z,,,,,,,,,,,,
S5,0,24,558398644,-20,0.0,,,2026-07-04T16:51:15Z,,,,,,,,,,,,
S5,0,25,1286326493,-20,0.0,,,2026-07-04T16:51:30Z,,,,,,,,,,,,
S5,0,26,905618129,-20,0.0,,,2026-07-04T16:51:45Z,,,,,,,,,,,,
S5,0,27,649442228,-20,0.0,,,2026-07-04T16:52:00Z,,,,,,,,,,,,
S5,0,28,1033628820,-20,0.0,,,2026-07-04T16:52:15Z,,,,,,,,,,,,
S5,0,29,815515411,-20,0.0,,,2026-07-04T16:52:30Z,,,,,,,,,,,,
S5,0,30,1593614182,-20,0.0,,,2026-07-04T16:52:45Z,,,,,,,,,,,,
S5,0,31,1722507941,-20,0.0,,,2026-07-04T16:53:15Z,,,,,,,,,,,,
S5,0,32,1695726775,-20,0.0,,,2026-07-04T16:53:30Z,,,,,,,,,,,,
S5,0,33,51254525,-20,0.0,,,2026-07-04T16:53:45Z,,,,,,,,,,,,
S5,0,34,1745018624,-20,0.0,,,2026-07-04T16:54:00Z,,,,,,,,,,,,
S5,0,35,977203227,-20,0.0,,,2026-07-04T16:54:15Z,,,,,,,,,,,,
S5,0,36,2083372684,-20,0.0,,,2026-07-04T16:54:30Z,,,,,,,,,,,,
S5,0,37,1544718727,-20,0.0,,,2026-07-04T16:54:45Z,,,,,,,,,,,,
S5,0,38,894361021,-20,0.0,,,2026-07-04T16:55:00Z,,,,,,,,,,,,
S5,0,39,819664372,-20,0.0,,,2026-07-04T16:55:30Z,,,,,,,,,,,,
S5,0,40,857399851,-20,0.0,,,2026-07-04T16:55:45Z,,,,,,,,,,,,
S5,0,41,1795049623,-20,0.0,,,2026-07-04T16:56:00Z,,,,,,,,,,,,
S5,0,42,190457367,-20,0.0,,,2026-07-04T16:56:15Z,,,,,,,,,,,,
S5,0,43,1463994837,-20,0.0,,,2026-07-04T16:56:30Z,,,,,,,,,,,,
S5,0,44,1305633241,-20,0.0,,,2026-07-04T16:56:45Z,,,,,,,,,,,,
S5,0,45,641567673,-20,0.0,,,2026-07-04T16:57:00Z,,,,,,,,,,,,
S5,0,46,342352341,-20,0.0,,,2026-07-04T16:57:15Z,,,,,,,,,,,,
