scenario_id,part_index,trial_index,seed,true_snr_db,true_dt_s,true_freq_hz,message_text,cycle_utc,gap_cycles,resolved_expected,announce_text,announce_freq_hz,announce_snr_db,announce_cycle_utc,reference_text,reference_freq_hz,reference_snr_db,reference_cycle_utc,resolved_callsign,unresolved_placeholder
S1,0,0,913544046,-12.0,0.2,1500,CQ Q1ABC FN42,2026-07-07T20:13:45Z,,,,,,,,,,,,
S1,0,1,68344610,-12.0,0.2,1500,CQ Q1ABC FN42,2026-07-07T20:14:00Z,,,,,,,,,,,,
S1,0,2,205210819,-12.0,0.2,1500,CQ Q1ABC FN42,2026-07-07T20:14:15Z,,,,,,,,,,,,
S1,1,0,1915168523,-8.1,0.2,1500,CQ Q1ABC FN42,2026-07-07T20:14:30Z,,,,,,,,,,,,
S1,1,1,1105300121,-8.1,0.2,1500,CQ Q1ABC FN42,2026-07-07T20:14:45Z,,,,,,,,,,,,
S1,1,2,1345625016,-8.1,0.2,1500,CQ Q1ABC FN42,2026-07-07T20:15:15Z,,,,,,,,,,,,
S1,2,0,1491760006,-5.8,0.2,1500,CQ Q1ABC FN42,2026-07-07T20:15:30Z,,,,,,,,,,,,
S1,2,1,546635023,-5.8,0.2,1500,CQ Q1ABC FN42,2026-07-07T20:15:45Z,,,,,,,,,,,,
S1,2,2,714902369,-5.8,0.2,1500,CQ Q1ABC FN42,2026-07-07T20:16:00Z,,,,,,,,,,,,
S1,3,0,474144144,-2.3,0.2,1500,CQ Q1ABC FN42,2026-07-07T20:16:15Z,,,,,,,,,,,,
S1,3,1,1226819330,-2.3,0.2,1500,CQ Q1ABC FN42,2026-07-07T20:16:45Z,,,,,,,,,,,,
S1,3,2,1182452760,-2.3,0.2,1500,CQ Q1ABC FN42,2026-07-07T20:17:00Z,,,,,,,,,,,,
S1,4,0,184630235,0.4,0.2,1500,CQ Q1ABC FN42,2026-07-07T20:17:15Z,,,,,,,,,,,,
S1,4,1,792672454,0.4,0.2,1500,CQ Q1ABC FN42,2026-07-07T20:17:30Z,,,,,,,,,,,,
S1,4,2,2116022063,0.4,0.2,1500,CQ Q1ABC FN42,2026-07-07T20:17:45Z,,,,,,,,,,,,
S1,5,0,528655056,3.5,0.2,1500,CQ Q1ABC FN42,2026-07-07T20:18:00Z,,,,,,,,,,,,
S1,5,1,108725431,3.5,0.2,1500,CQ Q1ABC FN42,2026-07-07T20:18:30Z,,,,,,,,,,,,
S1,5,2,2006277236,3.5,0.2,1500,CQ Q1ABC FN42,2026-07-07T20:18:45Z,,,,,,,,,,,,
S1,6,0,147152921,6.6,0.2,1500,CQ Q1ABC FN42,2026-07-07T20:19:00Z,,,,,,,,,,,,
S1,6,1,1953053430,6.6,0.2,1500,CQ Q1ABC FN42,2026-07-07T20:19:15Z,,,,,,,,,,,,
S1,6,2,147567551,6.6,0.2,1500,CQ Q1ABC FN42,2026-07-07T20:19:30Z,,,,,,,,,,,,
S1,7,0,1402667823,9.3,0.2,1500,CQ Q1ABC FN42,2026-07-07T20:20:00Z,,,,,,,,,,,,
S1,7,1,1425587327,9.3,0.2,1500,CQ Q1ABC FN42,2026-07-07T20:20:15Z,,,,,,,,,,,,
S1,7,2,718289455,9.3,0.2,1500,CQ Q1ABC FN42,2026-07-07T20:20:30Z,,,,,,,,,,,,
S1,8,0,1206520285,12.8,0.2,1500,CQ Q1ABC FN42,2026-07-07T20:20:45Z,,,,,,,,,,,,
S1,8,1,1462033172,12.8,0.2,1500,CQ Q1ABC FN42,2026-07-07T20:21:00Z,,,,,,,,,,,,
S1,8,2,1537966073,12.8,0.2,1500,CQ Q1ABC FN42,2026-07-07T20:21:30Z,,,,,,,,,,,,
S1,9,0,758409719,15.1,0.2,1500,CQ Q1ABC FN42,2026-07-07T20:21:45Z,,,,,,,,,,,,
S1,9,1,1723470335,15.1,0.2,1500,CQ Q1ABC FN42,2026-07-07T20:22:00Z,,,,,,,,,,,,
S1,9,2,1581091521,15.1,0.2,1500,CQ Q1ABC FN42,2026-07-07T20:22:15Z,,,,,,,,,,,,
S4,0,0,1380025803,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-07-07T20:22:45Z,,,,,,,,,,,,
S4,0,1,1028796488,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-07-07T20:23:00Z,,,,,,,,,,,,
S4,0,2,1457782904,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-07-07T20:23:15Z,,,,,,,,,,,,
S4,1,0,1710814298,-12.0,0.0,300.0,CQ Q1ABC FN42,2026-07-07T20:23:30Z,,,,,,,,,,,,
S4,1,0,1710814298,-8.0,0.0,900.0,Q4XYZ Q1ABC -07,2026-07-07T20:23:30Z,,,,,,,,,,,,
S4,1,0,1710814298,-5.0,0.0,1500.0,Q3PQR Q1ABC RR73,2026-07-07T20:23:30Z,,,,,,,,,,,,
S4,1,0,1710814298,-3.0,0.0,2100.0,Q1ABC Q4XYZ FN42,2026-07-07T20:23:30Z,,,,,,,,,,,,
S4,1,0,1710814298,0.0,0.0,2700.0,Q5DEF Q1ABC +03,2026-07-07T20:23:30Z,,,,,,,,,,,,
S4,1,1,1662193313,-12.0,0.0,300.0,CQ Q1ABC FN42,2026-07-07T20:24:00Z,,,,,,,,,,,,
S4,1,1,1662193313,-8.0,0.0,900.0,Q4XYZ Q1ABC -07,2026-07-07T20:24:00Z,,,,,,,,,,,,
S4,1,1,1662193313,-5.0,0.0,1500.0,Q3PQR Q1ABC RR73,2026-07-07T20:24:00Z,,,,,,,,,,,,
S4,1,1,1662193313,-3.0,0.0,2100.0,Q1ABC Q4XYZ FN42,2026-07-07T20:24:00Z,,,,,,,,,,,,
S4,1,1,1662193313,0.0,0.0,2700.0,Q5DEF Q1ABC +03,2026-07-07T20:24:00Z,,,,,,,,,,,,
S4,1,2,196226190,-12.0,0.0,300.0,CQ Q1ABC FN42,2026-07-07T20:24:15Z,,,,,,,,,,,,
S4,1,2,196226190,-8.0,0.0,900.0,Q4XYZ Q1ABC -07,2026-07-07T20:24:15Z,,,,,,,,,,,,
S4,1,2,196226190,-5.0,0.0,1500.0,Q3PQR Q1ABC RR73,2026-07-07T20:24:15Z,,,,,,,,,,,,
S4,1,2,196226190,-3.0,0.0,2100.0,Q1ABC Q4XYZ FN42,2026-07-07T20:24:15Z,,,,,,,,,,,,
S4,1,2,196226190,0.0,0.0,2700.0,Q5DEF Q1ABC +03,2026-07-07T20:24:15Z,,,,,,,,,,,,
S4,2,0,139150452,-15.0,0.0,300.0,CQ Q1ABC FN42,2026-07-07T20:24:45Z,,,,,,,,,,,,
S4,2,0,139150452,-12.0,0.0,566.6666666666667,Q4XYZ Q1ABC -07,2026-07-07T20:24:45Z,,,,,,,,,,,,
S4,2,0,139150452,-10.0,0.0,833.3333333333334,Q3PQR Q1ABC RR73,2026-07-07T20:24:45Z,,,,,,,,,,,,
S4,2,0,139150452,-8.0,0.0,1100.0,Q1ABC Q4XYZ FN42,2026-07-07T20:24:45Z,,,,,,,,,,,,
S4,2,0,139150452,-5.0,0.0,1366.6666666666667,Q5DEF Q1ABC +03,2026-07-07T20:24:45Z,,,,,,,,,,,,
S4,2,0,139150452,-3.0,0.0,1633.3333333333333,Q1DEF Q1ABC DM79,2026-07-07T20:24:45Z,,,,,,,,,,,,
S4,2,0,139150452,-1.0,0.0,1900.0,Q1ABC Q5DEF 73,2026-07-07T20:24:45Z,,,,,,,,,,,,
S4,2,0,139150452,0.0,0.0,2166.666666666667,Q4XYZ Q3PQR -15,2026-07-07T20:24:45Z,,,,,,,,,,,,
S4,2,0,139150452,2.0,0.0,2433.3333333333335,Q1JKL Q1ABC PM85,2026-07-07T20:24:45Z,,,,,,,,,,,,
S4,2,0,139150452,3.0,0.0,2700.0,Q1ABC Q1DEF -05,2026-07-07T20:24:45Z,,,,,,,,,,,,
S4,2,1,1124369827,-15.0,0.0,300.0,CQ Q1ABC FN42,2026-07-07T20:25:00Z,,,,,,,,,,,,
S4,2,1,1124369827,-12.0,0.0,566.6666666666667,Q4XYZ Q1ABC -07,2026-07-07T20:25:00Z,,,,,,,,,,,,
S4,2,1,1124369827,-10.0,0.0,833.3333333333334,Q3PQR Q1ABC RR73,2026-07-07T20:25:00Z,,,,,,,,,,,,
S4,2,1,1124369827,-8.0,0.0,1100.0,Q1ABC Q4XYZ FN42,2026-07-07T20:25:00Z,,,,,,,,,,,,
S4,2,1,1124369827,-5.0,0.0,1366.6666666666667,Q5DEF Q1ABC +03,2026-07-07T20:25:00Z,,,,,,,,,,,,
S4,2,1,1124369827,-3.0,0.0,1633.3333333333333,Q1DEF Q1ABC DM79,2026-07-07T20:25:00Z,,,,,,,,,,,,
S4,2,1,1124369827,-1.0,0.0,1900.0,Q1ABC Q5DEF 73,2026-07-07T20:25:00Z,,,,,,,,,,,,
S4,2,1,1124369827,0.0,0.0,2166.666666666667,Q4XYZ Q3PQR -15,2026-07-07T20:25:00Z,,,,,,,,,,,,
S4,2,1,1124369827,2.0,0.0,2433.3333333333335,Q1JKL Q1ABC PM85,2026-07-07T20:25:00Z,,,,,,,,,,,,
S4,2,1,1124369827,3.0,0.0,2700.0,Q1ABC Q1DEF -05,2026-07-07T20:25:00Z,,,,,,,,,,,,
S4,2,2,820497043,-15.0,0.0,300.0,CQ Q1ABC FN42,2026-07-07T20:25:30Z,,,,,,,,,,,,
S4,2,2,820497043,-12.0,0.0,566.6666666666667,Q4XYZ Q1ABC -07,2026-07-07T20:25:30Z,,,,,,,,,,,,
S4,2,2,820497043,-10.0,0.0,833.3333333333334,Q3PQR Q1ABC RR73,2026-07-07T20:25:30Z,,,,,,,,,,,,
S4,2,2,820497043,-8.0,0.0,1100.0,Q1ABC Q4XYZ FN42,2026-07-07T20:25:30Z,,,,,,,,,,,,
S4,2,2,820497043,-5.0,0.0,1366.6666666666667,Q5DEF Q1ABC +03,2026-07-07T20:25:30Z,,,,,,,,,,,,
S4,2,2,820497043,-3.0,0.0,1633.3333333333333,Q1DEF Q1ABC DM79,2026-07-07T20:25:30Z,,,,,,,,,,,,
S4,2,2,820497043,-1.0,0.0,1900.0,Q1ABC Q5DEF 73,2026-07-07T20:25:30Z,,,,,,,,,,,,
S4,2,2,820497043,0.0,0.0,2166.666666666667,Q4XYZ Q3PQR -15,2026-07-07T20:25:30Z,,,,,,,,,,,,
S4,2,2,820497043,2.0,0.0,2433.3333333333335,Q1JKL Q1ABC PM85,2026-07-07T20:25:30Z,,,,,,,,,,,,
S4,2,2,820497043,3.0,0.0,2700.0,Q1ABC Q1DEF -05,2026-07-07T20:25:30Z,,,,,,,,,,,,
S4,3,0,11459573,-24.0,0.0,300.0,CQ Q1ABC FN42,2026-07-07T20:26:00Z,,,,,,,,,,,,
S4,3,0,11459573,-21.0,0.0,426.3157894736842,Q4XYZ Q1ABC -07,2026-07-07T20:26:00Z,,,,,,,,,,,,
S4,3,0,11459573,-18.0,0.0,552.6315789473684,Q3PQR Q1ABC RR73,2026-07-07T20:26:00Z,,,,,,,,,,,,
S4,3,0,11459573,-15.0,0.0,678.9473684210527,Q1ABC Q4XYZ FN42,2026-07-07T20:26:00Z,,,,,,,,,,,,
S4,3,0,11459573,-12.0,0.0,805.2631578947369,Q5DEF Q1ABC +03,2026-07-07T20:26:00Z,,,,,,,,,,,,
S4,3,0,11459573,-9.0,0.0,931.578947368421,Q1DEF Q1ABC DM79,2026-07-07T20:26:00Z,,,,,,,,,,,,
S4,3,0,11459573,-6.0,0.0,1057.8947368421054,Q1ABC Q5DEF 73,2026-07-07T20:26:00Z,,,,,,,,,,,,
S4,3,0,11459573,-3.0,0.0,1184.2105263157896,Q4XYZ Q3PQR -15,2026-07-07T20:26:00Z,,,,,,,,,,,,
S4,3,0,11459573,0.0,0.0,1310.5263157894738,Q1JKL Q1ABC PM85,2026-07-07T20:26:00Z,,,,,,,,,,,,
S4,3,0,11459573,3.0,0.0,1436.842105263158,Q1ABC Q1DEF -05,2026-07-07T20:26:00Z,,,,,,,,,,,,
S4,3,0,11459573,-24.0,0.0,1563.157894736842,CQ Q1ABC FN42,2026-07-07T20:26:00Z,,,,,,,,,,,,
S4,3,0,11459573,-21.0,0.0,1689.4736842105262,Q4XYZ Q1ABC -07,2026-07-07T20:26:00Z,,,,,,,,,,,,
S4,3,0,11459573,-18.0,0.0,1815.7894736842106,Q3PQR Q1ABC RR73,2026-07-07T20:26:00Z,,,,,,,,,,,,
S4,3,0,11459573,-15.0,0.0,1942.1052631578948,Q1ABC Q4XYZ FN42,2026-07-07T20:26:00Z,,,,,,,,,,,,
S4,3,0,11459573,-12.0,0.0,2068.421052631579,Q5DEF Q1ABC +03,2026-07-07T20:26:00Z,,,,,,,,,,,,
S4,3,0,11459573,-9.0,0.0,2194.7368421052633,Q1DEF Q1ABC DM79,2026-07-07T20:26:00Z,,,,,,,,,,,,
