scenario_id,part_index,trial_index,seed,appraiser,message_text,true_snr_db,true_dt_s,true_freq_hz,reported_snr_db,reported_dt_s,reported_freq_hz,matched,false_positive,cycle_utc
S5,0,0,1561858501,WSJT-X,,-20,0.0,,,,,False,False,2026-08-05T17:41:45Z
S5,0,1,960283802,WSJT-X,,-20,0.0,,,,,False,False,2026-08-05T17:42:00Z
S5,0,2,892021093,WSJT-X,,-20,0.0,,,,,False,False,2026-08-05T17:42:15Z
S5,0,3,1972790602,WSJT-X,,-20,0.0,,,,,False,False,2026-08-05T17:42:30Z
S5,0,4,522357441,WSJT-X,,-20,0.0,,,,,False,False,2026-08-05T17:42:45Z
S5,0,5,434100809,WSJT-X,,-20,0.0,,,,,False,False,2026-08-05T17:43:00Z
S5,0,6,1987541040,WSJT-X,,-20,0.0,,,,,False,False,2026-08-05T17:43:15Z
S5,0,7,1550731733,WSJT-X,,-20,0.0,,,,,False,False,2026-08-05T17:43:30Z
S5,0,8,978267978,WSJT-X,,-20,0.0,,,,,False,False,2026-08-05T17:43:45Z
S5,0,9,1361001477,WSJT-X,,-20,0.0,,,,,False,False,2026-08-05T17:44:00Z
S5,0,10,1672796167,WSJT-X,,-20,0.0,,,,,False,False,2026-08-05T17:44:15Z
S5,0,11,363339928,WSJT-X,,-20,0.0,,,,,False,False,2026-08-05T17:44:30Z
S5,0,12,920581965,WSJT-X,,-20,0.0,,,,,False,False,2026-08-05T17:44:45Z
S5,0,13,1985403058,WSJT-X,,-20,0.0,,,,,False,False,2026-08-05T17:45:00Z
S5,0,14,1613680917,WSJT-X,,-20,0.0,,,,,False,False,2026-08-05T17:45:15Z
S5,0,15,1930000429,WSJT-X,,-20,0.0,,,,,False,False,2026-08-05T17:45:30Z
S5,0,16,216305983,WSJT-X,,-20,0.0,,,,,False,False,2026-08-05T17:45:45Z
S5,0,17,312112809,WSJT-X,,-20,0.0,,,,,False,False,2026-08-05T17:46:00Z
S5,0,18,1052303369,WSJT-X,,-20,0.0,,,,,False,False,2026-08-05T17:46:15Z
S5,0,19,217579570,WSJT-X,,-20,0.0,,,,,False,False,2026-08-05T17:46:30Z
