point,scenario,bucket,slot_count,fp_count,fp_per_100_slots
k5_c0.10_n40,S5,0-9,0,0,0.0
k5_c0.10_n40,S5,10-24,0,0,0.0
k5_c0.10_n40,S5,25-49,0,0,0.0
k5_c0.10_n40,S5,50-99,0,0,0.0
k5_c0.10_n40,S5,100+,120,0,0.0
k5_c0.10_n40,S7,0-9,0,0,0.0
k5_c0.10_n40,S7,10-24,0,0,0.0
k5_c0.10_n40,S7,25-49,0,0,0.0
k5_c0.10_n40,S7,50-99,0,0,0.0
k5_c0.10_n40,S7,100+,105,1,0.95
k5_c0.10_n60,S5,0-9,0,0,0.0
k5_c0.10_n60,S5,10-24,0,0,0.0
k5_c0.10_n60,S5,25-49,0,0,0.0
k5_c0.10_n60,S5,50-99,0,0,0.0
k5_c0.10_n60,S5,100+,120,47,39.17
k5_c0.10_n60,S7,0-9,0,0,0.0
k5_c0.10_n60,S7,10-24,0,0,0.0
k5_c0.10_n60,S7,25-49,0,0,0.0
k5_c0.10_n60,S7,50-99,0,0,0.0
k5_c0.10_n60,S7,100+,105,39,37.14
k5_c0.10_n80,S5,0-9,0,0,0.0
k5_c0.10_n80,S5,10-24,0,0,0.0
k5_c0.10_n80,S5,25-49,0,0,0.0
k5_c0.10_n80,S5,50-99,0,0,0.0
k5_c0.10_n80,S5,100+,120,50,41.67
k5_c0.10_n80,S7,0-9,0,0,0.0
k5_c0.10_n80,S7,10-24,0,0,0.0
k5_c0.10_n80,S7,25-49,0,0,0.0
k5_c0.10_n80,S7,50-99,0,0,0.0
k5_c0.10_n80,S7,100+,105,43,40.95
k5_c0.15_n40,S5,0-9,0,0,0.0
k5_c0.15_n40,S5,10-24,0,0,0.0
k5_c0.15_n40,S5,25-49,0,0,0.0
k5_c0.15_n40,S5,50-99,0,0,0.0
k5_c0.15_n40,S5,100+,120,0,0.0
k5_c0.15_n40,S7,0-9,0,0,0.0
k5_c0.15_n40,S7,10-24,0,0,0.0
k5_c0.15_n40,S7,25-49,0,0,0.0
k5_c0.15_n40,S7,50-99,0,0,0.0
k5_c0.15_n40,S7,100+,105,1,0.95
k5_c0.15_n60,S5,0-9,0,0,0.0
k5_c0.15_n60,S5,10-24,0,0,0.0
k5_c0.15_n60,S5,25-49,0,0,0.0
k5_c0.15_n60,S5,50-99,0,0,0.0
k5_c0.15_n60,S5,100+,120,44,36.67
k5_c0.15_n60,S7,0-9,0,0,0.0
k5_c0.15_n60,S7,10-24,0,0,0.0
k5_c0.15_n60,S7,25-49,0,0,0.0
k5_c0.15_n60,S7,50-99,0,0,0.0
k5_c0.15_n60,S7,100+,105,36,34.29
k5_c0.15_n80,S5,0-9,0,0,0.0
k5_c0.15_n80,S5,10-24,0,0,0.0
k5_c0.15_n80,S5,25-49,0,0,0.0
k5_c0.15_n80,S5,50-99,0,0,0.0
