point,k,corr,nhard,is_baseline,recall_pct,recall_dpp,tight_recov_pct,partial_recov_pct,isolated_recov_pct,s5_fp_per_slot,s5_fp,s5_fp_delta,s7_fp_per_slot,s7_fp,s7_recovery_pct,s7_fp_delta,fp_within_baseline,pareto_win
k5_c0.10_n40,5,0.10,40,False,41.617,0.109,0.0,0.07,0.61,0.0,0,-0.00833,0.00952,1,87.442,-0.06667,True,True
k5_c0.10_n60,5,0.10,60,False,41.617,0.109,0.0,0.07,0.61,0.48333,58,0.475,0.49524,52,87.442,0.41905,False,False
k5_c0.10_n80,5,0.10,80,False,41.617,0.109,0.0,0.07,0.61,0.51667,62,0.50834,0.54286,57,87.442,0.46667,False,False
k5_c0.15_n40,5,0.15,40,False,41.617,0.109,0.0,0.07,0.61,0.0,0,-0.00833,0.00952,1,87.442,-0.06667,True,True
k5_c0.15_n60,5,0.15,60,False,41.617,0.109,0.0,0.07,0.61,0.45,54,0.44167,0.40952,43,87.442,0.33333,False,False
k5_c0.15_n80,5,0.15,80,False,41.617,0.109,0.0,0.07,0.61,0.45,54,0.44167,0.41905,44,87.442,0.34286,False,False
k5_c0.25_n40,5,0.25,40,False,41.617,0.109,0.0,0.07,0.61,0.0,0,-0.00833,0.00952,1,87.442,-0.06667,True,True
k5_c0.25_n60,5,0.25,60,False,41.617,0.109,0.0,0.07,0.61,0.21667,26,0.20834,0.18095,19,87.442,0.10476,False,False
k5_c0.25_n80,5,0.25,80,False,41.617,0.109,0.0,0.07,0.61,0.21667,26,0.20834,0.18095,19,87.442,0.10476,False,False
k7_c0.10_n40,7,0.10,40,False,41.605,0.097,0.0,0.07,0.54,0.0,0,-0.00833,0.00952,1,87.442,-0.06667,True,True
k7_c0.10_n60,7,0.10,60,False,41.605,0.097,0.0,0.07,0.54,0.45,54,0.44167,0.53333,56,87.442,0.45714,False,False
k7_c0.10_n80,7,0.10,80,False,41.605,0.097,0.0,0.07,0.54,0.5,60,0.49167,0.57143,60,87.442,0.49524,False,False
k7_c0.15_n40,7,0.15,40,False,41.605,0.097,0.0,0.07,0.54,0.0,0,-0.00833,0.00952,1,87.442,-0.06667,True,True
k7_c0.15_n60,7,0.15,60,False,41.605,0.097,0.0,0.07,0.54,0.425,51,0.41667,0.45714,48,87.442,0.38095,False,False
k7_c0.15_n80,7,0.15,80,False,41.605,0.097,0.0,0.07,0.54,0.43333,52,0.425,0.46667,49,87.442,0.39048,False,False
k7_c0.25_n40,7,0.25,40,False,41.605,0.097,0.0,0.07,0.54,0.0,0,-0.00833,0.00952,1,87.442,-0.06667,True,True
k7_c0.25_n60,7,0.25,60,False,41.605,0.097,0.0,0.07,0.54,0.225,27,0.21667,0.2,21,87.442,0.12381,False,False
k7_c0.25_n80,7,0.25,80,False,41.605,0.097,0.0,0.07,0.54,0.225,27,0.21667,0.2,21,87.442,0.12381,False,False
k10_c0.10_n40,10,0.10,40,False,41.508,0.0,0.0,0.0,0.0,0.0,0,-0.00833,0.0,0,84.651,-0.07619,True,False
k10_c0.10_n60,10,0.10,60,True,41.508,0.0,0.0,0.0,0.0,0.00833,1,0.0,0.07619,8,84.651,0.0,True,False
k10_c0.10_n80,10,0.10,80,False,41.508,0.0,0.0,0.0,0.0,0.01667,2,0.00834,0.07619,8,84.651,0.0,False,False
k10_c0.15_n40,10,0.15,40,False,41.508,0.0,0.0,0.0,0.0,0.0,0,-0.00833,0.0,0,84.651,-0.07619,True,False
