scenario_id,part_index,trial_index,seed,true_snr_db,true_dt_s,true_freq_hz,message_text,cycle_utc,gap_cycles,resolved_expected,announce_text,announce_freq_hz,announce_snr_db,announce_cycle_utc,reference_text,reference_freq_hz,reference_snr_db,reference_cycle_utc,resolved_callsign,unresolved_placeholder
S3,0,0,1030001410,0,0.0,1500,CQ Q1ABC FN42,2026-08-22T11:44:30Z,,,,,,,,,,,,
S3,0,1,59102629,0,0.0,1500,CQ Q1ABC FN42,2026-08-22T11:45:00Z,,,,,,,,,,,,
S3,0,2,917633151,0,0.0,1500,CQ Q1ABC FN42,2026-08-22T11:45:30Z,,,,,,,,,,,,
S3,1,0,1727488921,0,0.3,1500,CQ Q1ABC FN42,2026-08-22T11:46:00Z,,,,,,,,,,,,
S3,1,1,1935099702,0,0.3,1500,CQ Q1ABC FN42,2026-08-22T11:46:30Z,,,,,,,,,,,,
S3,1,2,1247340308,0,0.3,1500,CQ Q1ABC FN42,2026-08-22T11:47:00Z,,,,,,,,,,,,
S3,2,0,2123842217,0,0.6,1500,CQ Q1ABC FN42,2026-08-22T11:47:30Z,,,,,,,,,,,,
S3,2,1,741456992,0,0.6,1500,CQ Q1ABC FN42,2026-08-22T11:48:00Z,,,,,,,,,,,,
S3,2,2,859851708,0,0.6,1500,CQ Q1ABC FN42,2026-08-22T11:48:30Z,,,,,,,,,,,,
S3,3,0,1497291008,0,0.9,1500,CQ Q1ABC FN42,2026-08-22T11:49:00Z,,,,,,,,,,,,
S3,3,1,2122590732,0,0.9,1500,CQ Q1ABC FN42,2026-08-22T11:49:30Z,,,,,,,,,,,,
S3,3,2,1592902622,0,0.9,1500,CQ Q1ABC FN42,2026-08-22T11:50:00Z,,,,,,,,,,,,
S3,4,0,1269981715,0,1.2,1500,CQ Q1ABC FN42,2026-08-22T11:50:30Z,,,,,,,,,,,,
S3,4,1,1736958637,0,1.2,1500,CQ Q1ABC FN42,2026-08-22T11:51:00Z,,,,,,,,,,,,
S3,4,2,204596110,0,1.2,1500,CQ Q1ABC FN42,2026-08-22T11:51:30Z,,,,,,,,,,,,
