scenario_id,part_index,trial_index,seed,true_snr_db,true_dt_s,true_freq_hz,message_text,cycle_utc,gap_cycles,resolved_expected,announce_text,announce_freq_hz,announce_snr_db,announce_cycle_utc,reference_text,reference_freq_hz,reference_snr_db,reference_cycle_utc,resolved_callsign,unresolved_placeholder
S8,0,0,1451638557,-8.0,0.0,450.0,CQ Q1ABC FN42,2026-08-22T20:33:00Z,,,,,,,,,,,,
S8,0,0,1451638557,-3.0,0.0,650.0,Q1ABC Q9XYZ -10,2026-08-22T20:33:00Z,,,,,,,,,,,,
S8,0,0,1451638557,-12.0,0.0,850.0,Q9XYZ Q1ABC R-08,2026-08-22T20:33:00Z,,,,,,,,,,,,
S8,0,0,1451638557,0.0,0.0,1050.0,CQ Q1AW FN31,2026-08-22T20:33:00Z,,,,,,,,,,,,
S8,0,0,1451638557,-5.0,0.0,1150.0,Q1AW Q1ABC +05,2026-08-22T20:33:00Z,,,,,,,,,,,,
S8,0,0,1451638557,-8.0,0.0,1162.0,Q1ABC Q1AW RR73,2026-08-22T20:33:00Z,,,,,,,,,,,,
S8,0,0,1451638557,0.0,0.0,1500.0,CQ Q9XYZ EN37,2026-08-22T20:33:00Z,,,,,,,,,,,,
S8,0,0,1451638557,-6.0,0.0,1500.0,Q9XYZ Q1AW 73,2026-08-22T20:33:00Z,,,,,,,,,,,,
S8,0,0,1451638557,-3.0,0.5,1650.0,Q1AW Q9XYZ RR73,2026-08-22T20:33:00Z,,,,,,,,,,,,
S8,0,0,1451638557,-15.0,0.0,1900.0,Q9XYZ Q1ABC +03,2026-08-22T20:33:00Z,,,,,,,,,,,,
S8,0,0,1451638557,-8.0,0.0,2150.0,CQ Q1AW EN37,2026-08-22T20:33:00Z,,,,,,,,,,,,
S8,0,0,1451638557,3.0,0.0,2550.0,Q1ABC Q9XYZ R-05,2026-08-22T20:33:00Z,,,,,,,,,,,,
S8,0,1,686175255,-8.0,0.0,450.0,CQ Q1ABC FN42,2026-08-22T20:33:30Z,,,,,,,,,,,,
S8,0,1,686175255,-3.0,0.0,650.0,Q1ABC Q9XYZ -10,2026-08-22T20:33:30Z,,,,,,,,,,,,
S8,0,1,686175255,-12.0,0.0,850.0,Q9XYZ Q1ABC R-08,2026-08-22T20:33:30Z,,,,,,,,,,,,
S8,0,1,686175255,0.0,0.0,1050.0,CQ Q1AW FN31,2026-08-22T20:33:30Z,,,,,,,,,,,,
S8,0,1,686175255,-5.0,0.0,1150.0,Q1AW Q1ABC +05,2026-08-22T20:33:30Z,,,,,,,,,,,,
S8,0,1,686175255,-8.0,0.0,1162.0,Q1ABC Q1AW RR73,2026-08-22T20:33:30Z,,,,,,,,,,,,
S8,0,1,686175255,0.0,0.0,1500.0,CQ Q9XYZ EN37,2026-08-22T20:33:30Z,,,,,,,,,,,,
S8,0,1,686175255,-6.0,0.0,1500.0,Q9XYZ Q1AW 73,2026-08-22T20:33:30Z,,,,,,,,,,,,
S8,0,1,686175255,-3.0,0.5,1650.0,Q1AW Q9XYZ RR73,2026-08-22T20:33:30Z,,,,,,,,,,,,
S8,0,1,686175255,-15.0,0.0,1900.0,Q9XYZ Q1ABC +03,2026-08-22T20:33:30Z,,,,,,,,,,,,
