scenario_id,part_index,trial_index,seed,true_snr_db,true_dt_s,true_freq_hz,message_text,cycle_utc,gap_cycles,resolved_expected,announce_text,announce_freq_hz,announce_snr_db,announce_cycle_utc,reference_text,reference_freq_hz,reference_snr_db,reference_cycle_utc,resolved_callsign,unresolved_placeholder
S8HN,0,0,377652189,-8.0,0.0,450.0,CQ Q1ABC FN42,2026-08-23T10:35:30Z,,,,,,,,,,,,
S8HN,0,0,377652189,-3.0,0.0,650.0,Q1ABC Q9XYZ -10,2026-08-23T10:35:30Z,,,,,,,,,,,,
S8HN,0,0,377652189,-12.0,0.0,850.0,Q9XYZ Q1ABC R-08,2026-08-23T10:35:30Z,,,,,,,,,,,,
S8HN,0,0,377652189,0.0,0.0,1050.0,CQ Q1AW FN31,2026-08-23T10:35:30Z,,,,,,,,,,,,
S8HN,0,0,377652189,-5.0,0.0,1150.0,Q1AW Q1ABC +05,2026-08-23T10:35:30Z,,,,,,,,,,,,
S8HN,0,0,377652189,-8.0,0.0,1162.0,Q1ABC Q1AW RR73,2026-08-23T10:35:30Z,,,,,,,,,,,,
S8HN,0,0,377652189,0.0,0.0,1500.0,CQ Q9XYZ EN37,2026-08-23T10:35:30Z,,,,,,,,,,,,
S8HN,0,0,377652189,-6.0,0.0,1500.0,Q9XYZ Q1AW 73,2026-08-23T10:35:30Z,,,,,,,,,,,,
S8HN,0,0,377652189,-3.0,0.5,1650.0,Q1AW Q9XYZ RR73,2026-08-23T10:35:30Z,,,,,,,,,,,,
S8HN,0,0,377652189,-15.0,0.0,1900.0,Q9XYZ Q1ABC +03,2026-08-23T10:35:30Z,,,,,,,,,,,,
S8HN,0,0,377652189,-8.0,0.0,2150.0,CQ Q1AW EN37,2026-08-23T10:35:30Z,,,,,,,,,,,,
S8HN,0,0,377652189,3.0,0.0,2550.0,Q1ABC Q9XYZ R-05,2026-08-23T10:35:30Z,,,,,,,,,,,,
S8HN,0,1,367151581,-8.0,0.0,450.0,CQ Q1ABC FN42,2026-08-23T10:36:00Z,,,,,,,,,,,,
S8HN,0,1,367151581,-3.0,0.0,650.0,Q1ABC Q9XYZ -10,2026-08-23T10:36:00Z,,,,,,,,,,,,
S8HN,0,1,367151581,-12.0,0.0,850.0,Q9XYZ Q1ABC R-08,2026-08-23T10:36:00Z,,,,,,,,,,,,
S8HN,0,1,367151581,0.0,0.0,1050.0,CQ Q1AW FN31,2026-08-23T10:36:00Z,,,,,,,,,,,,
S8HN,0,1,367151581,-5.0,0.0,1150.0,Q1AW Q1ABC +05,2026-08-23T10:36:00Z,,,,,,,,,,,,
S8HN,0,1,367151581,-8.0,0.0,1162.0,Q1ABC Q1AW RR73,2026-08-23T10:36:00Z,,,,,,,,,,,,
S8HN,0,1,367151581,0.0,0.0,1500.0,CQ Q9XYZ EN37,2026-08-23T10:36:00Z,,,,,,,,,,,,
S8HN,0,1,367151581,-6.0,0.0,1500.0,Q9XYZ Q1AW 73,2026-08-23T10:36:00Z,,,,,,,,,,,,
S8HN,0,1,367151581,-3.0,0.5,1650.0,Q1AW Q9XYZ RR73,2026-08-23T10:36:00Z,,,,,,,,,,,,
S8HN,0,1,367151581,-15.0,0.0,1900.0,Q9XYZ Q1ABC +03,2026-08-23T10:36:00Z,,,,,,,,,,,,
S8HN,0,1,367151581,-8.0,0.0,2150.0,CQ Q1AW EN37,2026-08-23T10:36:00Z,,,,,,,,,,,,
S8HN,0,1,367151581,3.0,0.0,2550.0,Q1ABC Q9XYZ R-05,2026-08-23T10:36:00Z,,,,,,,,,,,,
S8HN,0,2,1515122330,-8.0,0.0,450.0,CQ Q1ABC FN42,2026-08-23T10:36:30Z,,,,,,,,,,,,
S8HN,0,2,1515122330,-3.0,0.0,650.0,Q1ABC Q9XYZ -10,2026-08-23T10:36:30Z,,,,,,,,,,,,
S8HN,0,2,1515122330,-12.0,0.0,850.0,Q9XYZ Q1ABC R-08,2026-08-23T10:36:30Z,,,,,,,,,,,,
S8HN,0,2,1515122330,0.0,0.0,1050.0,CQ Q1AW FN31,2026-08-23T10:36:30Z,,,,,,,,,,,,
S8HN,0,2,1515122330,-5.0,0.0,1150.0,Q1AW Q1ABC +05,2026-08-23T10:36:30Z,,,,,,,,,,,,
