scenario_id,part_index,trial_index,seed,appraiser,message_text,true_snr_db,true_dt_s,true_freq_hz,reported_snr_db,reported_dt_s,reported_freq_hz,matched,false_positive,cycle_utc
S7,0,0,1928618341,WSJT-X,CQ Q1ABC FN42,0.0,0.0,1500.0,,,,False,False,2026-06-21T14:55:00Z
S7,0,0,1928618341,WSJT-X,Q4XYZ Q1ABC -07,0.0,0.0,1507.0,,,,False,False,2026-06-21T14:55:00Z
S7,0,1,1519748887,WSJT-X,CQ Q1ABC FN42,0.0,0.0,1500.0,,,,False,False,2026-06-21T14:55:15Z
S7,0,1,1519748887,WSJT-X,Q4XYZ Q1ABC -07,0.0,0.0,1507.0,,,,False,False,2026-06-21T14:55:15Z
S7,0,2,1888808097,WSJT-X,CQ Q1ABC FN42,0.0,0.0,1500.0,,,,False,False,2026-06-21T14:55:30Z
S7,0,2,1888808097,WSJT-X,Q4XYZ Q1ABC -07,0.0,0.0,1507.0,,,,False,False,2026-06-21T14:55:30Z
S7,0,3,1567484507,WSJT-X,CQ Q1ABC FN42,0.0,0.0,1500.0,,,,False,False,2026-06-21T14:56:00Z
S7,0,3,1567484507,WSJT-X,Q4XYZ Q1ABC -07,0.0,0.0,1507.0,,,,False,False,2026-06-21T14:56:00Z
S7,0,4,1587104087,WSJT-X,CQ Q1ABC FN42,0.0,0.0,1500.0,,,,False,False,2026-06-21T14:56:15Z
S7,0,4,1587104087,WSJT-X,Q4XYZ Q1ABC -07,0.0,0.0,1507.0,,,,False,False,2026-06-21T14:56:15Z
S7,1,0,1163046826,WSJT-X,CQ Q1ABC FN42,-5.0,0.0,1500.0,,,,False,False,2026-06-21T14:56:30Z
S7,1,0,1163046826,WSJT-X,Q4XYZ Q1ABC -07,-5.0,0.0,1513.0,,,,False,False,2026-06-21T14:56:30Z
S7,1,1,641673168,WSJT-X,CQ Q1ABC FN42,-5.0,0.0,1500.0,,,,False,False,2026-06-21T14:57:00Z
S7,1,1,641673168,WSJT-X,Q4XYZ Q1ABC -07,-5.0,0.0,1513.0,,,,False,False,2026-06-21T14:57:00Z
S7,1,2,1425528308,WSJT-X,CQ Q1ABC FN42,-5.0,0.0,1500.0,,,,False,False,2026-06-21T14:57:15Z
S7,1,2,1425528308,WSJT-X,Q4XYZ Q1ABC -07,-5.0,0.0,1513.0,,,,False,False,2026-06-21T14:57:15Z
S7,1,3,961284984,WSJT-X,CQ Q1ABC FN42,-5.0,0.0,1500.0,,,,False,False,2026-06-21T14:57:30Z
S7,1,3,961284984,WSJT-X,Q4XYZ Q1ABC -07,-5.0,0.0,1513.0,,,,False,False,2026-06-21T14:57:30Z
S7,1,4,990723452,WSJT-X,CQ Q1ABC FN42,-5.0,0.0,1500.0,,,,False,False,2026-06-21T14:58:00Z
S7,1,4,990723452,WSJT-X,Q4XYZ Q1ABC -07,-5.0,0.0,1513.0,,,,False,False,2026-06-21T14:58:00Z
S7,2,0,98455044,WSJT-X,CQ Q1ABC FN42,0.0,0.0,1492.0,,,,False,False,2026-06-21T14:58:15Z
S7,2,0,98455044,WSJT-X,Q4XYZ Q1ABC -07,0.0,0.0,1500.0,,,,False,False,2026-06-21T14:58:15Z
S7,2,0,98455044,WSJT-X,Q3PQR Q1ABC RR73,0.0,0.0,1511.0,,,,False,False,2026-06-21T14:58:15Z
S7,2,1,1384128433,WSJT-X,CQ Q1ABC FN42,0.0,0.0,1492.0,,,,False,False,2026-06-21T14:58:30Z
S7,2,1,1384128433,WSJT-X,Q4XYZ Q1ABC -07,0.0,0.0,1500.0,,,,False,False,2026-06-21T14:58:30Z
S7,2,1,1384128433,WSJT-X,Q3PQR Q1ABC RR73,0.0,0.0,1511.0,,,,False,False,2026-06-21T14:58:30Z
S7,2,2,1361330484,WSJT-X,CQ Q1ABC FN42,0.0,0.0,1492.0,,,,False,False,2026-06-21T14:59:00Z
S7,2,2,1361330484,WSJT-X,Q4XYZ Q1ABC -07,0.0,0.0,1500.0,,,,False,False,2026-06-21T14:59:00Z
S7,2,2,1361330484,WSJT-X,Q3PQR Q1ABC RR73,0.0,0.0,1511.0,,,,False,False,2026-06-21T14:59:00Z
S7,2,3,1078092554,WSJT-X,CQ Q1ABC FN42,0.0,0.0,1492.0,,,,False,False,2026-06-21T14:59:15Z
S7,2,3,1078092554,WSJT-X,Q4XYZ Q1ABC -07,0.0,0.0,1500.0,,,,False,False,2026-06-21T14:59:15Z
S7,2,3,1078092554,WSJT-X,Q3PQR Q1ABC RR73,0.0,0.0,1511.0,,,,False,False,2026-06-21T14:59:15Z
S7,2,4,924921264,WSJT-X,CQ Q1ABC FN42,0.0,0.0,1492.0,,,,False,False,2026-06-21T14:59:30Z
S7,2,4,924921264,WSJT-X,Q4XYZ Q1ABC -07,0.0,0.0,1500.0,,,,False,False,2026-06-21T14:59:30Z
S7,2,4,924921264,WSJT-X,Q3PQR Q1ABC RR73,0.0,0.0,1511.0,,,,False,False,2026-06-21T14:59:30Z
S7,3,0,763598906,WSJT-X,CQ Q1ABC FN42,0.0,0.0,1500.0,,,,False,False,2026-06-21T15:00:00Z
S7,3,0,763598906,WSJT-X,Q4XYZ Q1ABC -07,0.0,0.0,1503.0,,,,False,False,2026-06-21T15:00:00Z
S7,3,1,1480126732,WSJT-X,CQ Q1ABC FN42,0.0,0.0,1500.0,,,,False,False,2026-06-21T15:00:15Z
S7,3,1,1480126732,WSJT-X,Q4XYZ Q1ABC -07,0.0,0.0,1503.0,,,,False,False,2026-06-21T15:00:15Z
S7,3,2,348040279,WSJT-X,CQ Q1ABC FN42,0.0,0.0,1500.0,,,,False,False,2026-06-21T15:00:30Z
S7,3,2,348040279,WSJT-X,Q4XYZ Q1ABC -07,0.0,0.0,1503.0,,,,False,False,2026-06-21T15:00:30Z
S7,3,3,750677479,WSJT-X,CQ Q1ABC FN42,0.0,0.0,1500.0,,,,False,False,2026-06-21T15:01:00Z
S7,3,3,750677479,WSJT-X,Q4XYZ Q1ABC -07,0.0,0.0,1503.0,,,,False,False,2026-06-21T15:01:00Z
S7,3,4,258894362,WSJT-X,CQ Q1ABC FN42,0.0,0.0,1500.0,,,,False,False,2026-06-21T15:01:15Z
S7,3,4,258894362,WSJT-X,Q4XYZ Q1ABC -07,0.0,0.0,1503.0,,,,False,False,2026-06-21T15:01:15Z
S7,4,0,139254338,WSJT-X,CQ Q1ABC FN42,0.0,0.0,1500.0,,,,False,False,2026-06-21T15:01:30Z
