scenario_id,part_index,trial_index,seed,true_snr_db,true_dt_s,true_freq_hz,message_text,cycle_utc
S5,0,0,1561858501,-20,0.0,,,2026-06-20T21:41:00Z
S5,0,1,960283802,-20,0.0,,,2026-06-20T21:41:15Z
S5,0,2,892021093,-20,0.0,,,2026-06-20T21:41:30Z
S5,0,3,1972790602,-20,0.0,,,2026-06-20T21:41:45Z
S5,0,0,1561858501,-20,0.0,,,2026-06-20T21:42:45Z
S5,0,1,960283802,-20,0.0,,,2026-06-20T21:43:00Z
S5,0,2,892021093,-20,0.0,,,2026-06-20T21:43:15Z
S5,0,3,1972790602,-20,0.0,,,2026-06-20T21:43:30Z
S5,0,4,522357441,-20,0.0,,,2026-06-20T21:43:45Z
S5,0,5,434100809,-20,0.0,,,2026-06-20T21:44:00Z
S5,0,6,1987541040,-20,0.0,,,2026-06-20T21:44:15Z
S5,0,7,1550731733,-20,0.0,,,2026-06-20T21:44:30Z
S5,0,8,978267978,-20,0.0,,,2026-06-20T21:45:00Z
S5,0,9,1361001477,-20,0.0,,,2026-06-20T21:45:15Z
S5,0,10,1672796167,-20,0.0,,,2026-06-20T21:45:30Z
S5,0,11,363339928,-20,0.0,,,2026-06-20T21:45:45Z
S5,0,12,920581965,-20,0.0,,,2026-06-20T21:46:00Z
S5,0,13,1985403058,-20,0.0,,,2026-06-20T21:46:15Z
S5,0,14,1613680917,-20,0.0,,,2026-06-20T21:46:30Z
S5,0,15,1930000429,-20,0.0,,,2026-06-20T21:46:45Z
S5,0,16,216305983,-20,0.0,,,2026-06-20T21:47:15Z
S5,0,17,312112809,-20,0.0,,,2026-06-20T21:47:30Z
S5,0,18,1052303369,-20,0.0,,,2026-06-20T21:47:45Z
S5,0,19,217579570,-20,0.0,,,2026-06-20T21:48:00Z
S5,0,20,99964177,-20,0.0,,,2026-06-20T21:48:15Z
S5,0,21,490683040,-20,0.0,,,2026-06-20T21:48:30Z
S5,0,22,1940961689,-20,0.0,,,2026-06-20T21:48:45Z
S5,0,23,1454648504,-20,0.0,,,2026-06-20T21:49:00Z
S5,0,24,558398644,-20,0.0,,,2026-06-20T21:49:30Z
S5,0,25,1286326493,-20,0.0,,,2026-06-20T21:49:45Z
S5,0,26,905618129,-20,0.0,,,2026-06-20T21:50:00Z
S5,0,27,649442228,-20,0.0,,,2026-06-20T21:50:15Z
S5,0,28,1033628820,-20,0.0,,,2026-06-20T21:50:30Z
S5,0,29,815515411,-20,0.0,,,2026-06-20T21:50:45Z
S5,0,30,1593614182,-20,0.0,,,2026-06-20T21:51:00Z
S5,0,31,1722507941,-20,0.0,,,2026-06-20T21:51:15Z
S5,0,32,1695726775,-20,0.0,,,2026-06-20T21:51:45Z
S5,0,33,51254525,-20,0.0,,,2026-06-20T21:52:00Z
S5,0,34,1745018624,-20,0.0,,,2026-06-20T21:52:15Z
S5,0,35,977203227,-20,0.0,,,2026-06-20T21:52:30Z
S5,0,36,2083372684,-20,0.0,,,2026-06-20T21:52:45Z
S5,0,37,1544718727,-20,0.0,,,2026-06-20T21:53:00Z
S5,0,38,894361021,-20,0.0,,,2026-06-20T21:53:15Z
S5,0,39,819664372,-20,0.0,,,2026-06-20T21:53:30Z
S7,0,0,1928618341,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-21T09:02:15Z
S7,0,0,1928618341,0.0,0.0,1507.0,Q4XYZ Q1ABC -07,2026-06-21T09:02:15Z
S7,0,1,1519748887,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-21T09:02:30Z
S7,0,1,1519748887,0.0,0.0,1507.0,Q4XYZ Q1ABC -07,2026-06-21T09:02:30Z
S7,0,2,1888808097,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-21T09:02:45Z
S7,0,2,1888808097,0.0,0.0,1507.0,Q4XYZ Q1ABC -07,2026-06-21T09:02:45Z
S7,0,3,1567484507,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-21T09:03:15Z
S7,0,3,1567484507,0.0,0.0,1507.0,Q4XYZ Q1ABC -07,2026-06-21T09:03:15Z
S7,0,4,1587104087,0.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-21T09:03:30Z
S7,0,4,1587104087,0.0,0.0,1507.0,Q4XYZ Q1ABC -07,2026-06-21T09:03:30Z
S7,1,0,1163046826,-5.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-21T09:03:45Z
S7,1,0,1163046826,-5.0,0.0,1513.0,Q4XYZ Q1ABC -07,2026-06-21T09:03:45Z
S7,1,1,641673168,-5.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-21T09:04:15Z
S7,1,1,641673168,-5.0,0.0,1513.0,Q4XYZ Q1ABC -07,2026-06-21T09:04:15Z
S7,1,2,1425528308,-5.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-21T09:04:30Z
S7,1,2,1425528308,-5.0,0.0,1513.0,Q4XYZ Q1ABC -07,2026-06-21T09:04:30Z
S7,1,3,961284984,-5.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-21T09:04:45Z
S7,1,3,961284984,-5.0,0.0,1513.0,Q4XYZ Q1ABC -07,2026-06-21T09:04:45Z
S7,1,4,990723452,-5.0,0.0,1500.0,CQ Q1ABC FN42,2026-06-21T09:05:15Z
S7,1,4,990723452,-5.0,0.0,1513.0,Q4XYZ Q1ABC -07,2026-06-21T09:05:15Z
S7,2,0,98455044,0.0,0.0,1492.0,CQ Q1ABC FN42,2026-06-21T09:05:30Z
S7,2,0,98455044,0.0,0.0,1500.0,Q4XYZ Q1ABC -07,2026-06-21T09:05:30Z
S7,2,0,98455044,0.0,0.0,1511.0,Q3PQR Q1ABC RR73,2026-06-21T09:05:30Z
S7,2,1,1384128433,0.0,0.0,1492.0,CQ Q1ABC FN42,2026-06-21T09:05:45Z
S7,2,1,1384128433,0.0,0.0,1500.0,Q4XYZ Q1ABC -07,2026-06-21T09:05:45Z
S7,2,1,1384128433,0.0,0.0,1511.0,Q3PQR Q1ABC RR73,2026-06-21T09:05:45Z
S7,2,2,1361330484,0.0,0.0,1492.0,CQ Q1ABC FN42,2026-06-21T09:06:15Z
S7,2,2,1361330484,0.0,0.0,1500.0,Q4XYZ Q1ABC -07,2026-06-21T09:06:15Z
S7,2,2,1361330484,0.0,0.0,1511.0,Q3PQR Q1ABC RR73,2026-06-21T09:06:15Z
S7,2,3,1078092554,0.0,0.0,1492.0,CQ Q1ABC FN42,2026-06-21T09:06:30Z
S7,2,3,1078092554,0.0,0.0,1500.0,Q4XYZ Q1ABC -07,2026-06-21T09:06:30Z
S7,2,3,1078092554,0.0,0.0,1511.0,Q3PQR Q1ABC RR73,2026-06-21T09:06:30Z
S7,2,4,924921264,0.0,0.0,1492.0,CQ Q1ABC FN42,2026-06-21T09:06:45Z
S7,2,4,924921264,0.0,0.0,1500.0,Q4XYZ Q1ABC -07,2026-06-21T09:06:45Z
S7,2,4,924921264,0.0,0.0,1511.0,Q3PQR Q1ABC RR73,2026-06-21T09:06:45Z
